NO_OF_FRAMES	1484
NO_OF_CAMERAS	8
NO_OF_MARKERS	52
FREQUENCY	60
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2020-12-18, 12:25:38	10153.40009057
DATA_INCLUDED	3D
MARKER_NAMES	R_FAR	R_WRR	R_FAU	R_WRU	R_CMC	R_MCP1	R_IP	R_FT1	R_CMC2	R_MCP2	R_PIP2	R_DIP2	R_FT2	R_MCP3	R_PIP3	R_DIP3	R_FT3	R_MCP4	R_PIP4	R_DIP4	R_FT4	R_CMC5	R_MCP5	R_PIP5	R_DIP5	R_FT5	L_FAR	L_WRR	L_FAU	L_WRU	L_CMC1	L_MCP1	L_IP	L_FT1	L_CMC2	L_MCP2	L_PIP2	L_DIP2	L_FT2	L_MCP3	L_PIP3	L_DIP3	L_FT3	L_MCP4	L_PIP4	L_DIP4	L_FT4	L_CMC5	L_MCP5	L_PIP5	L_DIP5	L_FT5
Frame	Time	R_FAR X	R_FAR Y	R_FAR Z	R_WRR X	R_WRR Y	R_WRR Z	R_FAU X	R_FAU Y	R_FAU Z	R_WRU X	R_WRU Y	R_WRU Z	R_CMC X	R_CMC Y	R_CMC Z	R_MCP1 X	R_MCP1 Y	R_MCP1 Z	R_IP X	R_IP Y	R_IP Z	R_FT1 X	R_FT1 Y	R_FT1 Z	R_CMC2 X	R_CMC2 Y	R_CMC2 Z	R_MCP2 X	R_MCP2 Y	R_MCP2 Z	R_PIP2 X	R_PIP2 Y	R_PIP2 Z	R_DIP2 X	R_DIP2 Y	R_DIP2 Z	R_FT2 X	R_FT2 Y	R_FT2 Z	R_MCP3 X	R_MCP3 Y	R_MCP3 Z	R_PIP3 X	R_PIP3 Y	R_PIP3 Z	R_DIP3 X	R_DIP3 Y	R_DIP3 Z	R_FT3 X	R_FT3 Y	R_FT3 Z	R_MCP4 X	R_MCP4 Y	R_MCP4 Z	R_PIP4 X	R_PIP4 Y	R_PIP4 Z	R_DIP4 X	R_DIP4 Y	R_DIP4 Z	R_FT4 X	R_FT4 Y	R_FT4 Z	R_CMC5 X	R_CMC5 Y	R_CMC5 Z	R_MCP5 X	R_MCP5 Y	R_MCP5 Z	R_PIP5 X	R_PIP5 Y	R_PIP5 Z	R_DIP5 X	R_DIP5 Y	R_DIP5 Z	R_FT5 X	R_FT5 Y	R_FT5 Z	L_FAR X	L_FAR Y	L_FAR Z	L_WRR X	L_WRR Y	L_WRR Z	L_FAU X	L_FAU Y	L_FAU Z	L_WRU X	L_WRU Y	L_WRU Z	L_CMC1 X	L_CMC1 Y	L_CMC1 Z	L_MCP1 X	L_MCP1 Y	L_MCP1 Z	L_IP X	L_IP Y	L_IP Z	L_FT1 X	L_FT1 Y	L_FT1 Z	L_CMC2 X	L_CMC2 Y	L_CMC2 Z	L_MCP2 X	L_MCP2 Y	L_MCP2 Z	L_PIP2 X	L_PIP2 Y	L_PIP2 Z	L_DIP2 X	L_DIP2 Y	L_DIP2 Z	L_FT2 X	L_FT2 Y	L_FT2 Z	L_MCP3 X	L_MCP3 Y	L_MCP3 Z	L_PIP3 X	L_PIP3 Y	L_PIP3 Z	L_DIP3 X	L_DIP3 Y	L_DIP3 Z	L_FT3 X	L_FT3 Y	L_FT3 Z	L_MCP4 X	L_MCP4 Y	L_MCP4 Z	L_PIP4 X	L_PIP4 Y	L_PIP4 Z	L_DIP4 X	L_DIP4 Y	L_DIP4 Z	L_FT4 X	L_FT4 Y	L_FT4 Z	L_CMC5 X	L_CMC5 Y	L_CMC5 Z	L_MCP5 X	L_MCP5 Y	L_MCP5 Z	L_PIP5 X	L_PIP5 Y	L_PIP5 Z	L_DIP5 X	L_DIP5 Y	L_DIP5 Z	L_FT5 X	L_FT5 Y	L_FT5 Z	
518	8.61667	187.159	-106.296	170.881	229.700	-104.345	165.916	181.913	-149.382	142.540	217.857	-148.245	155.084	250.829	-80.165	146.829	289.505	-71.750	144.869	317.996	-66.840	140.183	342.850	-59.507	133.809	268.103	-110.286	157.269	316.468	-117.514	146.583	361.260	-117.654	140.561	386.500	-117.733	135.416	404.778	-120.256	133.169	305.657	-133.719	147.437	357.234	-141.862	141.393	385.510	-147.786	134.409	404.779	-152.299	134.662	296.981	-153.220	144.858	342.580	-162.316	139.366	368.484	-167.211	133.318	386.271	-170.717	133.884	255.284	-147.162	147.210	285.258	-170.119	139.918	313.579	-183.715	135.987	329.535	-193.178	133.257	348.457	-201.159	130.810	198.967	177.631	173.999	231.208	159.647	165.894	217.746	220.098	158.889	256.469	206.267	165.597	262.103	144.460	156.784	297.198	113.831	151.961	324.035	97.646	144.398	343.430	84.967	137.938	285.990	160.156	164.903	336.056	149.593	154.420	381.474	140.805	146.543	402.353	130.859	141.910	423.156	128.289	138.792	334.442	171.523	155.494	385.236	166.019	149.463	411.948	161.973	142.812	433.016	159.301	143.057	331.893	190.513	155.203	378.514	190.821	148.798	404.237	188.373	142.715	423.649	185.482	142.299	289.344	198.880	154.677	320.641	205.965	152.733	354.523	219.559	145.723	375.008	223.344	142.445	390.266	227.565	142.350
519	8.63333	187.161	-106.296	170.882	229.700	-104.350	165.927	181.905	-149.393	142.552	217.880	-148.233	155.098	250.824	-80.173	146.825	289.514	-71.754	144.866	318.008	-66.834	140.186	342.830	-59.514	133.819	268.105	-110.286	157.270	316.456	-117.525	146.586	361.251	-117.647	140.559	386.502	-117.734	135.418	404.779	-120.259	133.157	305.661	-133.724	147.434	357.238	-141.856	141.389	385.508	-147.774	134.413	404.788	-152.301	134.680	296.984	-153.223	144.849	342.584	-162.318	139.375	368.492	-167.215	133.329	386.251	-170.713	133.902	255.275	-147.168	147.201	285.254	-170.125	139.892	313.585	-183.713	135.999	329.529	-193.183	133.237	348.468	-201.174	130.807	198.956	177.618	174.004	231.221	159.649	165.880	217.754	220.097	158.896	256.475	206.249	165.596	262.099	144.465	156.781	297.191	113.833	151.964	324.036	97.639	144.416	343.412	84.957	137.931	285.985	160.157	164.912	336.049	149.590	154.430	381.478	140.801	146.540	402.354	130.849	141.916	423.151	128.284	138.785	334.437	171.526	155.501	385.238	166.004	149.478	411.952	161.972	142.822	433.011	159.297	143.052	331.909	190.521	155.198	378.503	190.812	148.794	404.235	188.370	142.717	423.649	185.489	142.297	289.338	198.882	154.680	320.643	205.964	152.728	354.519	219.567	145.734	375.000	223.345	142.449	390.271	227.562	142.343
520	8.65000	187.159	-106.311	170.885	229.683	-104.343	165.912	181.909	-149.396	142.534	217.863	-148.240	155.084	250.822	-80.179	146.812	289.500	-71.755	144.851	317.993	-66.841	140.174	342.838	-59.517	133.806	268.103	-110.282	157.262	316.454	-117.529	146.580	361.248	-117.656	140.550	386.504	-117.733	135.403	404.776	-120.259	133.157	305.646	-133.726	147.435	357.230	-141.860	141.376	385.503	-147.780	134.397	404.788	-152.295	134.659	296.985	-153.223	144.854	342.571	-162.326	139.359	368.484	-167.219	133.325	386.262	-170.726	133.879	255.280	-147.176	147.211	285.253	-170.116	139.887	313.583	-183.719	135.994	329.532	-193.183	133.244	348.460	-201.176	130.806	198.963	177.608	173.992	231.214	159.628	165.887	217.750	220.094	158.888	256.471	206.252	165.603	262.092	144.454	156.775	297.185	113.821	151.972	324.021	97.622	144.377	343.406	84.951	137.921	285.991	160.155	164.891	336.059	149.580	154.428	381.473	140.789	146.565	402.357	130.845	141.905	423.153	128.289	138.796	334.450	171.519	155.483	385.236	166.008	149.473	411.954	161.971	142.807	433.006	159.300	143.051	331.907	190.524	155.206	378.503	190.811	148.807	404.235	188.367	142.712	423.654	185.478	142.296	289.345	198.877	154.670	320.638	205.968	152.728	354.518	219.563	145.725	375.011	223.340	142.449	390.267	227.566	142.345
521	8.66667	187.150	-106.307	170.885	229.700	-104.334	165.912	181.917	-149.397	142.546	217.876	-148.237	155.102	250.824	-80.182	146.831	289.510	-71.755	144.858	317.994	-66.847	140.185	342.839	-59.512	133.804	268.098	-110.281	157.268	316.467	-117.524	146.562	361.239	-117.657	140.567	386.502	-117.728	135.413	404.779	-120.252	133.157	305.658	-133.717	147.461	357.237	-141.856	141.389	385.502	-147.780	134.402	404.777	-152.300	134.652	296.979	-153.226	144.853	342.578	-162.318	139.373	368.484	-167.211	133.306	386.260	-170.722	133.890	255.272	-147.171	147.216	285.251	-170.123	139.910	313.570	-183.723	135.988	329.540	-193.202	133.246	348.463	-201.176	130.795	198.965	177.601	173.989	231.220	159.642	165.888	217.749	220.084	158.897	256.469	206.256	165.595	262.083	144.461	156.771	297.173	113.814	151.968	324.011	97.607	144.374	343.409	84.942	137.931	285.988	160.151	164.892	336.059	149.583	154.436	381.465	140.791	146.536	402.352	130.841	141.908	423.146	128.279	138.781	334.458	171.519	155.501	385.231	166.006	149.465	411.950	161.961	142.804	433.021	159.297	143.049	331.903	190.516	155.196	378.503	190.815	148.803	404.232	188.369	142.718	423.650	185.482	142.295	289.346	198.878	154.677	320.635	205.973	152.712	354.520	219.566	145.728	375.004	223.344	142.445	390.267	227.563	142.342
522	8.68333	187.153	-106.313	170.876	229.699	-104.330	165.920	181.903	-149.399	142.536	217.883	-148.240	155.105	250.834	-80.174	146.829	289.503	-71.754	144.870	318.008	-66.850	140.188	342.848	-59.516	133.817	268.106	-110.287	157.279	316.458	-117.530	146.577	361.253	-117.651	140.567	386.502	-117.723	135.417	404.781	-120.258	133.171	305.667	-133.717	147.455	357.236	-141.862	141.392	385.511	-147.783	134.413	404.781	-152.295	134.673	296.982	-153.227	144.856	342.574	-162.316	139.370	368.489	-167.219	133.321	386.260	-170.718	133.893	255.276	-147.167	147.208	285.264	-170.119	139.924	313.575	-183.725	135.997	329.533	-193.192	133.251	348.461	-201.175	130.815	198.953	177.593	173.994	231.214	159.639	165.881	217.748	220.081	158.907	256.471	206.256	165.604	262.086	144.461	156.784	297.171	113.812	151.979	324.009	97.602	144.377	343.410	84.933	137.926	285.994	160.155	164.899	336.061	149.583	154.421	381.472	140.795	146.555	402.354	130.838	141.913	423.160	128.284	138.796	334.451	171.519	155.500	385.230	166.018	149.476	411.953	161.963	142.816	433.016	159.305	143.057	331.897	190.518	155.208	378.506	190.822	148.800	404.239	188.376	142.719	423.650	185.474	142.300	289.345	198.879	154.684	320.639	205.984	152.732	354.513	219.569	145.724	375.020	223.341	142.450	390.273	227.564	142.345
523	8.70000	187.178	-106.302	170.880	229.692	-104.342	165.912	181.924	-149.393	142.560	217.886	-148.239	155.107	250.830	-80.178	146.822	289.507	-71.757	144.858	317.998	-66.847	140.187	342.844	-59.523	133.808	268.107	-110.289	157.259	316.466	-117.518	146.571	361.254	-117.646	140.566	386.501	-117.736	135.407	404.772	-120.253	133.161	305.656	-133.719	147.440	357.235	-141.862	141.385	385.506	-147.784	134.407	404.790	-152.298	134.668	296.984	-153.229	144.853	342.576	-162.324	139.362	368.484	-167.216	133.324	386.259	-170.724	133.891	255.285	-147.169	147.215	285.252	-170.126	139.928	313.583	-183.724	136.001	329.531	-193.201	133.238	348.451	-201.190	130.791	198.953	177.586	173.991	231.219	159.627	165.874	217.752	220.080	158.891	256.465	206.252	165.588	262.093	144.464	156.789	297.164	113.797	151.976	323.989	97.589	144.379	343.395	84.923	137.928	285.998	160.149	164.899	336.063	149.576	154.431	381.476	140.785	146.544	402.358	130.842	141.898	423.155	128.286	138.790	334.446	171.519	155.502	385.238	166.006	149.475	411.958	161.967	142.813	433.018	159.296	143.060	331.907	190.513	155.204	378.510	190.820	148.808	404.239	188.363	142.706	423.664	185.480	142.301	289.354	198.884	154.679	320.639	205.975	152.722	354.516	219.566	145.725	375.004	223.337	142.452	390.274	227.568	142.345
524	8.71667	187.162	-106.299	170.876	229.692	-104.347	165.905	181.913	-149.403	142.544	217.870	-148.241	155.091	250.826	-80.170	146.833	289.513	-71.758	144.857	318.000	-66.852	140.180	342.848	-59.518	133.813	268.109	-110.284	157.269	316.465	-117.529	146.581	361.263	-117.646	140.565	386.501	-117.729	135.406	404.781	-120.261	133.156	305.652	-133.724	147.432	357.242	-141.864	141.380	385.511	-147.784	134.406	404.789	-152.295	134.662	296.986	-153.227	144.852	342.579	-162.316	139.366	368.490	-167.227	133.308	386.265	-170.729	133.882	255.288	-147.170	147.209	285.261	-170.118	139.900	313.566	-183.732	135.987	329.536	-193.193	133.240	348.450	-201.197	130.785	198.954	177.584	174.004	231.214	159.624	165.877	217.751	220.100	158.897	256.481	206.249	165.583	262.093	144.459	156.778	297.164	113.798	151.975	323.994	97.578	144.374	343.394	84.911	137.920	285.995	160.157	164.890	336.060	149.580	154.425	381.472	140.787	146.551	402.358	130.841	141.905	423.155	128.275	138.786	334.459	171.512	155.478	385.237	166.011	149.470	411.952	161.960	142.803	433.021	159.293	143.052	331.916	190.512	155.201	378.512	190.811	148.804	404.249	188.365	142.711	423.664	185.485	142.307	289.356	198.872	154.669	320.651	205.965	152.713	354.532	219.548	145.708	375.018	223.342	142.443	390.283	227.565	142.330
525	8.73333	187.163	-106.301	170.881	229.696	-104.338	165.923	181.925	-149.400	142.556	217.874	-148.243	155.100	250.833	-80.181	146.822	289.520	-71.750	144.858	318.009	-66.845	140.179	342.853	-59.509	133.798	268.108	-110.282	157.259	316.468	-117.526	146.573	361.247	-117.653	140.551	386.492	-117.733	135.412	404.774	-120.256	133.156	305.654	-133.726	147.437	357.243	-141.858	141.373	385.507	-147.780	134.413	404.783	-152.297	134.658	297.002	-153.216	144.829	342.582	-162.323	139.365	368.488	-167.221	133.311	386.259	-170.731	133.884	255.282	-147.176	147.209	285.257	-170.118	139.905	313.574	-183.714	135.985	329.526	-193.210	133.218	348.454	-201.187	130.794	198.961	177.576	173.993	231.225	159.642	165.880	217.752	220.098	158.886	256.482	206.254	165.595	262.101	144.461	156.783	297.160	113.787	151.982	323.984	97.579	144.365	343.392	84.916	137.910	286.000	160.161	164.890	336.054	149.579	154.437	381.482	140.796	146.538	402.358	130.836	141.898	423.161	128.274	138.788	334.469	171.514	155.478	385.245	166.007	149.469	411.964	161.956	142.802	433.026	159.298	143.052	331.911	190.521	155.192	378.512	190.811	148.801	404.255	188.367	142.698	423.667	185.475	142.287	289.349	198.880	154.667	320.647	205.988	152.706	354.515	219.564	145.715	375.018	223.346	142.445	390.277	227.571	142.337
526	8.75000	187.171	-106.291	170.885	229.685	-104.329	165.913	181.926	-149.402	142.565	217.889	-148.224	155.114	250.826	-80.170	146.825	289.512	-71.755	144.851	318.008	-66.849	140.181	342.852	-59.519	133.808	268.116	-110.280	157.259	316.456	-117.524	146.574	361.250	-117.646	140.552	386.485	-117.736	135.399	404.773	-120.253	133.158	305.646	-133.728	147.423	357.236	-141.869	141.367	385.509	-147.785	134.407	404.787	-152.299	134.655	296.989	-153.229	144.829	342.566	-162.333	139.355	368.488	-167.224	133.314	386.248	-170.736	133.882	255.280	-147.167	147.210	285.252	-170.126	139.894	313.567	-183.733	135.979	329.525	-193.199	133.234	348.458	-201.183	130.808	198.956	177.574	174.003	231.231	159.639	165.880	217.770	220.095	158.887	256.481	206.266	165.580	262.100	144.462	156.786	297.147	113.772	151.982	323.970	97.553	144.369	343.388	84.910	137.913	286.001	160.152	164.896	336.057	149.580	154.420	381.469	140.773	146.530	402.358	130.832	141.905	423.162	128.266	138.780	334.458	171.525	155.473	385.238	166.007	149.473	411.962	161.962	142.804	433.018	159.296	143.039	331.914	190.523	155.199	378.522	190.810	148.813	404.251	188.372	142.714	423.671	185.476	142.288	289.347	198.880	154.669	320.646	205.984	152.717	354.526	219.570	145.719	375.019	223.346	142.443	390.279	227.567	142.333
527	8.76667	187.168	-106.290	170.880	229.686	-104.330	165.926	181.912	-149.396	142.554	217.872	-148.244	155.091	250.828	-80.163	146.828	289.502	-71.760	144.852	317.994	-66.861	140.169	342.850	-59.531	133.805	268.105	-110.283	157.272	316.465	-117.527	146.571	361.229	-117.657	140.562	386.487	-117.731	135.403	404.769	-120.260	133.155	305.649	-133.731	147.426	357.228	-141.873	141.374	385.491	-147.793	134.397	404.779	-152.298	134.651	296.970	-153.222	144.841	342.562	-162.328	139.353	368.483	-167.228	133.306	386.244	-170.736	133.878	255.277	-147.166	147.210	285.256	-170.124	139.900	313.564	-183.727	135.977	329.526	-193.204	133.233	348.443	-201.193	130.793	198.970	177.577	174.005	231.226	159.640	165.883	217.769	220.103	158.896	256.483	206.269	165.592	262.088	144.468	156.789	297.134	113.774	151.981	323.973	97.551	144.361	343.377	84.905	137.905	286.000	160.158	164.892	336.067	149.576	154.422	381.452	140.772	146.536	402.351	130.831	141.896	423.151	128.260	138.777	334.461	171.510	155.475	385.238	166.011	149.462	411.959	161.958	142.815	433.014	159.291	143.033	331.910	190.513	155.187	378.516	190.818	148.812	404.245	188.374	142.706	423.671	185.480	142.288	289.348	198.886	154.662	320.642	205.980	152.712	354.516	219.563	145.705	375.014	223.349	142.426	390.279	227.570	142.327
