NO_OF_FRAMES	129
NO_OF_CAMERAS	8
NO_OF_MARKERS	52
FREQUENCY	60
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2020-12-18, 12:25:38	10153.40009057
DATA_INCLUDED	3D
MARKER_NAMES	R_FAR	R_WRR	R_FAU	R_WRU	R_CMC	R_MCP1	R_IP	R_FT1	R_CMC2	R_MCP2	R_PIP2	R_DIP2	R_FT2	R_MCP3	R_PIP3	R_DIP3	R_FT3	R_MCP4	R_PIP4	R_DIP4	R_FT4	R_CMC5	R_MCP5	R_PIP5	R_DIP5	R_FT5	L_FAR	L_WRR	L_FAU	L_WRU	L_CMC1	L_MCP1	L_IP	L_FT1	L_CMC2	L_MCP2	L_PIP2	L_DIP2	L_FT2	L_MCP3	L_PIP3	L_DIP3	L_FT3	L_MCP4	L_PIP4	L_DIP4	L_FT4	L_CMC5	L_MCP5	L_PIP5	L_DIP5	L_FT5
Frame	Time	R_FAR X	R_FAR Y	R_FAR Z	R_WRR X	R_WRR Y	R_WRR Z	R_FAU X	R_FAU Y	R_FAU Z	R_WRU X	R_WRU Y	R_WRU Z	R_CMC X	R_CMC Y	R_CMC Z	R_MCP1 X	R_MCP1 Y	R_MCP1 Z	R_IP X	R_IP Y	R_IP Z	R_FT1 X	R_FT1 Y	R_FT1 Z	R_CMC2 X	R_CMC2 Y	R_CMC2 Z	R_MCP2 X	R_MCP2 Y	R_MCP2 Z	R_PIP2 X	R_PIP2 Y	R_PIP2 Z	R_DIP2 X	R_DIP2 Y	R_DIP2 Z	R_FT2 X	R_FT2 Y	R_FT2 Z	R_MCP3 X	R_MCP3 Y	R_MCP3 Z	R_PIP3 X	R_PIP3 Y	R_PIP3 Z	R_DIP3 X	R_DIP3 Y	R_DIP3 Z	R_FT3 X	R_FT3 Y	R_FT3 Z	R_MCP4 X	R_MCP4 Y	R_MCP4 Z	R_PIP4 X	R_PIP4 Y	R_PIP4 Z	R_DIP4 X	R_DIP4 Y	R_DIP4 Z	R_FT4 X	R_FT4 Y	R_FT4 Z	R_CMC5 X	R_CMC5 Y	R_CMC5 Z	R_MCP5 X	R_MCP5 Y	R_MCP5 Z	R_PIP5 X	R_PIP5 Y	R_PIP5 Z	R_DIP5 X	R_DIP5 Y	R_DIP5 Z	R_FT5 X	R_FT5 Y	R_FT5 Z	L_FAR X	L_FAR Y	L_FAR Z	L_WRR X	L_WRR Y	L_WRR Z	L_FAU X	L_FAU Y	L_FAU Z	L_WRU X	L_WRU Y	L_WRU Z	L_CMC1 X	L_CMC1 Y	L_CMC1 Z	L_MCP1 X	L_MCP1 Y	L_MCP1 Z	L_IP X	L_IP Y	L_IP Z	L_FT1 X	L_FT1 Y	L_FT1 Z	L_CMC2 X	L_CMC2 Y	L_CMC2 Z	L_MCP2 X	L_MCP2 Y	L_MCP2 Z	L_PIP2 X	L_PIP2 Y	L_PIP2 Z	L_DIP2 X	L_DIP2 Y	L_DIP2 Z	L_FT2 X	L_FT2 Y	L_FT2 Z	L_MCP3 X	L_MCP3 Y	L_MCP3 Z	L_PIP3 X	L_PIP3 Y	L_PIP3 Z	L_DIP3 X	L_DIP3 Y	L_DIP3 Z	L_FT3 X	L_FT3 Y	L_FT3 Z	L_MCP4 X	L_MCP4 Y	L_MCP4 Z	L_PIP4 X	L_PIP4 Y	L_PIP4 Z	L_DIP4 X	L_DIP4 Y	L_DIP4 Z	L_FT4 X	L_FT4 Y	L_FT4 Z	L_CMC5 X	L_CMC5 Y	L_CMC5 Z	L_MCP5 X	L_MCP5 Y	L_MCP5 Z	L_PIP5 X	L_PIP5 Y	L_PIP5 Z	L_DIP5 X	L_DIP5 Y	L_DIP5 Z	L_FT5 X	L_FT5 Y	L_FT5 Z	
12752	212.51667	154.668	-119.615	166.600	195.804	-122.404	163.279	145.747	-161.660	141.094	182.561	-165.504	153.438	218.297	-100.320	145.874	257.886	-92.792	144.464	287.560	-92.193	139.298	313.263	-89.932	131.711	232.798	-129.842	159.294	283.349	-137.140	155.789	328.182	-139.920	143.811	352.464	-141.165	135.459	370.080	-144.804	131.141	272.667	-153.178	154.431	325.132	-159.682	144.164	352.833	-163.530	134.225	372.177	-167.281	132.506	264.470	-171.577	147.496	311.060	-178.608	140.347	337.098	-180.944	133.059	355.080	-183.643	132.713	221.846	-166.046	147.197	254.210	-187.478	140.842	285.540	-196.673	135.382	302.722	-203.610	132.798	322.597	-208.874	130.156	182.545	178.343	173.942	213.558	157.318	167.927	203.226	216.752	152.630	242.133	201.442	162.313	243.485	138.207	159.939	280.273	106.980	153.499	306.295	91.639	144.243	325.879	79.468	137.372	267.383	152.688	167.540	316.270	135.325	159.937	361.862	124.553	149.819	380.960	113.320	142.381	400.391	108.959	137.202	317.545	156.864	159.153	366.349	143.838	148.406	391.717	135.391	141.299	411.560	130.256	141.658	316.846	174.632	156.389	362.524	166.645	148.255	387.150	159.279	141.653	405.977	152.665	140.558	275.068	188.542	154.348	307.407	190.447	152.634	343.866	195.027	144.427	364.867	193.573	141.218	380.925	194.142	140.838
12753	212.53333	154.687	-119.614	166.598	195.800	-122.422	163.272	145.741	-161.670	141.094	182.570	-165.502	153.446	218.285	-100.355	145.843	257.899	-92.806	144.467	287.556	-92.200	139.303	313.259	-89.938	131.714	232.793	-129.851	159.297	283.351	-137.145	155.781	328.178	-139.935	143.806	352.464	-141.177	135.471	370.081	-144.825	131.163	272.671	-153.189	154.436	325.133	-159.690	144.161	352.835	-163.528	134.232	372.188	-167.281	132.504	264.484	-171.568	147.486	311.068	-178.614	140.333	337.082	-180.958	133.063	355.087	-183.640	132.710	221.847	-166.057	147.188	254.195	-187.492	140.834	285.553	-196.666	135.383	302.717	-203.616	132.784	322.606	-208.883	130.163	182.562	178.350	173.937	213.570	157.324	167.938	203.222	216.740	152.636	242.139	201.428	162.293	243.489	138.195	159.936	280.277	106.973	153.499	306.290	91.632	144.238	325.882	79.469	137.383	267.386	152.678	167.528	316.268	135.324	159.938	361.870	124.548	149.815	380.976	113.319	142.370	400.395	108.954	137.198	317.470	156.832	159.128	366.362	143.837	148.423	391.723	135.392	141.298	411.558	130.252	141.659	316.848	174.632	156.399	362.517	166.632	148.247	387.152	159.272	141.648	405.984	152.664	140.562	275.066	188.534	154.342	307.419	190.448	152.643	343.863	195.020	144.432	364.870	193.570	141.218	380.925	194.136	140.835
12754	212.55000	154.683	-119.627	166.581	195.810	-122.433	163.268	145.755	-161.671	141.068	182.572	-165.516	153.430	218.279	-100.370	145.843	257.909	-92.802	144.468	287.560	-92.212	139.307	313.278	-89.946	131.710	232.799	-129.860	159.290	283.361	-137.161	155.794	328.181	-139.947	143.824	352.471	-141.178	135.460	370.092	-144.818	131.137	272.690	-153.199	154.430	325.129	-159.696	144.160	352.839	-163.549	134.228	372.193	-167.285	132.500	264.480	-171.587	147.480	311.079	-178.622	140.348	337.101	-180.961	133.050	355.090	-183.645	132.726	221.848	-166.064	147.172	254.216	-187.503	140.836	285.549	-196.686	135.372	302.721	-203.625	132.786	322.600	-208.900	130.154	182.558	178.349	173.942	213.564	157.321	167.926	203.218	216.745	152.641	242.144	201.421	162.295	243.496	138.194	159.939	280.275	106.969	153.491	306.296	91.619	144.229	325.895	79.465	137.386	267.394	152.673	167.538	316.284	135.323	159.944	361.864	124.538	149.825	380.969	113.310	142.363	400.401	108.944	137.198	317.466	156.820	159.125	366.362	143.829	148.417	391.722	135.382	141.307	411.549	130.243	141.663	316.856	174.617	156.394	362.526	166.634	148.270	387.165	159.260	141.644	405.985	152.663	140.559	275.073	188.530	154.339	307.413	190.446	152.636	343.878	195.022	144.424	364.872	193.565	141.218	380.932	194.130	140.831
12755	212.56667	154.700	-119.642	166.597	195.804	-122.447	163.249	145.765	-161.670	141.064	182.572	-165.534	153.409	218.291	-100.375	145.834	257.901	-92.807	144.467	287.564	-92.210	139.303	313.270	-89.946	131.706	232.801	-129.877	159.288	283.369	-137.165	155.793	328.187	-139.949	143.814	352.478	-141.178	135.460	370.091	-144.825	131.146	272.687	-153.205	154.424	325.135	-159.697	144.153	352.851	-163.548	134.236	372.199	-167.292	132.507	264.488	-171.591	147.483	311.077	-178.625	140.338	337.096	-180.967	133.053	355.104	-183.648	132.718	221.857	-166.062	147.174	254.213	-187.507	140.837	285.556	-196.687	135.360	302.723	-203.636	132.773	322.613	-208.907	130.145	182.545	178.335	173.932	213.568	157.308	167.942	203.226	216.742	152.625	242.139	201.413	162.285	243.491	138.183	159.934	280.285	106.961	153.490	306.301	91.622	144.245	325.885	79.451	137.364	267.388	152.671	167.530	316.284	135.310	159.929	361.875	124.541	149.814	380.979	113.296	142.365	400.399	108.939	137.198	317.541	156.854	159.156	366.366	143.819	148.420	391.728	135.370	141.292	411.568	130.237	141.651	316.849	174.622	156.386	362.526	166.625	148.259	387.169	159.263	141.646	405.992	152.662	140.554	275.067	188.522	154.337	307.413	190.443	152.639	343.871	195.023	144.412	364.871	193.561	141.212	380.931	194.128	140.821
12756	212.58333	154.696	-119.637	166.596	195.814	-122.445	163.268	145.757	-161.677	141.080	182.576	-165.532	153.433	218.291	-100.377	145.841	257.904	-92.813	144.469	287.561	-92.209	139.315	313.273	-89.949	131.711	232.812	-129.881	159.289	283.363	-137.159	155.812	328.190	-139.947	143.818	352.468	-141.184	135.462	370.097	-144.823	131.151	272.692	-153.208	154.428	325.133	-159.696	144.152	352.849	-163.543	134.236	372.196	-167.302	132.498	264.482	-171.591	147.491	311.076	-178.639	140.334	337.103	-180.969	133.051	355.089	-183.660	132.711	221.858	-166.066	147.183	254.219	-187.503	140.847	285.541	-196.698	135.368	302.714	-203.638	132.785	322.610	-208.905	130.147	182.549	178.324	173.944	213.563	157.308	167.940	203.224	216.740	152.639	242.148	201.409	162.292	243.497	138.178	159.943	280.285	106.960	153.488	306.307	91.618	144.228	325.889	79.446	137.374	267.402	152.668	167.535	316.284	135.310	159.942	361.870	124.542	149.825	380.980	113.298	142.375	400.407	108.943	137.197	317.542	156.843	159.149	366.361	143.827	148.404	391.732	135.389	141.308	411.570	130.234	141.656	316.850	174.626	156.390	362.519	166.625	148.260	387.164	159.261	141.650	405.988	152.661	140.566	275.070	188.518	154.346	307.411	190.439	152.635	343.869	195.012	144.428	364.879	193.560	141.222	380.933	194.128	140.841
12757	212.60000	154.689	-119.638	166.593	195.813	-122.438	163.251	145.760	-161.681	141.083	182.580	-165.518	153.430	218.298	-100.381	145.850	257.908	-92.805	144.464	287.561	-92.205	139.304	313.277	-89.936	131.700	232.806	-129.869	159.295	283.366	-137.163	155.802	328.192	-139.943	143.817	352.470	-141.176	135.465	370.091	-144.821	131.152	272.695	-153.203	154.426	325.141	-159.698	144.155	352.849	-163.540	134.236	372.207	-167.291	132.502	264.495	-171.587	147.496	311.083	-178.631	140.336	337.110	-180.964	133.055	355.107	-183.649	132.719	221.869	-166.062	147.180	254.209	-187.509	140.841	285.550	-196.686	135.386	302.733	-203.632	132.773	322.614	-208.904	130.141	182.561	178.329	173.946	213.568	157.316	167.941	203.225	216.737	152.629	242.139	201.416	162.295	243.496	138.185	159.935	280.280	106.967	153.484	306.302	91.612	144.238	325.891	79.448	137.366	267.391	152.657	167.533	316.284	135.310	159.944	361.873	124.539	149.817	380.979	113.298	142.373	400.410	108.942	137.204	317.550	156.846	159.152	366.365	143.823	148.421	391.730	135.389	141.308	411.567	130.232	141.653	316.853	174.614	156.392	362.524	166.626	148.261	387.146	159.253	141.650	405.990	152.665	140.558	275.068	188.513	154.346	307.421	190.429	152.641	343.874	195.011	144.425	364.873	193.566	141.226	380.934	194.133	140.832
12758	212.61667	154.710	-119.633	166.611	195.817	-122.445	163.277	145.757	-161.687	141.083	182.581	-165.525	153.447	218.300	-100.377	145.834	257.910	-92.814	144.484	287.571	-92.205	139.302	313.281	-89.934	131.711	232.804	-129.877	159.300	283.362	-137.174	155.824	328.195	-139.944	143.825	352.479	-141.178	135.472	370.103	-144.824	131.154	272.695	-153.209	154.436	325.147	-159.700	144.158	352.864	-163.539	134.234	372.212	-167.286	132.508	264.479	-171.605	147.483	311.087	-178.636	140.342	337.100	-180.968	133.057	355.110	-183.652	132.717	221.867	-166.057	147.180	254.221	-187.516	140.845	285.564	-196.696	135.393	302.726	-203.637	132.774	322.618	-208.904	130.145	182.554	178.329	173.931	213.575	157.313	167.932	203.213	216.748	152.617	242.136	201.416	162.302	243.493	138.189	159.938	280.278	106.965	153.485	306.303	91.611	144.243	325.891	79.453	137.371	267.387	152.661	167.523	316.285	135.312	159.950	361.872	124.544	149.818	380.979	113.311	142.370	400.409	108.947	137.204	317.472	156.814	159.134	366.369	143.824	148.425	391.735	135.389	141.317	411.566	130.238	141.665	316.847	174.613	156.391	362.521	166.626	148.242	387.165	159.255	141.664	405.988	152.657	140.554	275.073	188.518	154.338	307.410	190.434	152.639	343.881	195.018	144.431	364.871	193.566	141.227	380.934	194.130	140.827
12759	212.63333	154.713	-119.633	166.597	195.822	-122.462	163.274	145.759	-161.681	141.094	182.586	-165.528	153.433	218.299	-100.382	145.851	257.906	-92.819	144.481	287.576	-92.211	139.305	313.282	-89.946	131.719	232.814	-129.872	159.287	283.376	-137.175	155.812	328.199	-139.946	143.817	352.488	-141.182	135.473	370.113	-144.823	131.149	272.710	-153.214	154.431	325.147	-159.704	144.170	352.861	-163.557	134.252	372.208	-167.295	132.506	264.490	-171.610	147.496	311.099	-178.638	140.346	337.109	-180.968	133.065	355.121	-183.653	132.719	221.863	-166.073	147.184	254.229	-187.526	140.852	285.555	-196.703	135.379	302.733	-203.645	132.780	322.624	-208.914	130.146	182.573	178.357	173.940	213.598	157.336	167.955	203.229	216.767	152.610	242.154	201.468	162.303	243.517	138.216	159.944	280.291	106.982	153.496	306.306	91.633	144.251	325.904	79.463	137.367	267.400	152.694	167.541	316.297	135.342	159.945	361.889	124.566	149.831	380.985	113.314	142.394	400.417	108.953	137.204	317.486	156.844	159.137	366.365	143.834	148.417	391.745	135.388	141.309	411.568	130.242	141.644	316.872	174.644	156.401	362.539	166.646	148.258	387.184	159.273	141.666	405.996	152.665	140.556	275.082	188.552	154.332	307.429	190.467	152.629	343.880	195.036	144.436	364.892	193.582	141.216	380.956	194.143	140.834
12760	212.65000	154.720	-119.633	166.604	195.822	-122.459	163.272	145.764	-161.685	141.085	182.587	-165.547	153.437	218.306	-100.394	145.847	257.915	-92.814	144.481	287.580	-92.220	139.316	313.299	-89.940	131.711	232.827	-129.879	159.306	283.365	-137.186	155.816	328.203	-139.941	143.814	352.490	-141.188	135.470	370.107	-144.823	131.141	272.715	-153.220	154.433	325.142	-159.700	144.159	352.870	-163.546	134.239	372.215	-167.297	132.505	264.506	-171.605	147.484	311.111	-178.637	140.344	337.120	-180.974	133.061	355.112	-183.662	132.709	221.870	-166.067	147.185	254.222	-187.523	140.844	285.560	-196.706	135.372	302.741	-203.642	132.764	322.625	-208.905	130.138	182.633	178.425	173.978	213.648	157.401	167.987	203.277	216.859	152.600	242.223	201.567	162.297	243.596	138.303	159.984	280.353	107.042	153.527	306.359	91.678	144.271	325.932	79.480	137.370	267.449	152.772	167.528	316.350	135.404	159.955	361.926	124.605	149.847	381.034	113.341	142.387	400.454	108.966	137.182	317.602	156.953	159.155	366.425	143.878	148.415	391.777	135.409	141.283	411.633	130.245	141.639	316.915	174.718	156.384	362.561	166.701	148.270	387.232	159.320	141.649	406.046	152.688	140.550	275.116	188.621	154.340	307.467	190.559	152.630	343.901	195.091	144.415	364.943	193.622	141.204	381.022	194.177	140.802
12761	212.66667	154.733	-119.633	166.654	195.825	-122.460	163.270	145.764	-161.679	141.100	182.596	-165.542	153.442	218.304	-100.393	145.852	257.925	-92.819	144.483	287.579	-92.210	139.303	313.290	-89.945	131.704	232.824	-129.891	159.291	283.370	-137.175	155.808	328.211	-139.948	143.822	352.484	-141.175	135.456	370.112	-144.825	131.148	272.715	-153.218	154.425	325.157	-159.694	144.151	352.863	-163.546	134.215	372.216	-167.282	132.492	264.498	-171.595	147.480	311.103	-178.638	140.331	337.117	-180.968	133.055	355.123	-183.650	132.715	221.870	-166.072	147.165	254.222	-187.513	140.827	285.564	-196.696	135.378	302.736	-203.638	132.773	322.630	-208.898	130.136	182.728	178.555	174.010	213.760	157.524	168.054	203.330	216.983	152.558	242.319	201.716	162.285	243.729	138.449	160.073	280.447	107.156	153.590	306.429	91.761	144.296	325.976	79.537	137.387	267.564	152.936	167.562	316.431	135.521	159.979	362.004	124.692	149.850	381.106	113.407	142.397	400.519	108.995	137.165	317.698	157.080	159.169	366.487	143.959	148.413	391.843	135.445	141.283	411.699	130.262	141.618	316.977	174.831	156.382	362.621	166.781	148.257	387.302	159.369	141.643	406.125	152.717	140.541	275.180	188.755	154.319	307.528	190.699	152.602	343.975	195.183	144.408	365.045	193.686	141.186	381.099	194.201	140.799
