NO_OF_FRAMES	353
NO_OF_CAMERAS	8
NO_OF_MARKERS	52
FREQUENCY	60
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2020-12-18, 12:25:38	10153.40009057
DATA_INCLUDED	3D
MARKER_NAMES	R_FAR	R_WRR	R_FAU	R_WRU	R_CMC	R_MCP1	R_IP	R_FT1	R_CMC2	R_MCP2	R_PIP2	R_DIP2	R_FT2	R_MCP3	R_PIP3	R_DIP3	R_FT3	R_MCP4	R_PIP4	R_DIP4	R_FT4	R_CMC5	R_MCP5	R_PIP5	R_DIP5	R_FT5	L_FAR	L_WRR	L_FAU	L_WRU	L_CMC1	L_MCP1	L_IP	L_FT1	L_CMC2	L_MCP2	L_PIP2	L_DIP2	L_FT2	L_MCP3	L_PIP3	L_DIP3	L_FT3	L_MCP4	L_PIP4	L_DIP4	L_FT4	L_CMC5	L_MCP5	L_PIP5	L_DIP5	L_FT5
Frame	Time	R_FAR X	R_FAR Y	R_FAR Z	R_WRR X	R_WRR Y	R_WRR Z	R_FAU X	R_FAU Y	R_FAU Z	R_WRU X	R_WRU Y	R_WRU Z	R_CMC X	R_CMC Y	R_CMC Z	R_MCP1 X	R_MCP1 Y	R_MCP1 Z	R_IP X	R_IP Y	R_IP Z	R_FT1 X	R_FT1 Y	R_FT1 Z	R_CMC2 X	R_CMC2 Y	R_CMC2 Z	R_MCP2 X	R_MCP2 Y	R_MCP2 Z	R_PIP2 X	R_PIP2 Y	R_PIP2 Z	R_DIP2 X	R_DIP2 Y	R_DIP2 Z	R_FT2 X	R_FT2 Y	R_FT2 Z	R_MCP3 X	R_MCP3 Y	R_MCP3 Z	R_PIP3 X	R_PIP3 Y	R_PIP3 Z	R_DIP3 X	R_DIP3 Y	R_DIP3 Z	R_FT3 X	R_FT3 Y	R_FT3 Z	R_MCP4 X	R_MCP4 Y	R_MCP4 Z	R_PIP4 X	R_PIP4 Y	R_PIP4 Z	R_DIP4 X	R_DIP4 Y	R_DIP4 Z	R_FT4 X	R_FT4 Y	R_FT4 Z	R_CMC5 X	R_CMC5 Y	R_CMC5 Z	R_MCP5 X	R_MCP5 Y	R_MCP5 Z	R_PIP5 X	R_PIP5 Y	R_PIP5 Z	R_DIP5 X	R_DIP5 Y	R_DIP5 Z	R_FT5 X	R_FT5 Y	R_FT5 Z	L_FAR X	L_FAR Y	L_FAR Z	L_WRR X	L_WRR Y	L_WRR Z	L_FAU X	L_FAU Y	L_FAU Z	L_WRU X	L_WRU Y	L_WRU Z	L_CMC1 X	L_CMC1 Y	L_CMC1 Z	L_MCP1 X	L_MCP1 Y	L_MCP1 Z	L_IP X	L_IP Y	L_IP Z	L_FT1 X	L_FT1 Y	L_FT1 Z	L_CMC2 X	L_CMC2 Y	L_CMC2 Z	L_MCP2 X	L_MCP2 Y	L_MCP2 Z	L_PIP2 X	L_PIP2 Y	L_PIP2 Z	L_DIP2 X	L_DIP2 Y	L_DIP2 Z	L_FT2 X	L_FT2 Y	L_FT2 Z	L_MCP3 X	L_MCP3 Y	L_MCP3 Z	L_PIP3 X	L_PIP3 Y	L_PIP3 Z	L_DIP3 X	L_DIP3 Y	L_DIP3 Z	L_FT3 X	L_FT3 Y	L_FT3 Z	L_MCP4 X	L_MCP4 Y	L_MCP4 Z	L_PIP4 X	L_PIP4 Y	L_PIP4 Z	L_DIP4 X	L_DIP4 Y	L_DIP4 Z	L_FT4 X	L_FT4 Y	L_FT4 Z	L_CMC5 X	L_CMC5 Y	L_CMC5 Z	L_MCP5 X	L_MCP5 Y	L_MCP5 Z	L_PIP5 X	L_PIP5 Y	L_PIP5 Z	L_DIP5 X	L_DIP5 Y	L_DIP5 Z	L_FT5 X	L_FT5 Y	L_FT5 Z	
7108	118.45000	159.010	-126.943	168.725	201.286	-124.895	164.694	155.622	-170.688	143.555	191.388	-169.435	157.118	221.509	-101.420	146.019	260.607	-91.509	143.996	290.272	-90.324	139.226	316.043	-86.742	132.241	239.902	-129.421	156.898	288.651	-135.101	147.229	333.398	-138.363	140.378	358.396	-140.175	134.515	376.365	-144.151	132.419	278.788	-151.279	148.038	330.840	-157.449	141.209	359.414	-162.151	133.914	378.868	-165.960	133.844	271.151	-170.703	145.026	317.639	-176.156	139.252	343.970	-178.773	133.000	361.965	-180.684	133.510	229.109	-166.285	147.740	260.366	-187.817	140.337	291.832	-195.799	134.543	309.155	-202.194	133.022	329.282	-206.927	131.290	175.176	167.647	176.076	205.721	146.029	168.978	197.985	207.551	159.195	235.414	190.769	168.092	236.586	127.650	159.582	275.642	100.347	152.815	304.540	91.844	144.161	326.652	84.863	137.692	260.517	142.354	167.289	309.431	127.434	154.982	353.465	118.163	145.063	373.971	109.565	141.716	394.621	109.192	141.499	309.438	148.728	156.178	357.930	138.376	145.914	383.660	132.659	142.077	404.101	129.262	145.351	308.070	167.142	154.675	352.575	159.633	145.648	377.479	153.245	141.631	395.855	147.176	143.857	266.949	179.566	157.240	298.249	183.401	152.428	333.665	185.118	144.008	354.389	182.520	141.544	370.136	181.743	142.764
7109	118.46667	158.996	-126.900	168.692	201.269	-124.884	164.699	155.593	-170.655	143.538	191.361	-169.427	157.113	221.494	-101.388	146.026	260.588	-91.493	143.997	290.267	-90.305	139.219	316.034	-86.737	132.235	239.879	-129.415	156.899	288.629	-135.083	147.244	333.373	-138.357	140.382	358.375	-140.152	134.518	376.346	-144.136	132.413	278.774	-151.260	148.026	330.826	-157.449	141.201	359.387	-162.147	133.909	378.840	-165.961	133.850	271.138	-170.689	145.018	317.629	-176.141	139.251	343.960	-178.766	132.993	361.941	-180.680	133.505	229.089	-166.276	147.745	260.361	-187.798	140.339	291.824	-195.793	134.551	309.129	-202.196	133.024	329.263	-206.932	131.282	175.328	167.411	176.447	205.901	145.782	169.383	198.237	207.320	159.767	235.620	190.530	168.775	236.881	127.510	159.943	275.942	100.449	152.917	304.780	91.833	144.292	326.800	84.593	137.918	260.789	142.148	167.625	309.677	127.318	155.015	353.680	118.205	145.067	374.171	109.638	141.781	394.889	109.330	141.713	309.707	148.602	156.396	358.142	138.365	145.996	383.841	132.762	142.432	404.161	129.436	146.015	308.269	166.950	154.687	352.715	159.497	145.711	377.545	153.161	141.819	395.846	147.090	144.344	267.271	179.379	157.810	298.457	183.165	152.496	333.685	184.846	144.319	354.428	182.297	142.171	370.165	181.550	143.678
7110	118.48333	158.990	-126.860	168.669	201.277	-124.854	164.692	155.569	-170.615	143.549	191.349	-169.401	157.123	221.490	-101.358	146.033	260.585	-91.471	143.998	290.270	-90.297	139.215	316.029	-86.730	132.240	239.877	-129.401	156.909	288.623	-135.065	147.231	333.371	-138.336	140.381	358.368	-140.159	134.512	376.343	-144.125	132.420	278.764	-151.247	148.039	330.813	-157.425	141.218	359.384	-162.150	133.925	378.834	-165.972	133.842	271.124	-170.679	145.030	317.618	-176.137	139.250	343.943	-178.766	132.998	361.936	-180.687	133.514	229.085	-166.255	147.757	260.360	-187.787	140.344	291.810	-195.783	134.543	309.118	-202.192	133.017	329.255	-206.934	131.272	175.643	167.243	176.949	206.172	145.581	169.866	198.512	207.123	160.314	235.907	190.318	169.481	237.209	127.381	160.346	276.227	100.424	153.076	304.974	91.697	144.463	326.874	84.119	138.272	261.134	141.941	168.064	309.988	127.174	155.261	354.025	118.206	145.330	374.500	109.735	142.037	395.232	109.521	142.042	310.048	148.444	156.740	358.450	138.320	146.226	384.115	132.796	142.748	404.397	129.531	146.576	308.536	166.760	154.818	352.917	159.326	145.783	377.714	153.034	142.002	395.974	146.977	144.760	267.667	179.181	158.375	298.734	182.865	152.626	333.812	184.551	144.758	354.539	182.083	143.042	370.209	181.359	144.944
7111	118.50000	158.987	-126.816	168.641	201.270	-124.832	164.694	155.574	-170.595	143.559	191.333	-169.373	157.112	221.487	-101.353	146.030	260.594	-91.456	143.979	290.265	-90.280	139.215	316.025	-86.730	132.227	239.874	-129.389	156.911	288.617	-135.051	147.237	333.366	-138.327	140.394	358.359	-140.148	134.503	376.330	-144.127	132.421	278.762	-151.241	148.039	330.822	-157.441	141.211	359.379	-162.149	133.915	378.835	-165.970	133.840	271.132	-170.671	145.043	317.618	-176.139	139.248	343.937	-178.778	132.996	361.936	-180.687	133.516	229.094	-166.237	147.773	260.371	-187.770	140.357	291.812	-195.790	134.545	309.110	-202.205	133.022	329.242	-206.950	131.263	176.055	167.201	177.428	206.510	145.475	170.296	198.857	207.005	160.760	236.283	190.223	170.099	237.611	127.361	160.766	276.588	100.473	153.434	305.206	91.624	145.045	326.939	83.487	139.313	261.488	141.839	168.539	310.356	127.026	155.776	354.492	118.260	146.037	374.955	109.843	142.841	395.679	109.712	142.887	310.494	148.291	157.288	358.813	138.047	146.783	384.427	132.531	143.630	404.621	129.274	147.683	308.907	166.483	155.014	353.221	158.980	145.978	377.965	152.703	142.484	396.170	146.657	145.484	268.210	179.079	158.864	299.174	182.550	152.775	334.106	184.058	145.260	354.809	181.515	143.943	370.419	180.726	146.209
7112	118.51667	158.982	-126.803	168.611	201.262	-124.832	164.698	155.553	-170.562	143.544	191.327	-169.360	157.105	221.485	-101.347	146.025	260.588	-91.455	143.996	290.257	-90.287	139.210	316.017	-86.729	132.228	239.871	-129.377	156.918	288.612	-135.050	147.229	333.360	-138.334	140.393	358.349	-140.151	134.511	376.319	-144.138	132.411	278.762	-151.235	148.029	330.811	-157.433	141.218	359.371	-162.165	133.911	378.814	-165.984	133.843	271.130	-170.674	145.028	317.612	-176.154	139.266	343.926	-178.782	132.999	361.932	-180.712	133.504	229.084	-166.229	147.770	260.361	-187.764	140.367	291.807	-195.796	134.556	309.106	-202.212	133.030	329.239	-206.961	131.284	176.458	167.177	177.794	206.941	145.448	170.600	199.211	206.966	161.185	236.747	190.162	170.618	237.973	127.336	161.080	276.941	100.476	153.967	305.462	91.517	146.004	327.087	82.863	140.963	261.864	141.785	169.073	310.721	126.872	156.621	354.968	118.096	147.400	375.498	109.761	144.435	396.283	109.578	144.690	310.873	148.086	158.074	359.202	137.698	148.005	384.763	132.145	145.527	404.780	128.774	150.204	309.235	166.187	155.362	353.593	158.498	146.771	378.286	152.138	143.721	396.380	146.048	147.193	268.871	179.034	159.316	299.739	182.167	153.008	334.517	183.318	146.071	355.147	180.633	145.258	370.662	179.759	147.959
7113	118.53333	158.957	-126.796	168.591	201.255	-124.842	164.699	155.532	-170.558	143.543	191.308	-169.384	157.123	221.466	-101.357	146.025	260.574	-91.467	144.000	290.248	-90.287	139.211	316.016	-86.731	132.230	239.871	-129.378	156.918	288.603	-135.036	147.241	333.348	-138.330	140.385	358.339	-140.141	134.512	376.300	-144.125	132.415	278.753	-151.226	148.030	330.816	-157.438	141.221	359.355	-162.166	133.924	378.801	-165.987	133.844	271.116	-170.668	145.047	317.607	-176.151	139.268	343.924	-178.783	133.001	361.915	-180.712	133.512	229.090	-166.239	147.785	260.355	-187.756	140.361	291.812	-195.800	134.558	309.106	-202.201	133.014	329.237	-206.966	131.276	176.853	167.097	178.096	207.315	145.352	170.826	199.508	206.736	161.439	237.214	190.044	171.185	238.368	127.243	161.397	277.408	100.449	154.769	305.910	91.570	147.321	327.457	82.565	142.980	262.185	141.701	169.786	311.096	126.729	157.877	355.434	117.819	149.338	375.999	109.417	146.721	396.767	109.167	147.288	311.271	147.899	159.377	359.661	137.433	150.280	385.269	131.852	148.537	405.108	128.458	153.831	309.668	165.922	156.404	353.992	158.015	148.726	378.738	151.565	146.272	396.686	145.384	150.202	269.515	178.949	159.978	300.223	181.765	153.586	334.997	182.612	147.580	355.535	179.737	147.509	370.954	178.721	150.674
7114	118.55000	158.965	-126.801	168.599	201.227	-124.857	164.691	155.520	-170.562	143.533	191.302	-169.395	157.083	221.469	-101.352	146.026	260.571	-91.472	143.984	290.227	-90.290	139.208	315.983	-86.733	132.214	239.838	-129.401	156.924	288.591	-135.046	147.243	333.343	-138.316	140.389	358.320	-140.142	134.504	376.285	-144.130	132.403	278.747	-151.233	148.043	330.798	-157.432	141.212	359.339	-162.166	133.927	378.787	-165.989	133.832	271.109	-170.666	145.033	317.602	-176.141	139.251	343.919	-178.789	132.998	361.928	-180.717	133.515	229.080	-166.258	147.774	260.358	-187.766	140.360	291.809	-195.799	134.550	309.106	-202.215	133.010	329.233	-206.976	131.265	177.166	166.944	178.482	207.635	145.205	171.169	200.077	206.769	162.207	237.615	189.905	172.048	238.745	127.142	161.936	277.868	100.463	155.739	306.404	91.583	148.948	327.938	82.373	145.316	262.412	141.557	170.760	311.404	126.560	159.690	355.869	117.640	152.176	376.479	109.234	150.035	397.268	108.916	151.044	311.565	147.726	161.307	360.064	137.098	153.556	385.667	131.480	152.644	405.204	127.978	158.473	310.061	165.711	158.250	354.487	157.703	151.693	379.247	151.181	149.893	397.038	144.937	154.242	269.990	178.836	161.153	300.744	181.585	155.145	335.522	182.213	150.047	356.022	179.269	150.575	371.304	178.193	154.164
7115	118.56667	158.947	-126.824	168.582	201.213	-124.877	164.706	155.521	-170.584	143.524	191.281	-169.423	157.099	221.449	-101.371	146.033	260.563	-91.480	143.984	290.209	-90.285	139.204	315.949	-86.733	132.230	239.818	-129.416	156.945	288.562	-135.036	147.260	333.307	-138.319	140.379	358.300	-140.133	134.505	376.249	-144.121	132.418	278.727	-151.229	148.038	330.778	-157.442	141.228	359.326	-162.166	133.917	378.761	-166.001	133.841	271.095	-170.672	145.034	317.592	-176.145	139.257	343.912	-178.775	132.997	361.899	-180.707	133.511	229.049	-166.259	147.753	260.348	-187.759	140.360	291.808	-195.788	134.563	309.098	-202.214	133.010	329.237	-206.973	131.258	177.300	166.659	179.038	207.816	144.981	171.781	200.238	206.458	163.151	237.807	189.658	173.474	239.023	127.004	162.800	278.215	100.408	157.059	306.797	91.527	151.001	328.331	82.129	147.972	262.450	141.295	172.247	311.550	126.379	162.187	356.228	117.585	155.993	376.925	109.225	154.367	397.658	108.924	156.005	311.742	147.526	164.067	360.306	136.781	157.718	385.850	130.962	157.676	405.147	127.323	164.098	310.331	165.517	161.022	354.910	157.499	155.523	379.693	150.960	154.252	397.322	144.637	159.033	270.297	178.662	163.117	301.124	181.397	157.868	336.009	182.066	153.653	356.467	179.103	154.728	371.652	177.998	158.734
7116	118.58333	158.888	-126.855	168.544	201.158	-124.915	164.718	155.473	-170.607	143.518	191.254	-169.473	157.084	221.419	-101.394	146.033	260.523	-91.521	143.986	290.156	-90.292	139.198	315.897	-86.727	132.254	239.773	-129.430	156.950	288.533	-135.033	147.281	333.277	-138.313	140.398	358.261	-140.104	134.534	376.216	-144.087	132.411	278.700	-151.229	148.055	330.751	-157.446	141.225	359.290	-162.163	133.935	378.726	-165.994	133.840	271.070	-170.662	145.044	317.586	-176.138	139.251	343.887	-178.776	133.000	361.880	-180.710	133.507	229.023	-166.279	147.757	260.343	-187.766	140.370	291.796	-195.786	134.552	309.100	-202.203	133.022	329.221	-206.964	131.261	177.290	166.362	179.911	207.837	144.695	172.875	200.566	206.372	164.994	237.829	189.389	175.547	239.168	126.835	164.283	278.530	100.338	159.076	307.157	91.464	153.643	328.636	81.900	151.219	262.315	141.024	174.457	311.588	126.189	165.541	356.477	117.600	160.623	377.265	109.314	159.541	397.965	109.023	161.716	311.782	147.333	167.628	360.451	136.490	162.541	386.000	130.676	163.292	405.090	126.988	170.332	310.461	165.232	164.557	355.209	157.302	160.269	379.965	150.712	159.490	397.523	144.379	164.752	270.454	178.445	165.826	301.382	181.220	161.432	336.328	181.856	158.136	356.777	178.912	159.799	371.859	177.771	164.209
7117	118.60000	158.829	-126.912	168.539	201.115	-124.953	164.717	155.432	-170.657	143.498	191.214	-169.517	157.075	221.399	-101.419	146.051	260.496	-91.549	143.999	290.102	-90.314	139.195	315.850	-86.711	132.273	239.729	-129.458	156.951	288.466	-135.045	147.291	333.214	-138.306	140.397	358.211	-140.068	134.526	376.161	-144.061	132.398	278.655	-151.246	148.054	330.706	-157.444	141.246	359.241	-162.166	133.925	378.682	-165.990	133.836	271.033	-170.671	145.054	317.560	-176.150	139.257	343.858	-178.761	133.002	361.845	-180.708	133.512	228.976	-166.320	147.760	260.323	-187.780	140.377	291.781	-195.787	134.554	309.095	-202.194	133.029	329.207	-206.950	131.259	177.246	166.148	181.126	207.889	144.515	174.523	200.734	206.168	167.027	237.820	189.151	178.020	239.313	126.671	166.432	278.725	100.202	162.044	307.509	91.308	157.239	328.994	81.678	155.369	262.182	140.828	177.282	311.584	126.001	169.727	356.625	117.501	166.095	377.451	109.203	165.505	398.082	108.935	168.263	311.793	147.149	171.961	360.537	136.298	168.187	386.066	130.425	169.656	404.991	126.679	177.142	310.532	165.035	168.843	355.375	157.079	165.812	380.074	150.319	165.755	397.550	144.038	171.389	270.527	178.268	169.014	301.575	181.023	165.473	336.613	181.624	163.218	357.004	178.637	165.403	371.920	177.441	170.234
