NO_OF_FRAMES	505
NO_OF_CAMERAS	8
NO_OF_MARKERS	52
FREQUENCY	60
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2020-12-18, 12:25:38	10153.40009057
DATA_INCLUDED	3D
MARKER_NAMES	R_FAR	R_WRR	R_FAU	R_WRU	R_CMC	R_MCP1	R_IP	R_FT1	R_CMC2	R_MCP2	R_PIP2	R_DIP2	R_FT2	R_MCP3	R_PIP3	R_DIP3	R_FT3	R_MCP4	R_PIP4	R_DIP4	R_FT4	R_CMC5	R_MCP5	R_PIP5	R_DIP5	R_FT5	L_FAR	L_WRR	L_FAU	L_WRU	L_CMC1	L_MCP1	L_IP	L_FT1	L_CMC2	L_MCP2	L_PIP2	L_DIP2	L_FT2	L_MCP3	L_PIP3	L_DIP3	L_FT3	L_MCP4	L_PIP4	L_DIP4	L_FT4	L_CMC5	L_MCP5	L_PIP5	L_DIP5	L_FT5
Frame	Time	R_FAR X	R_FAR Y	R_FAR Z	R_WRR X	R_WRR Y	R_WRR Z	R_FAU X	R_FAU Y	R_FAU Z	R_WRU X	R_WRU Y	R_WRU Z	R_CMC X	R_CMC Y	R_CMC Z	R_MCP1 X	R_MCP1 Y	R_MCP1 Z	R_IP X	R_IP Y	R_IP Z	R_FT1 X	R_FT1 Y	R_FT1 Z	R_CMC2 X	R_CMC2 Y	R_CMC2 Z	R_MCP2 X	R_MCP2 Y	R_MCP2 Z	R_PIP2 X	R_PIP2 Y	R_PIP2 Z	R_DIP2 X	R_DIP2 Y	R_DIP2 Z	R_FT2 X	R_FT2 Y	R_FT2 Z	R_MCP3 X	R_MCP3 Y	R_MCP3 Z	R_PIP3 X	R_PIP3 Y	R_PIP3 Z	R_DIP3 X	R_DIP3 Y	R_DIP3 Z	R_FT3 X	R_FT3 Y	R_FT3 Z	R_MCP4 X	R_MCP4 Y	R_MCP4 Z	R_PIP4 X	R_PIP4 Y	R_PIP4 Z	R_DIP4 X	R_DIP4 Y	R_DIP4 Z	R_FT4 X	R_FT4 Y	R_FT4 Z	R_CMC5 X	R_CMC5 Y	R_CMC5 Z	R_MCP5 X	R_MCP5 Y	R_MCP5 Z	R_PIP5 X	R_PIP5 Y	R_PIP5 Z	R_DIP5 X	R_DIP5 Y	R_DIP5 Z	R_FT5 X	R_FT5 Y	R_FT5 Z	L_FAR X	L_FAR Y	L_FAR Z	L_WRR X	L_WRR Y	L_WRR Z	L_FAU X	L_FAU Y	L_FAU Z	L_WRU X	L_WRU Y	L_WRU Z	L_CMC1 X	L_CMC1 Y	L_CMC1 Z	L_MCP1 X	L_MCP1 Y	L_MCP1 Z	L_IP X	L_IP Y	L_IP Z	L_FT1 X	L_FT1 Y	L_FT1 Z	L_CMC2 X	L_CMC2 Y	L_CMC2 Z	L_MCP2 X	L_MCP2 Y	L_MCP2 Z	L_PIP2 X	L_PIP2 Y	L_PIP2 Z	L_DIP2 X	L_DIP2 Y	L_DIP2 Z	L_FT2 X	L_FT2 Y	L_FT2 Z	L_MCP3 X	L_MCP3 Y	L_MCP3 Z	L_PIP3 X	L_PIP3 Y	L_PIP3 Z	L_DIP3 X	L_DIP3 Y	L_DIP3 Z	L_FT3 X	L_FT3 Y	L_FT3 Z	L_MCP4 X	L_MCP4 Y	L_MCP4 Z	L_PIP4 X	L_PIP4 Y	L_PIP4 Z	L_DIP4 X	L_DIP4 Y	L_DIP4 Z	L_FT4 X	L_FT4 Y	L_FT4 Z	L_CMC5 X	L_CMC5 Y	L_CMC5 Z	L_MCP5 X	L_MCP5 Y	L_MCP5 Z	L_PIP5 X	L_PIP5 Y	L_PIP5 Z	L_DIP5 X	L_DIP5 Y	L_DIP5 Z	L_FT5 X	L_FT5 Y	L_FT5 Z	
14212	236.85000	152.844	-124.520	167.435	194.575	-126.810	165.436	144.599	-165.043	139.297	180.639	-169.488	153.504	217.028	-103.794	148.161	256.076	-95.151	144.816	285.460	-94.065	139.400	311.099	-90.973	132.021	232.391	-132.896	158.727	282.148	-138.442	151.119	327.194	-140.677	141.811	351.915	-141.584	134.736	369.850	-144.956	131.492	271.876	-154.329	150.208	324.165	-160.230	141.820	352.672	-164.059	133.852	372.126	-167.767	133.298	264.017	-173.264	145.873	310.582	-179.031	139.265	337.005	-181.380	132.796	355.069	-183.611	133.036	220.579	-168.164	147.074	252.714	-189.383	140.644	284.235	-199.730	135.087	301.551	-207.249	132.472	321.375	-213.125	130.050	177.438	174.021	174.936	208.487	152.034	169.156	199.010	212.400	154.114	236.568	196.866	164.823	240.437	133.097	160.102	278.178	103.938	153.075	304.595	88.866	144.154	324.452	77.001	137.451	263.894	148.651	166.476	314.313	136.692	155.104	360.000	132.871	145.917	381.121	126.583	141.673	401.635	126.825	139.743	312.539	157.949	154.874	362.506	152.504	146.482	389.115	149.227	141.670	409.389	147.577	143.923	310.191	175.871	154.896	355.886	172.828	146.008	381.237	169.518	141.613	400.564	165.549	142.435	267.623	185.010	154.889	298.869	190.963	152.382	333.913	199.289	144.009	354.784	200.294	141.607	370.627	202.416	142.036
14213	236.86667	152.835	-124.519	167.435	194.580	-126.808	165.435	144.601	-165.027	139.280	180.639	-169.488	153.483	217.041	-103.799	148.140	256.080	-95.157	144.796	285.473	-94.072	139.382	311.097	-90.969	132.007	232.374	-132.901	158.729	282.149	-138.450	151.129	327.192	-140.677	141.828	351.907	-141.596	134.746	369.842	-144.956	131.507	271.881	-154.324	150.206	324.155	-160.236	141.805	352.659	-164.065	133.850	372.125	-167.769	133.294	264.022	-173.265	145.864	310.582	-179.027	139.274	337.013	-181.377	132.778	355.069	-183.618	133.047	220.559	-168.173	147.068	252.706	-189.389	140.642	284.242	-199.720	135.059	301.556	-207.261	132.475	321.382	-213.131	130.038	177.428	174.032	174.921	208.489	152.033	169.144	199.015	212.406	154.122	236.568	196.860	164.817	240.450	133.103	160.109	278.168	103.936	153.059	304.599	88.871	144.150	324.453	77.007	137.445	263.889	148.658	166.480	314.308	136.695	155.103	360.003	132.873	145.943	381.120	126.591	141.668	401.629	126.828	139.750	312.532	157.944	154.865	362.501	152.515	146.480	389.116	149.226	141.668	409.389	147.577	143.926	310.194	175.888	154.894	355.872	172.828	146.002	381.244	169.519	141.612	400.567	165.538	142.433	267.626	185.017	154.892	298.877	190.958	152.376	333.917	199.287	144.007	354.792	200.295	141.606	370.643	202.415	142.034
14214	236.88333	152.836	-124.516	167.447	194.574	-126.803	165.438	144.593	-165.038	139.270	180.645	-169.481	153.502	217.034	-103.797	148.139	256.069	-95.157	144.795	285.469	-94.068	139.381	311.095	-90.963	132.000	232.368	-132.897	158.723	282.138	-138.443	151.116	327.175	-140.681	141.812	351.923	-141.590	134.735	369.846	-144.957	131.488	271.874	-154.332	150.207	324.177	-160.225	141.787	352.665	-164.063	133.849	372.133	-167.761	133.288	264.006	-173.264	145.870	310.577	-179.032	139.261	337.009	-181.379	132.778	355.065	-183.612	133.033	220.560	-168.184	147.078	252.703	-189.390	140.629	284.235	-199.726	135.072	301.555	-207.261	132.471	321.370	-213.128	130.015	177.422	174.031	174.913	208.490	152.036	169.157	199.009	212.406	154.116	236.573	196.913	164.803	240.450	133.103	160.110	278.171	103.941	153.069	304.597	88.875	144.138	324.450	77.006	137.429	263.895	148.660	166.472	314.308	136.699	155.097	359.993	132.881	145.936	381.114	126.586	141.658	401.631	126.831	139.750	312.530	157.954	154.866	362.516	152.508	146.484	389.098	149.229	141.677	409.397	147.586	143.923	310.187	175.875	154.890	355.872	172.835	146.007	381.241	169.511	141.603	400.568	165.545	142.433	267.580	185.024	154.832	298.871	190.964	152.380	333.901	199.295	144.001	354.782	200.290	141.582	370.633	202.409	142.036
14215	236.90000	152.837	-124.513	167.444	194.575	-126.807	165.440	144.601	-165.035	139.283	180.629	-169.489	153.507	217.037	-103.802	148.136	256.083	-95.147	144.792	285.463	-94.059	139.389	311.087	-90.972	132.003	232.364	-132.899	158.722	282.141	-138.441	151.117	327.197	-140.664	141.826	351.924	-141.590	134.753	369.845	-144.952	131.496	271.866	-154.327	150.203	324.168	-160.239	141.808	352.660	-164.068	133.848	372.127	-167.763	133.297	264.010	-173.255	145.864	310.588	-179.022	139.266	336.998	-181.373	132.782	355.066	-183.612	133.035	220.549	-168.183	147.107	252.709	-189.383	140.635	284.229	-199.723	135.078	301.554	-207.257	132.477	321.384	-213.116	130.035	177.431	174.036	174.930	208.495	152.057	169.154	199.009	212.403	154.118	236.568	196.870	164.831	240.438	133.098	160.119	278.172	103.945	153.074	304.592	88.880	144.143	324.444	77.008	137.438	263.888	148.667	166.482	314.310	136.704	155.104	359.996	132.884	145.919	381.116	126.593	141.668	401.624	126.831	139.754	312.535	157.956	154.868	362.510	152.518	146.491	389.096	149.241	141.674	409.385	147.591	143.960	310.187	175.887	154.894	355.877	172.832	146.006	381.240	169.527	141.606	400.562	165.535	142.433	267.629	185.023	154.890	298.866	190.965	152.394	333.918	199.292	143.991	354.787	200.293	141.613	370.634	202.419	142.042
14216	236.91667	152.841	-124.511	167.430	194.569	-126.809	165.448	144.590	-165.028	139.305	180.634	-169.491	153.511	217.035	-103.797	148.151	256.074	-95.152	144.808	285.461	-94.070	139.400	311.088	-90.959	132.014	232.374	-132.906	158.731	282.156	-138.449	151.119	327.192	-140.677	141.824	351.911	-141.592	134.742	369.849	-144.952	131.508	271.870	-154.330	150.213	324.167	-160.239	141.809	352.660	-164.064	133.855	372.133	-167.756	133.302	264.004	-173.252	145.867	310.584	-179.028	139.270	337.011	-181.374	132.795	355.061	-183.611	133.024	220.556	-168.165	147.090	252.706	-189.393	140.637	284.234	-199.727	135.082	301.551	-207.259	132.477	321.380	-213.128	130.044	177.422	174.037	174.921	208.493	152.047	169.168	199.018	212.410	154.130	236.569	196.904	164.813	240.454	133.113	160.126	278.179	103.952	153.072	304.593	88.875	144.151	324.440	77.013	137.451	263.892	148.661	166.478	314.306	136.700	155.105	359.995	132.879	145.941	381.113	126.597	141.673	401.629	126.834	139.752	312.531	157.967	154.892	362.508	152.520	146.488	389.103	149.235	141.679	409.383	147.596	143.958	310.187	175.886	154.901	355.878	172.834	146.011	381.242	169.518	141.609	400.575	165.549	142.433	267.579	185.021	154.844	298.874	190.964	152.400	333.915	199.295	144.000	354.785	200.291	141.609	370.640	202.413	142.035
14217	236.93333	152.816	-124.525	167.441	194.566	-126.810	165.440	144.586	-165.041	139.297	180.648	-169.485	153.505	217.028	-103.816	148.146	256.073	-95.159	144.800	285.460	-94.079	139.393	311.090	-90.974	132.011	232.373	-132.910	158.727	282.151	-138.443	151.121	327.178	-140.684	141.810	351.912	-141.597	134.733	369.839	-144.956	131.502	271.871	-154.341	150.219	324.160	-160.237	141.809	352.660	-164.065	133.852	372.131	-167.770	133.300	264.010	-173.263	145.878	310.582	-179.036	139.258	337.006	-181.381	132.793	355.057	-183.616	133.042	220.556	-168.181	147.105	252.711	-189.397	140.638	284.224	-199.726	135.072	301.549	-207.267	132.484	321.369	-213.126	130.047	177.425	174.036	174.938	208.483	152.051	169.154	199.005	212.409	154.124	236.581	196.906	164.824	240.448	133.105	160.127	278.178	103.947	153.080	304.593	88.880	144.157	324.438	77.008	137.449	263.894	148.662	166.485	314.311	136.695	155.109	359.994	132.877	145.937	381.110	126.595	141.668	401.616	126.830	139.750	312.534	157.962	154.880	362.513	152.517	146.492	389.102	149.224	141.664	409.387	147.593	143.947	310.182	175.884	154.896	355.874	172.823	146.007	381.233	169.507	141.615	400.572	165.539	142.433	267.581	185.018	154.845	298.865	190.956	152.378	333.912	199.288	144.007	354.790	200.299	141.609	370.635	202.405	142.037
14218	236.95000	152.829	-124.525	167.443	194.580	-126.833	165.443	144.594	-165.041	139.270	180.631	-169.490	153.509	217.023	-103.818	148.158	256.079	-95.173	144.803	285.462	-94.079	139.386	311.084	-90.980	132.010	232.380	-132.917	158.728	282.143	-138.460	151.123	327.182	-140.688	141.822	351.911	-141.602	134.736	369.843	-144.969	131.491	271.859	-154.347	150.204	324.156	-160.254	141.807	352.655	-164.076	133.846	372.126	-167.771	133.297	264.007	-173.271	145.861	310.579	-179.041	139.266	336.994	-181.388	132.783	355.057	-183.613	133.033	220.560	-168.195	147.089	252.710	-189.399	140.630	284.223	-199.747	135.072	301.545	-207.266	132.468	321.378	-213.140	130.035	177.431	174.029	174.932	208.485	152.037	169.151	199.018	212.401	154.136	236.581	196.904	164.823	240.438	133.099	160.114	278.172	103.943	153.070	304.600	88.868	144.160	324.446	77.003	137.444	263.883	148.664	166.483	314.308	136.693	155.102	359.988	132.872	145.921	381.120	126.584	141.666	401.620	126.826	139.747	312.528	157.943	154.874	362.498	152.507	146.480	389.097	149.222	141.662	409.394	147.587	143.948	310.190	175.875	154.895	355.870	172.825	146.006	381.240	169.510	141.610	400.562	165.533	142.408	267.586	185.020	154.848	298.870	190.952	152.384	333.909	199.271	143.995	354.789	200.279	141.584	370.625	202.407	142.030
14219	236.96667	152.834	-124.527	167.438	194.570	-126.830	165.446	144.594	-165.057	139.290	180.630	-169.494	153.498	217.036	-103.813	148.160	256.065	-95.185	144.800	285.454	-94.089	139.377	311.086	-90.983	132.005	232.358	-132.934	158.730	282.139	-138.465	151.119	327.176	-140.693	141.821	351.909	-141.612	134.737	369.846	-144.967	131.501	271.856	-154.344	150.205	324.161	-160.248	141.806	352.654	-164.077	133.847	372.121	-167.772	133.299	264.004	-173.282	145.884	310.578	-179.038	139.270	336.999	-181.391	132.784	355.058	-183.615	133.024	220.561	-168.194	147.082	252.700	-189.402	140.626	284.229	-199.748	135.078	301.550	-207.273	132.463	321.376	-213.134	130.028	177.421	174.038	174.937	208.473	152.043	169.157	199.006	212.407	154.145	236.565	196.862	164.844	240.454	133.107	160.125	278.165	103.950	153.081	304.587	88.874	144.149	324.446	77.009	137.448	263.891	148.670	166.487	314.309	136.702	155.107	359.996	132.880	145.924	381.107	126.596	141.658	401.619	126.820	139.750	312.526	157.953	154.881	362.510	152.512	146.485	389.106	149.232	141.662	409.386	147.580	143.916	310.187	175.877	154.890	355.870	172.823	146.010	381.235	169.507	141.610	400.566	165.536	142.439	267.628	185.015	154.913	298.865	190.956	152.395	333.908	199.280	144.007	354.782	200.270	141.588	370.633	202.397	142.032
14220	236.98333	152.827	-124.528	167.437	194.563	-126.830	165.439	144.606	-165.050	139.293	180.619	-169.507	153.500	217.033	-103.823	148.168	256.080	-95.182	144.804	285.467	-94.079	139.392	311.076	-90.982	132.010	232.367	-132.921	158.731	282.121	-138.456	151.120	327.179	-140.699	141.829	351.907	-141.604	134.740	369.836	-144.958	131.494	271.852	-154.344	150.211	324.161	-160.259	141.810	352.656	-164.075	133.840	372.122	-167.770	133.301	263.998	-173.271	145.871	310.581	-179.038	139.257	337.002	-181.379	132.781	355.054	-183.615	133.040	220.557	-168.181	147.076	252.693	-189.402	140.623	284.232	-199.731	135.057	301.557	-207.264	132.479	321.368	-213.125	130.025	177.419	174.039	174.916	208.491	152.057	169.164	199.020	212.403	154.151	236.575	196.912	164.830	240.452	133.118	160.142	278.174	103.955	153.077	304.590	88.892	144.150	324.439	77.012	137.447	263.873	148.674	166.480	314.307	136.709	155.116	359.991	132.882	145.916	381.109	126.599	141.651	401.615	126.835	139.746	312.527	157.968	154.870	362.506	152.518	146.484	389.091	149.234	141.665	409.374	147.583	143.933	310.182	175.884	154.905	355.873	172.834	146.003	381.231	169.519	141.605	400.564	165.544	142.437	267.575	185.034	154.861	298.865	190.969	152.383	333.899	199.283	144.002	354.788	200.279	141.578	370.632	202.407	142.022
14221	237.00000	152.831	-124.527	167.443	194.561	-126.829	165.450	144.586	-165.047	139.285	180.616	-169.496	153.488	217.022	-103.820	148.175	256.067	-95.177	144.817	285.461	-94.086	139.385	311.076	-90.981	132.016	232.360	-132.922	158.724	282.123	-138.468	151.113	327.183	-140.691	141.819	351.891	-141.597	134.725	369.839	-144.964	131.495	271.850	-154.345	150.194	324.160	-160.249	141.809	352.641	-164.070	133.841	372.106	-167.776	133.296	264.003	-173.271	145.872	310.578	-179.023	139.256	336.990	-181.376	132.773	355.054	-183.609	133.025	220.541	-168.187	147.091	252.703	-189.405	140.619	284.223	-199.718	135.062	301.543	-207.261	132.478	321.367	-213.127	130.025	177.404	174.047	174.913	208.489	152.056	169.168	199.010	212.417	154.141	236.555	196.874	164.849	240.437	133.121	160.131	278.180	103.971	153.084	304.594	88.892	144.152	324.432	77.018	137.463	263.879	148.675	166.475	314.307	136.714	155.116	359.996	132.890	145.945	381.102	126.609	141.682	401.612	126.837	139.753	312.526	157.963	154.883	362.497	152.518	146.488	389.089	149.240	141.675	409.376	147.588	143.951	310.183	175.894	154.885	355.867	172.836	146.004	381.237	169.512	141.602	400.570	165.542	142.438	267.610	185.024	154.905	298.869	190.977	152.387	333.906	199.279	143.998	354.789	200.281	141.583	370.635	202.405	142.025
