NO_OF_FRAMES	1641
NO_OF_CAMERAS	8
NO_OF_MARKERS	52
FREQUENCY	60
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2020-12-18, 12:25:38	10153.40009057
DATA_INCLUDED	3D
MARKER_NAMES	R_FAR	R_WRR	R_FAU	R_WRU	R_CMC	R_MCP1	R_IP	R_FT1	R_CMC2	R_MCP2	R_PIP2	R_DIP2	R_FT2	R_MCP3	R_PIP3	R_DIP3	R_FT3	R_MCP4	R_PIP4	R_DIP4	R_FT4	R_CMC5	R_MCP5	R_PIP5	R_DIP5	R_FT5	L_FAR	L_WRR	L_FAU	L_WRU	L_CMC1	L_MCP1	L_IP	L_FT1	L_CMC2	L_MCP2	L_PIP2	L_DIP2	L_FT2	L_MCP3	L_PIP3	L_DIP3	L_FT3	L_MCP4	L_PIP4	L_DIP4	L_FT4	L_CMC5	L_MCP5	L_PIP5	L_DIP5	L_FT5
Frame	Time	R_FAR X	R_FAR Y	R_FAR Z	R_WRR X	R_WRR Y	R_WRR Z	R_FAU X	R_FAU Y	R_FAU Z	R_WRU X	R_WRU Y	R_WRU Z	R_CMC X	R_CMC Y	R_CMC Z	R_MCP1 X	R_MCP1 Y	R_MCP1 Z	R_IP X	R_IP Y	R_IP Z	R_FT1 X	R_FT1 Y	R_FT1 Z	R_CMC2 X	R_CMC2 Y	R_CMC2 Z	R_MCP2 X	R_MCP2 Y	R_MCP2 Z	R_PIP2 X	R_PIP2 Y	R_PIP2 Z	R_DIP2 X	R_DIP2 Y	R_DIP2 Z	R_FT2 X	R_FT2 Y	R_FT2 Z	R_MCP3 X	R_MCP3 Y	R_MCP3 Z	R_PIP3 X	R_PIP3 Y	R_PIP3 Z	R_DIP3 X	R_DIP3 Y	R_DIP3 Z	R_FT3 X	R_FT3 Y	R_FT3 Z	R_MCP4 X	R_MCP4 Y	R_MCP4 Z	R_PIP4 X	R_PIP4 Y	R_PIP4 Z	R_DIP4 X	R_DIP4 Y	R_DIP4 Z	R_FT4 X	R_FT4 Y	R_FT4 Z	R_CMC5 X	R_CMC5 Y	R_CMC5 Z	R_MCP5 X	R_MCP5 Y	R_MCP5 Z	R_PIP5 X	R_PIP5 Y	R_PIP5 Z	R_DIP5 X	R_DIP5 Y	R_DIP5 Z	R_FT5 X	R_FT5 Y	R_FT5 Z	L_FAR X	L_FAR Y	L_FAR Z	L_WRR X	L_WRR Y	L_WRR Z	L_FAU X	L_FAU Y	L_FAU Z	L_WRU X	L_WRU Y	L_WRU Z	L_CMC1 X	L_CMC1 Y	L_CMC1 Z	L_MCP1 X	L_MCP1 Y	L_MCP1 Z	L_IP X	L_IP Y	L_IP Z	L_FT1 X	L_FT1 Y	L_FT1 Z	L_CMC2 X	L_CMC2 Y	L_CMC2 Z	L_MCP2 X	L_MCP2 Y	L_MCP2 Z	L_PIP2 X	L_PIP2 Y	L_PIP2 Z	L_DIP2 X	L_DIP2 Y	L_DIP2 Z	L_FT2 X	L_FT2 Y	L_FT2 Z	L_MCP3 X	L_MCP3 Y	L_MCP3 Z	L_PIP3 X	L_PIP3 Y	L_PIP3 Z	L_DIP3 X	L_DIP3 Y	L_DIP3 Z	L_FT3 X	L_FT3 Y	L_FT3 Z	L_MCP4 X	L_MCP4 Y	L_MCP4 Z	L_PIP4 X	L_PIP4 Y	L_PIP4 Z	L_DIP4 X	L_DIP4 Y	L_DIP4 Z	L_FT4 X	L_FT4 Y	L_FT4 Z	L_CMC5 X	L_CMC5 Y	L_CMC5 Z	L_MCP5 X	L_MCP5 Y	L_MCP5 Z	L_PIP5 X	L_PIP5 Y	L_PIP5 Z	L_DIP5 X	L_DIP5 Y	L_DIP5 Z	L_FT5 X	L_FT5 Y	L_FT5 Z	
2810	46.81667	152.001	-115.572	168.612	194.000	-112.274	165.946	149.719	-157.950	140.820	184.936	-156.454	154.603	215.914	-87.356	147.878	255.803	-80.658	144.824	284.728	-80.926	139.559	310.268	-77.772	133.006	232.499	-116.622	159.351	281.739	-121.217	150.275	326.616	-120.455	142.089	351.518	-119.731	135.363	369.684	-121.740	132.138	271.695	-137.423	149.556	323.756	-142.398	142.155	352.198	-145.855	134.325	371.771	-149.114	133.945	264.170	-156.723	145.828	310.580	-161.954	139.701	336.710	-164.134	133.261	354.758	-166.086	133.585	222.120	-152.942	147.584	254.048	-173.556	140.676	285.884	-178.826	135.149	303.403	-183.901	133.623	323.804	-187.162	132.046	172.544	191.590	174.467	204.704	172.852	168.669	192.189	233.256	157.787	230.734	219.203	166.438	236.311	156.589	160.068	276.376	130.184	153.495	306.263	125.166	144.415	329.017	120.496	138.284	259.571	172.528	167.105	309.002	160.613	154.873	354.081	156.276	146.585	375.757	149.003	142.347	396.511	149.609	140.028	307.897	181.945	156.059	357.529	175.668	147.040	383.925	172.020	142.760	404.877	170.096	144.827	305.676	200.072	155.865	351.490	196.570	147.748	376.843	192.212	142.562	395.989	187.824	142.819	263.571	210.168	156.153	294.967	215.821	153.122	330.585	221.342	145.082	351.359	220.814	142.253	367.161	221.627	142.610
2811	46.83333	152.002	-115.561	168.608	194.005	-112.263	165.942	149.713	-157.950	140.833	184.930	-156.441	154.605	215.912	-87.351	147.876	255.809	-80.644	144.819	284.739	-80.923	139.554	310.278	-77.766	133.000	232.503	-116.603	159.355	281.743	-121.215	150.283	326.608	-120.461	142.096	351.525	-119.738	135.371	369.685	-121.746	132.140	271.698	-137.414	149.557	323.756	-142.400	142.147	352.200	-145.852	134.327	371.778	-149.113	133.942	264.159	-156.722	145.829	310.584	-161.960	139.694	336.712	-164.138	133.274	354.763	-166.077	133.595	222.112	-152.943	147.564	254.063	-173.544	140.659	285.881	-178.819	135.160	303.402	-183.894	133.615	323.802	-187.157	132.060	172.547	191.605	174.465	204.709	172.870	168.666	192.199	233.263	157.784	230.723	219.220	166.419	236.316	156.595	160.073	276.380	130.189	153.503	306.269	125.171	144.412	329.021	120.494	138.292	259.560	172.544	167.118	309.009	160.627	154.878	354.088	156.285	146.590	375.763	149.009	142.336	396.516	149.610	140.035	307.890	181.953	156.051	357.531	175.664	147.038	383.933	172.021	142.773	404.883	170.089	144.826	305.663	200.074	155.852	351.482	196.574	147.747	376.856	192.217	142.578	395.993	187.830	142.830	263.566	210.174	156.157	294.978	215.830	153.114	330.582	221.345	145.076	351.348	220.805	142.243	367.159	221.637	142.610
2812	46.85000	152.011	-115.534	168.619	193.995	-112.252	165.938	149.725	-157.927	140.842	184.927	-156.422	154.614	215.912	-87.332	147.867	255.810	-80.628	144.812	284.737	-80.918	139.551	310.284	-77.764	132.991	232.508	-116.601	159.354	281.749	-121.203	150.291	326.612	-120.447	142.095	351.536	-119.718	135.380	369.702	-121.744	132.139	271.710	-137.404	149.566	323.765	-142.385	142.152	352.212	-145.844	134.329	371.783	-149.112	133.953	264.167	-156.710	145.839	310.582	-161.963	139.699	336.705	-164.139	133.281	354.765	-166.080	133.611	222.126	-152.923	147.575	254.062	-173.552	140.700	285.891	-178.821	135.162	303.404	-183.889	133.627	323.808	-187.163	132.064	172.545	191.618	174.478	204.732	172.881	168.693	192.209	233.279	157.772	230.732	219.223	166.412	236.321	156.599	160.084	276.382	130.188	153.506	306.279	125.172	144.417	329.011	120.498	138.294	259.572	172.554	167.115	309.015	160.631	154.875	354.099	156.286	146.591	375.772	149.009	142.365	396.521	149.614	140.029	307.895	181.955	156.063	357.531	175.659	147.032	383.936	172.027	142.766	404.880	170.100	144.828	305.676	200.080	155.863	351.482	196.570	147.753	376.857	192.219	142.572	395.993	187.829	142.846	263.570	210.181	156.149	294.975	215.835	153.129	330.591	221.347	145.075	351.356	220.820	142.249	367.160	221.639	142.619
2813	46.86667	152.010	-115.509	168.604	194.007	-112.226	165.929	149.733	-157.928	140.873	184.940	-156.402	154.626	215.914	-87.315	147.864	255.816	-80.604	144.823	284.762	-80.881	139.554	310.293	-77.743	132.990	232.517	-116.576	159.350	281.753	-121.195	150.296	326.621	-120.444	142.093	351.541	-119.717	135.386	369.726	-121.732	132.141	271.717	-137.388	149.576	323.783	-142.380	142.162	352.215	-145.828	134.335	371.790	-149.107	133.959	264.183	-156.695	145.847	310.594	-161.943	139.707	336.712	-164.127	133.272	354.766	-166.069	133.613	222.129	-152.920	147.581	254.059	-173.530	140.678	285.887	-178.814	135.173	303.405	-183.890	133.630	323.808	-187.153	132.065	172.554	191.639	174.467	204.723	172.896	168.695	192.198	233.280	157.759	230.745	219.241	166.409	236.319	156.602	160.080	276.391	130.200	153.513	306.272	125.173	144.423	329.015	120.504	138.296	259.584	172.569	167.135	309.011	160.638	154.878	354.110	156.293	146.589	375.768	149.011	142.350	396.517	149.620	140.032	307.899	181.973	156.056	357.543	175.683	147.040	383.930	172.036	142.773	404.877	170.103	144.827	305.680	200.090	155.865	351.495	196.581	147.747	376.859	192.228	142.585	396.004	187.843	142.837	263.569	210.198	156.146	294.974	215.839	153.122	330.585	221.353	145.085	351.355	220.826	142.255	367.166	221.646	142.627
2814	46.88333	152.016	-115.494	168.618	194.006	-112.219	165.910	149.744	-157.907	140.872	184.926	-156.395	154.617	215.904	-87.301	147.863	255.813	-80.589	144.813	284.766	-80.864	139.558	310.300	-77.739	132.995	232.517	-116.573	159.347	281.760	-121.186	150.297	326.632	-120.437	142.098	351.551	-119.710	135.390	369.707	-121.728	132.147	271.717	-137.374	149.578	323.779	-142.365	142.156	352.216	-145.820	134.337	371.794	-149.095	133.956	264.173	-156.688	145.837	310.597	-161.940	139.705	336.726	-164.122	133.270	354.765	-166.071	133.609	222.127	-152.899	147.579	254.060	-173.524	140.690	285.889	-178.794	135.165	303.395	-183.882	133.629	323.811	-187.148	132.066	172.548	191.647	174.464	204.710	172.908	168.693	192.210	233.295	157.762	230.735	219.248	166.420	236.318	156.615	160.093	276.391	130.207	153.512	306.273	125.195	144.428	329.015	120.508	138.297	259.567	172.576	167.139	309.010	160.646	154.873	354.096	156.297	146.599	375.772	149.027	142.354	396.522	149.626	140.040	307.891	181.977	156.066	357.541	175.684	147.046	383.935	172.042	142.771	404.885	170.108	144.834	305.675	200.105	155.866	351.491	196.588	147.736	376.865	192.227	142.580	395.994	187.842	142.836	263.574	210.201	156.144	294.969	215.847	153.119	330.590	221.368	145.076	351.351	220.832	142.248	367.167	221.660	142.622
2815	46.90000	152.026	-115.492	168.614	194.016	-112.206	165.920	149.747	-157.899	140.873	184.942	-156.389	154.624	215.917	-87.297	147.841	255.817	-80.582	144.800	284.765	-80.858	139.559	310.308	-77.736	132.995	232.517	-116.556	159.349	281.763	-121.176	150.295	326.627	-120.426	142.100	351.555	-119.714	135.393	369.719	-121.727	132.139	271.720	-137.379	149.577	323.771	-142.360	142.157	352.218	-145.821	134.344	371.799	-149.086	133.957	264.174	-156.698	145.840	310.593	-161.929	139.709	336.715	-164.122	133.290	354.764	-166.071	133.597	222.127	-152.890	147.580	254.063	-173.527	140.697	285.889	-178.809	135.166	303.408	-183.876	133.636	323.806	-187.151	132.067	172.555	191.678	174.462	204.729	172.925	168.692	192.196	233.310	157.748	230.743	219.266	166.397	236.324	156.623	160.096	276.396	130.224	153.512	306.283	125.204	144.432	329.013	120.513	138.301	259.559	172.574	167.109	309.008	160.654	154.873	354.095	156.302	146.595	375.763	149.021	142.358	396.522	149.629	140.036	307.900	181.978	156.063	357.533	175.691	147.036	383.934	172.033	142.769	404.874	170.107	144.831	305.685	200.115	155.861	351.490	196.597	147.742	376.865	192.238	142.579	395.988	187.847	142.835	263.594	210.186	156.121	294.977	215.872	153.115	330.595	221.376	145.065	351.359	220.841	142.249	367.169	221.669	142.622
2816	46.91667	152.026	-115.493	168.612	194.007	-112.208	165.907	149.748	-157.900	140.870	184.946	-156.374	154.613	215.917	-87.301	147.842	255.813	-80.592	144.800	284.759	-80.862	139.555	310.305	-77.724	132.986	232.528	-116.548	159.341	281.771	-121.175	150.301	326.628	-120.422	142.107	351.548	-119.701	135.378	369.707	-121.726	132.145	271.728	-137.376	149.576	323.782	-142.362	142.166	352.217	-145.825	134.338	371.795	-149.083	133.938	264.190	-156.688	145.851	310.589	-161.938	139.707	336.717	-164.124	133.273	354.790	-166.061	133.608	222.125	-152.894	147.578	254.069	-173.506	140.685	285.899	-178.794	135.161	303.410	-183.875	133.630	323.802	-187.143	132.055	172.561	191.692	174.474	204.722	172.940	168.700	192.205	233.317	157.741	230.736	219.280	166.392	236.322	156.637	160.094	276.396	130.229	153.509	306.277	125.204	144.430	329.013	120.514	138.296	259.553	172.588	167.107	309.017	160.665	154.877	354.098	156.309	146.598	375.772	149.034	142.342	396.521	149.633	140.040	307.908	181.986	156.060	357.537	175.695	147.041	383.935	172.045	142.758	404.890	170.112	144.822	305.680	200.119	155.857	351.498	196.605	147.738	376.857	192.231	142.572	396.000	187.848	142.831	263.594	210.199	156.123	294.984	215.865	153.125	330.602	221.378	145.066	351.371	220.846	142.252	367.176	221.663	142.614
2817	46.93333	152.034	-115.499	168.624	194.014	-112.208	165.915	149.735	-157.900	140.862	184.942	-156.394	154.597	215.912	-87.290	147.839	255.814	-80.587	144.816	284.763	-80.859	139.539	310.304	-77.742	132.986	232.517	-116.564	159.348	281.763	-121.185	150.307	326.622	-120.438	142.109	351.550	-119.717	135.387	369.717	-121.727	132.150	271.716	-137.390	149.577	323.776	-142.366	142.156	352.222	-145.827	134.335	371.795	-149.092	133.943	264.182	-156.690	145.840	310.586	-161.931	139.702	336.716	-164.122	133.278	354.779	-166.068	133.608	222.139	-152.898	147.593	254.061	-173.522	140.675	285.899	-178.796	135.160	303.406	-183.886	133.629	323.809	-187.146	132.057	172.575	191.705	174.478	204.719	172.950	168.702	192.213	233.326	157.726	230.755	219.300	166.384	236.332	156.647	160.102	276.412	130.234	153.521	306.277	125.217	144.433	329.011	120.515	138.305	259.572	172.606	167.138	309.018	160.663	154.888	354.107	156.311	146.596	375.771	149.027	142.347	396.517	149.625	140.039	307.909	181.996	156.056	357.540	175.699	147.039	383.935	172.045	142.766	404.888	170.113	144.827	305.681	200.120	155.864	351.495	196.600	147.742	376.866	192.226	142.572	396.004	187.841	142.836	263.574	210.216	156.138	294.982	215.879	153.119	330.597	221.375	145.071	351.368	220.846	142.247	367.178	221.666	142.622
2818	46.95000	152.023	-115.499	168.602	194.009	-112.215	165.908	149.739	-157.907	140.876	184.930	-156.398	154.617	215.905	-87.307	147.843	255.811	-80.602	144.813	284.747	-80.874	139.551	310.300	-77.736	132.982	232.503	-116.565	159.343	281.749	-121.192	150.294	326.629	-120.442	142.110	351.547	-119.723	135.389	369.712	-121.728	132.150	271.713	-137.389	149.576	323.772	-142.376	142.164	352.206	-145.835	134.336	371.778	-149.105	133.951	264.163	-156.697	145.836	310.588	-161.933	139.708	336.714	-164.124	133.281	354.774	-166.067	133.620	222.124	-152.913	147.572	254.062	-173.516	140.675	285.896	-178.804	135.166	303.414	-183.887	133.637	323.805	-187.156	132.060	172.575	191.706	174.471	204.727	172.948	168.707	192.203	233.327	157.734	230.749	219.296	166.373	236.334	156.652	160.103	276.406	130.243	153.520	306.281	125.220	144.447	329.010	120.516	138.295	259.571	172.614	167.152	309.014	160.665	154.887	354.100	156.314	146.596	375.770	149.035	142.364	396.509	149.628	140.032	307.912	181.994	156.071	357.539	175.692	147.043	383.939	172.037	142.777	404.890	170.108	144.825	305.683	200.124	155.868	351.495	196.593	147.748	376.865	192.242	142.580	395.999	187.849	142.835	263.577	210.223	156.148	294.976	215.871	153.119	330.586	221.380	145.071	351.365	220.842	142.250	367.177	221.656	142.635
2819	46.96667	152.027	-115.485	168.627	194.004	-112.214	165.917	149.734	-157.903	140.883	184.924	-156.391	154.630	215.908	-87.299	147.843	255.814	-80.598	144.815	284.755	-80.874	139.564	310.289	-77.746	132.984	232.504	-116.573	159.341	281.754	-121.195	150.299	326.630	-120.446	142.104	351.535	-119.725	135.387	369.710	-121.735	132.157	271.706	-137.396	149.588	323.778	-142.372	142.167	352.211	-145.832	134.337	371.779	-149.105	133.955	264.164	-156.698	145.837	310.580	-161.950	139.709	336.710	-164.112	133.289	354.753	-166.077	133.613	222.116	-152.904	147.578	254.055	-173.515	140.680	285.876	-178.817	135.181	303.399	-183.875	133.633	323.790	-187.153	132.070	172.568	191.721	174.473	204.727	172.952	168.716	192.205	233.334	157.734	230.739	219.311	166.395	236.326	156.652	160.106	276.398	130.242	153.524	306.277	125.217	144.437	329.012	120.519	138.306	259.579	172.622	167.152	309.011	160.665	154.893	354.096	156.318	146.603	375.764	149.040	142.367	396.516	149.639	140.039	307.902	181.999	156.064	357.537	175.694	147.042	383.931	172.047	142.771	404.882	170.106	144.831	305.687	200.126	155.865	351.495	196.602	147.752	376.861	192.234	142.582	396.001	187.836	142.827	263.575	210.237	156.141	294.983	215.883	153.108	330.602	221.382	145.072	351.361	220.842	142.253	367.183	221.659	142.635
