NO_OF_FRAMES	230
NO_OF_CAMERAS	8
NO_OF_MARKERS	52
FREQUENCY	60
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2020-12-18, 12:25:38	10153.40009057
DATA_INCLUDED	3D
MARKER_NAMES	R_FAR	R_WRR	R_FAU	R_WRU	R_CMC	R_MCP1	R_IP	R_FT1	R_CMC2	R_MCP2	R_PIP2	R_DIP2	R_FT2	R_MCP3	R_PIP3	R_DIP3	R_FT3	R_MCP4	R_PIP4	R_DIP4	R_FT4	R_CMC5	R_MCP5	R_PIP5	R_DIP5	R_FT5	L_FAR	L_WRR	L_FAU	L_WRU	L_CMC1	L_MCP1	L_IP	L_FT1	L_CMC2	L_MCP2	L_PIP2	L_DIP2	L_FT2	L_MCP3	L_PIP3	L_DIP3	L_FT3	L_MCP4	L_PIP4	L_DIP4	L_FT4	L_CMC5	L_MCP5	L_PIP5	L_DIP5	L_FT5
Frame	Time	R_FAR X	R_FAR Y	R_FAR Z	R_WRR X	R_WRR Y	R_WRR Z	R_FAU X	R_FAU Y	R_FAU Z	R_WRU X	R_WRU Y	R_WRU Z	R_CMC X	R_CMC Y	R_CMC Z	R_MCP1 X	R_MCP1 Y	R_MCP1 Z	R_IP X	R_IP Y	R_IP Z	R_FT1 X	R_FT1 Y	R_FT1 Z	R_CMC2 X	R_CMC2 Y	R_CMC2 Z	R_MCP2 X	R_MCP2 Y	R_MCP2 Z	R_PIP2 X	R_PIP2 Y	R_PIP2 Z	R_DIP2 X	R_DIP2 Y	R_DIP2 Z	R_FT2 X	R_FT2 Y	R_FT2 Z	R_MCP3 X	R_MCP3 Y	R_MCP3 Z	R_PIP3 X	R_PIP3 Y	R_PIP3 Z	R_DIP3 X	R_DIP3 Y	R_DIP3 Z	R_FT3 X	R_FT3 Y	R_FT3 Z	R_MCP4 X	R_MCP4 Y	R_MCP4 Z	R_PIP4 X	R_PIP4 Y	R_PIP4 Z	R_DIP4 X	R_DIP4 Y	R_DIP4 Z	R_FT4 X	R_FT4 Y	R_FT4 Z	R_CMC5 X	R_CMC5 Y	R_CMC5 Z	R_MCP5 X	R_MCP5 Y	R_MCP5 Z	R_PIP5 X	R_PIP5 Y	R_PIP5 Z	R_DIP5 X	R_DIP5 Y	R_DIP5 Z	R_FT5 X	R_FT5 Y	R_FT5 Z	L_FAR X	L_FAR Y	L_FAR Z	L_WRR X	L_WRR Y	L_WRR Z	L_FAU X	L_FAU Y	L_FAU Z	L_WRU X	L_WRU Y	L_WRU Z	L_CMC1 X	L_CMC1 Y	L_CMC1 Z	L_MCP1 X	L_MCP1 Y	L_MCP1 Z	L_IP X	L_IP Y	L_IP Z	L_FT1 X	L_FT1 Y	L_FT1 Z	L_CMC2 X	L_CMC2 Y	L_CMC2 Z	L_MCP2 X	L_MCP2 Y	L_MCP2 Z	L_PIP2 X	L_PIP2 Y	L_PIP2 Z	L_DIP2 X	L_DIP2 Y	L_DIP2 Z	L_FT2 X	L_FT2 Y	L_FT2 Z	L_MCP3 X	L_MCP3 Y	L_MCP3 Z	L_PIP3 X	L_PIP3 Y	L_PIP3 Z	L_DIP3 X	L_DIP3 Y	L_DIP3 Z	L_FT3 X	L_FT3 Y	L_FT3 Z	L_MCP4 X	L_MCP4 Y	L_MCP4 Z	L_PIP4 X	L_PIP4 Y	L_PIP4 Z	L_DIP4 X	L_DIP4 Y	L_DIP4 Z	L_FT4 X	L_FT4 Y	L_FT4 Z	L_CMC5 X	L_CMC5 Y	L_CMC5 Z	L_MCP5 X	L_MCP5 Y	L_MCP5 Z	L_PIP5 X	L_PIP5 Y	L_PIP5 Z	L_DIP5 X	L_DIP5 Y	L_DIP5 Z	L_FT5 X	L_FT5 Y	L_FT5 Z	
9033	150.53333	158.079	-126.226	166.158	199.888	-125.629	164.254	154.134	-170.047	142.132	189.626	-169.734	155.644	221.156	-102.395	146.826	260.281	-92.453	144.617	289.868	-90.414	139.417	315.492	-86.561	132.043	238.291	-130.692	158.314	288.093	-136.199	151.038	333.041	-139.050	141.901	357.790	-140.567	134.819	375.717	-144.272	131.829	277.983	-152.285	150.359	330.309	-158.660	142.297	358.702	-162.874	134.021	378.135	-166.655	133.281	270.273	-171.334	145.668	316.915	-177.209	139.481	343.207	-179.605	133.011	361.251	-181.845	133.267	227.861	-167.028	147.771	259.767	-187.909	140.632	291.556	-196.318	134.692	308.808	-202.891	132.846	328.923	-207.809	130.864	183.920	176.031	173.822	214.976	154.812	168.262	205.362	215.309	155.322	243.294	199.832	164.626	245.681	136.380	159.853	284.247	107.863	152.558	311.664	96.631	143.624	332.319	86.403	138.077	269.589	151.776	166.951	319.154	138.439	155.692	364.194	136.112	146.353	386.250	129.824	142.112	406.903	131.129	139.318	318.742	159.585	155.778	368.433	154.996	145.914	395.004	152.439	142.016	416.473	151.363	142.928	316.944	177.708	155.409	362.920	173.758	147.181	388.254	169.402	142.122	407.432	165.513	142.702	275.215	188.859	154.794	306.836	193.373	152.237	342.826	197.750	143.988	363.683	196.341	141.281	379.457	196.845	141.887
9034	150.55000	158.061	-126.236	166.158	199.886	-125.634	164.253	154.117	-170.064	142.125	189.630	-169.738	155.654	221.161	-102.404	146.841	260.288	-92.455	144.629	289.865	-90.427	139.423	315.477	-86.578	132.037	238.291	-130.696	158.317	288.101	-136.197	151.037	333.039	-139.051	141.887	357.791	-140.574	134.831	375.701	-144.269	131.815	277.971	-152.294	150.383	330.305	-158.673	142.288	358.683	-162.891	134.022	378.130	-166.653	133.270	270.269	-171.345	145.665	316.913	-177.220	139.489	343.197	-179.607	133.009	361.251	-181.841	133.279	227.853	-167.043	147.771	259.760	-187.934	140.636	291.543	-196.336	134.716	308.811	-202.899	132.849	328.935	-207.810	130.871	183.911	176.005	173.810	214.990	154.798	168.254	205.381	215.284	155.336	243.297	199.809	164.632	245.680	136.344	159.851	284.237	107.844	152.551	311.659	96.619	143.610	332.323	86.391	138.084	269.575	151.740	166.929	319.156	138.413	155.695	364.189	136.090	146.357	386.232	129.797	142.106	406.900	131.116	139.329	318.744	159.567	155.773	368.422	154.975	145.911	395.009	152.415	142.007	416.469	151.348	142.936	316.943	177.693	155.404	362.917	173.732	147.165	388.245	169.402	142.109	407.434	165.508	142.701	275.222	188.838	154.802	306.837	193.353	152.246	342.812	197.797	144.010	363.661	196.396	141.274	379.445	196.931	141.870
9035	150.56667	158.057	-126.234	166.163	199.879	-125.635	164.276	154.117	-170.057	142.148	189.604	-169.738	155.650	221.147	-102.408	146.843	260.286	-92.466	144.630	289.867	-90.429	139.440	315.478	-86.579	132.050	238.285	-130.703	158.318	288.103	-136.198	151.056	333.034	-139.046	141.904	357.790	-140.570	134.833	375.701	-144.278	131.822	277.972	-152.291	150.385	330.300	-158.676	142.312	358.694	-162.879	134.028	378.117	-166.657	133.277	270.254	-171.347	145.692	316.895	-177.218	139.502	343.200	-179.612	133.028	361.233	-181.838	133.269	227.844	-167.028	147.781	259.771	-187.934	140.647	291.545	-196.323	134.722	308.795	-202.895	132.857	328.923	-207.809	130.882	183.924	176.015	173.832	214.993	154.800	168.258	205.395	215.300	155.333	243.304	199.806	164.647	245.672	136.343	159.856	284.236	107.842	152.557	311.650	96.608	143.618	332.318	86.396	138.084	269.581	151.729	166.933	319.155	138.401	155.702	364.181	136.080	146.370	386.237	129.795	142.115	406.904	131.109	139.338	318.753	159.548	155.797	368.425	154.958	145.929	395.014	152.411	142.025	416.468	151.347	142.945	316.935	177.671	155.422	362.917	173.722	147.178	388.248	169.395	142.117	407.428	165.501	142.684	275.232	188.831	154.796	306.846	193.344	152.260	342.811	197.781	143.998	363.673	196.404	141.273	379.451	196.930	141.868
9036	150.58333	158.053	-126.219	166.164	199.881	-125.623	164.266	154.103	-170.043	142.133	189.610	-169.722	155.646	221.156	-102.403	146.845	260.278	-92.463	144.642	289.866	-90.427	139.441	315.475	-86.579	132.057	238.276	-130.701	158.316	288.098	-136.205	151.061	333.045	-139.049	141.896	357.776	-140.576	134.850	375.700	-144.271	131.821	277.976	-152.297	150.387	330.299	-158.677	142.297	358.683	-162.884	134.026	378.113	-166.662	133.294	270.246	-171.342	145.678	316.902	-177.216	139.504	343.190	-179.607	133.029	361.236	-181.845	133.273	227.840	-167.022	147.774	259.766	-187.931	140.670	291.548	-196.327	134.717	308.790	-202.892	132.855	328.920	-207.810	130.880	183.923	176.034	173.854	214.982	154.813	168.290	205.392	215.328	155.330	243.316	199.837	164.645	245.679	136.353	159.873	284.238	107.840	152.573	311.649	96.611	143.627	332.317	86.392	138.099	269.580	151.726	166.950	319.175	138.403	155.704	364.189	136.067	146.364	386.228	129.785	142.115	406.896	131.105	139.354	318.764	159.542	155.814	368.427	154.960	145.925	395.012	152.401	142.008	416.459	151.322	142.923	316.951	177.674	155.435	362.923	173.720	147.168	388.261	169.385	142.096	407.439	165.486	142.666	275.236	188.845	154.809	306.851	193.350	152.268	342.814	197.785	143.997	363.674	196.389	141.276	379.452	196.931	141.878
9037	150.60000	158.065	-126.205	166.165	199.878	-125.617	164.260	154.108	-170.040	142.150	189.611	-169.717	155.658	221.140	-102.400	146.834	260.278	-92.449	144.636	289.879	-90.420	139.434	315.476	-86.573	132.039	238.284	-130.686	158.310	288.106	-136.197	151.057	333.015	-139.034	141.906	357.780	-140.572	134.846	375.699	-144.275	131.815	277.974	-152.280	150.384	330.299	-158.671	142.298	358.689	-162.881	134.028	378.112	-166.655	133.278	270.244	-171.338	145.694	316.913	-177.211	139.494	343.200	-179.596	133.024	361.239	-181.840	133.264	227.857	-167.015	147.777	259.750	-187.923	140.652	291.542	-196.318	134.715	308.796	-202.885	132.855	328.924	-207.805	130.882	183.932	176.074	173.888	214.988	154.862	168.331	205.416	215.395	155.310	243.334	199.867	164.640	245.674	136.363	159.879	284.243	107.854	152.567	311.641	96.618	143.621	332.307	86.402	138.095	269.586	151.733	166.955	319.170	138.396	155.711	364.181	136.075	146.364	386.232	129.780	142.114	406.903	131.099	139.356	318.776	159.545	155.823	368.418	154.949	145.931	395.006	152.404	142.022	416.476	151.318	142.918	316.968	177.673	155.454	362.924	173.708	147.149	388.286	169.385	142.086	407.459	165.476	142.613	275.243	188.858	154.810	306.862	193.355	152.263	342.821	197.786	143.989	363.681	196.403	141.271	379.449	196.930	141.870
9038	150.61667	158.075	-126.183	166.157	199.884	-125.599	164.276	154.108	-170.019	142.152	189.618	-169.703	155.654	221.150	-102.374	146.828	260.273	-92.441	144.628	289.873	-90.405	139.426	315.489	-86.558	132.055	238.283	-130.674	158.324	288.098	-136.192	151.063	333.036	-139.034	141.910	357.778	-140.554	134.833	375.703	-144.267	131.812	277.967	-152.267	150.382	330.310	-158.650	142.301	358.682	-162.870	134.029	378.112	-166.636	133.282	270.259	-171.314	145.681	316.907	-177.204	139.491	343.198	-179.584	133.023	361.245	-181.834	133.277	227.843	-167.013	147.780	259.764	-187.913	140.669	291.540	-196.307	134.723	308.802	-202.878	132.855	328.920	-207.792	130.882	183.949	176.129	173.942	214.990	154.885	168.365	205.446	215.463	155.265	243.340	199.921	164.639	245.680	136.389	159.905	284.258	107.874	152.573	311.642	96.644	143.620	332.285	86.409	138.097	269.584	151.745	166.968	319.184	138.384	155.722	364.186	136.057	146.346	386.219	129.774	142.106	406.886	131.094	139.356	318.787	159.547	155.847	368.420	154.943	145.916	395.012	152.388	142.008	416.473	151.311	142.917	316.984	177.669	155.483	362.934	173.717	147.148	388.286	169.383	142.061	407.476	165.470	142.568	275.248	188.869	154.799	306.864	193.366	152.255	342.815	197.806	143.985	363.697	196.411	141.283	379.467	196.954	141.858
9039	150.63333	158.068	-126.176	166.164	199.887	-125.590	164.268	154.130	-170.015	142.161	189.606	-169.705	155.662	221.151	-102.375	146.830	260.285	-92.430	144.626	289.879	-90.391	139.429	315.486	-86.558	132.051	238.278	-130.667	158.321	288.100	-136.173	151.052	333.033	-139.024	141.894	357.774	-140.548	134.838	375.705	-144.264	131.816	277.972	-152.258	150.381	330.303	-158.651	142.309	358.691	-162.861	134.033	378.125	-166.641	133.285	270.267	-171.310	145.687	316.908	-177.202	139.495	343.199	-179.596	133.021	361.237	-181.820	133.288	227.846	-166.999	147.783	259.761	-187.901	140.635	291.552	-196.300	134.732	308.803	-202.873	132.854	328.916	-207.775	130.882	183.940	176.177	173.974	214.994	154.920	168.399	205.453	215.516	155.237	243.360	199.956	164.640	245.682	136.413	159.924	284.253	107.894	152.585	311.627	96.651	143.619	332.270	86.421	138.094	269.586	151.749	166.986	319.173	138.374	155.733	364.167	136.055	146.362	386.214	129.756	142.111	406.879	131.083	139.354	318.797	159.538	155.885	368.415	154.930	145.905	395.020	152.374	142.011	416.476	151.286	142.895	316.987	177.661	155.495	362.932	173.707	147.131	388.300	169.375	142.044	407.504	165.448	142.516	275.254	188.882	154.798	306.870	193.371	152.274	342.810	197.795	143.979	363.692	196.419	141.253	379.466	196.949	141.837
9040	150.65000	158.072	-126.176	166.154	199.875	-125.597	164.258	154.110	-170.020	142.172	189.611	-169.702	155.666	221.148	-102.370	146.838	260.288	-92.432	144.644	289.874	-90.397	139.433	315.477	-86.553	132.045	238.290	-130.662	158.327	288.100	-136.186	151.071	333.025	-139.020	141.925	357.782	-140.546	134.837	375.699	-144.264	131.825	277.985	-152.256	150.375	330.320	-158.650	142.306	358.687	-162.867	134.036	378.120	-166.633	133.275	270.258	-171.301	145.681	316.912	-177.191	139.506	343.204	-179.584	133.025	361.230	-181.822	133.281	227.856	-166.999	147.778	259.745	-187.900	140.668	291.549	-196.301	134.707	308.799	-202.879	132.859	328.930	-207.790	130.888	183.944	176.226	174.014	214.984	154.954	168.422	205.451	215.556	155.227	243.359	199.989	164.642	245.672	136.415	159.931	284.235	107.907	152.611	311.601	96.656	143.618	332.250	86.417	138.107	269.578	151.754	167.002	319.160	138.363	155.748	364.150	136.033	146.355	386.195	129.741	142.110	406.861	131.066	139.357	318.799	159.532	155.907	368.405	154.911	145.918	395.007	152.362	142.017	416.481	151.280	142.895	316.992	177.648	155.518	362.933	173.706	147.132	388.307	169.370	142.035	407.513	165.423	142.462	275.254	188.894	154.790	306.867	193.376	152.274	342.811	197.798	143.972	363.685	196.413	141.262	379.470	196.946	141.842
9041	150.66667	158.073	-126.181	166.159	199.887	-125.602	164.282	154.119	-170.018	142.177	189.607	-169.699	155.656	221.153	-102.373	146.847	260.290	-92.437	144.650	289.868	-90.405	139.445	315.478	-86.557	132.055	238.284	-130.674	158.335	288.105	-136.181	151.065	333.034	-139.030	141.908	357.788	-140.556	134.847	375.695	-144.266	131.826	277.976	-152.265	150.397	330.302	-158.649	142.313	358.687	-162.870	134.036	378.120	-166.642	133.285	270.267	-171.319	145.689	316.918	-177.202	139.508	343.188	-179.587	133.027	361.239	-181.825	133.277	227.849	-167.004	147.785	259.753	-187.916	140.667	291.554	-196.307	134.719	308.808	-202.877	132.865	328.926	-207.789	130.883	183.953	176.256	174.061	214.984	154.972	168.472	205.457	215.604	155.206	243.364	200.017	164.642	245.665	136.423	159.945	284.227	107.922	152.611	311.570	96.654	143.625	332.223	86.416	138.105	269.562	151.764	167.016	319.153	138.354	155.761	364.136	136.020	146.340	386.175	129.728	142.105	406.843	131.044	139.360	318.792	159.526	155.920	368.388	154.904	145.921	394.996	152.340	142.009	416.467	151.243	142.892	316.990	177.641	155.537	362.912	173.682	147.126	388.304	169.360	142.034	407.506	165.410	142.451	275.256	188.903	154.800	306.865	193.368	152.293	342.818	197.784	143.982	363.684	196.403	141.259	379.461	196.940	141.838
9042	150.68333	158.072	-126.179	166.167	199.890	-125.605	164.270	154.126	-170.020	142.177	189.611	-169.704	155.668	221.155	-102.377	146.858	260.287	-92.439	144.640	289.870	-90.414	139.439	315.475	-86.569	132.062	238.283	-130.684	158.334	288.099	-136.194	151.069	333.029	-139.040	141.910	357.779	-140.563	134.854	375.708	-144.273	131.832	277.963	-152.277	150.394	330.314	-158.657	142.307	358.691	-162.878	134.041	378.125	-166.641	133.286	270.262	-171.320	145.696	316.911	-177.209	139.496	343.192	-179.593	133.029	361.240	-181.828	133.290	227.850	-167.024	147.801	259.776	-187.915	140.658	291.558	-196.301	134.714	308.804	-202.875	132.852	328.917	-207.791	130.885	183.944	176.279	174.080	214.981	154.983	168.484	205.465	215.634	155.207	243.369	200.034	164.647	245.662	136.430	159.961	284.210	107.914	152.614	311.577	96.645	143.626	332.213	86.412	138.106	269.567	151.749	167.018	319.152	138.349	155.761	364.118	136.018	146.354	386.166	129.710	142.113	406.833	131.034	139.380	318.790	159.523	155.933	368.387	154.894	145.925	394.986	152.328	142.023	416.464	151.237	142.878	316.980	177.622	155.531	362.908	173.671	147.119	388.301	169.337	142.039	407.505	165.392	142.450	275.245	188.890	154.810	306.859	193.365	152.288	342.814	197.788	143.977	363.680	196.389	141.267	379.462	196.921	141.849
