NO_OF_FRAMES	248
NO_OF_CAMERAS	8
NO_OF_MARKERS	52
FREQUENCY	60
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2020-12-18, 12:25:38	10153.40009057
DATA_INCLUDED	3D
MARKER_NAMES	R_FAR	R_WRR	R_FAU	R_WRU	R_CMC	R_MCP1	R_IP	R_FT1	R_CMC2	R_MCP2	R_PIP2	R_DIP2	R_FT2	R_MCP3	R_PIP3	R_DIP3	R_FT3	R_MCP4	R_PIP4	R_DIP4	R_FT4	R_CMC5	R_MCP5	R_PIP5	R_DIP5	R_FT5	L_FAR	L_WRR	L_FAU	L_WRU	L_CMC1	L_MCP1	L_IP	L_FT1	L_CMC2	L_MCP2	L_PIP2	L_DIP2	L_FT2	L_MCP3	L_PIP3	L_DIP3	L_FT3	L_MCP4	L_PIP4	L_DIP4	L_FT4	L_CMC5	L_MCP5	L_PIP5	L_DIP5	L_FT5
Frame	Time	R_FAR X	R_FAR Y	R_FAR Z	R_WRR X	R_WRR Y	R_WRR Z	R_FAU X	R_FAU Y	R_FAU Z	R_WRU X	R_WRU Y	R_WRU Z	R_CMC X	R_CMC Y	R_CMC Z	R_MCP1 X	R_MCP1 Y	R_MCP1 Z	R_IP X	R_IP Y	R_IP Z	R_FT1 X	R_FT1 Y	R_FT1 Z	R_CMC2 X	R_CMC2 Y	R_CMC2 Z	R_MCP2 X	R_MCP2 Y	R_MCP2 Z	R_PIP2 X	R_PIP2 Y	R_PIP2 Z	R_DIP2 X	R_DIP2 Y	R_DIP2 Z	R_FT2 X	R_FT2 Y	R_FT2 Z	R_MCP3 X	R_MCP3 Y	R_MCP3 Z	R_PIP3 X	R_PIP3 Y	R_PIP3 Z	R_DIP3 X	R_DIP3 Y	R_DIP3 Z	R_FT3 X	R_FT3 Y	R_FT3 Z	R_MCP4 X	R_MCP4 Y	R_MCP4 Z	R_PIP4 X	R_PIP4 Y	R_PIP4 Z	R_DIP4 X	R_DIP4 Y	R_DIP4 Z	R_FT4 X	R_FT4 Y	R_FT4 Z	R_CMC5 X	R_CMC5 Y	R_CMC5 Z	R_MCP5 X	R_MCP5 Y	R_MCP5 Z	R_PIP5 X	R_PIP5 Y	R_PIP5 Z	R_DIP5 X	R_DIP5 Y	R_DIP5 Z	R_FT5 X	R_FT5 Y	R_FT5 Z	L_FAR X	L_FAR Y	L_FAR Z	L_WRR X	L_WRR Y	L_WRR Z	L_FAU X	L_FAU Y	L_FAU Z	L_WRU X	L_WRU Y	L_WRU Z	L_CMC1 X	L_CMC1 Y	L_CMC1 Z	L_MCP1 X	L_MCP1 Y	L_MCP1 Z	L_IP X	L_IP Y	L_IP Z	L_FT1 X	L_FT1 Y	L_FT1 Z	L_CMC2 X	L_CMC2 Y	L_CMC2 Z	L_MCP2 X	L_MCP2 Y	L_MCP2 Z	L_PIP2 X	L_PIP2 Y	L_PIP2 Z	L_DIP2 X	L_DIP2 Y	L_DIP2 Z	L_FT2 X	L_FT2 Y	L_FT2 Z	L_MCP3 X	L_MCP3 Y	L_MCP3 Z	L_PIP3 X	L_PIP3 Y	L_PIP3 Z	L_DIP3 X	L_DIP3 Y	L_DIP3 Z	L_FT3 X	L_FT3 Y	L_FT3 Z	L_MCP4 X	L_MCP4 Y	L_MCP4 Z	L_PIP4 X	L_PIP4 Y	L_PIP4 Z	L_DIP4 X	L_DIP4 Y	L_DIP4 Z	L_FT4 X	L_FT4 Y	L_FT4 Z	L_CMC5 X	L_CMC5 Y	L_CMC5 Z	L_MCP5 X	L_MCP5 Y	L_MCP5 Z	L_PIP5 X	L_PIP5 Y	L_PIP5 Z	L_DIP5 X	L_DIP5 Y	L_DIP5 Z	L_FT5 X	L_FT5 Y	L_FT5 Z	
11560	192.65000	156.728	-126.317	166.531	198.385	-125.547	164.478	152.979	-170.075	142.290	188.514	-169.794	155.659	219.821	-102.024	146.944	259.036	-92.714	144.769	288.346	-90.745	139.456	313.823	-86.941	132.078	236.599	-130.698	158.833	286.432	-136.122	151.732	331.333	-138.958	142.207	355.963	-140.412	134.930	373.836	-144.115	131.708	276.397	-152.172	150.888	328.694	-158.562	142.534	356.936	-162.665	134.056	376.395	-166.455	133.215	268.783	-171.219	146.039	315.322	-177.435	139.588	341.506	-179.778	132.995	359.507	-182.158	133.134	226.520	-167.179	147.869	258.704	-187.795	140.612	290.097	-196.348	134.805	307.210	-202.983	132.807	327.213	-208.043	130.751	76.056	178.871	375.454	87.318	163.648	406.765	111.897	211.492	379.779	109.016	209.837	423.702	92.938	153.443	432.368	69.184	135.299	463.200	59.979	126.148	491.530	49.985	117.343	510.930	90.429	171.978	451.689	83.301	164.791	501.170	75.532	161.854	548.651	75.459	148.901	570.479	77.069	142.137	590.730	92.565	183.373	498.677	78.442	184.826	547.359	77.364	179.423	577.590	73.187	176.717	597.490	104.118	196.823	496.116	91.808	200.521	540.385	86.370	199.802	567.215	77.210	199.642	584.565	114.777	200.378	457.391	116.106	206.775	486.926	110.798	221.139	517.879	104.329	227.558	537.869	98.453	234.343	551.396
11561	192.66667	156.733	-126.306	166.539	198.385	-125.542	164.486	152.972	-170.072	142.302	188.525	-169.789	155.652	219.827	-102.010	146.945	259.030	-92.719	144.757	288.354	-90.749	139.460	313.832	-86.941	132.090	236.595	-130.700	158.840	286.440	-136.131	151.733	331.335	-138.959	142.204	355.970	-140.425	134.937	373.823	-144.127	131.700	276.408	-152.174	150.893	328.692	-158.571	142.541	356.944	-162.668	134.072	376.401	-166.458	133.202	268.792	-171.211	146.048	315.331	-177.423	139.592	341.507	-179.778	133.008	359.517	-182.166	133.145	226.519	-167.190	147.874	258.707	-187.789	140.614	290.095	-196.326	134.816	307.217	-202.988	132.818	327.209	-208.036	130.744	76.398	178.676	375.288	87.751	163.448	406.577	112.235	211.320	379.586	109.364	209.744	423.294	93.255	153.409	432.274	69.136	135.508	463.023	59.753	126.666	491.501	50.007	118.013	511.138	90.540	172.227	451.408	82.623	165.602	500.601	74.318	163.872	548.434	76.490	148.578	570.467	81.459	138.769	589.149	91.749	184.240	497.943	77.256	186.457	546.887	77.649	180.592	578.207	78.894	173.932	598.317	103.394	197.695	495.397	90.618	202.255	539.925	87.035	200.458	567.657	79.694	199.379	585.950	114.713	200.436	456.756	115.612	207.324	486.141	110.414	222.427	517.310	104.821	228.348	538.381	99.727	234.856	552.640
11562	192.68333	156.729	-126.293	166.522	198.394	-125.537	164.473	152.971	-170.074	142.307	188.535	-169.794	155.665	219.812	-102.014	146.942	259.034	-92.728	144.769	288.352	-90.754	139.462	313.833	-86.948	132.088	236.600	-130.695	158.847	286.439	-136.132	151.729	331.337	-138.960	142.210	355.972	-140.424	134.935	373.828	-144.118	131.715	276.391	-152.177	150.891	328.693	-158.577	142.534	356.940	-162.680	134.065	376.398	-166.465	133.216	268.788	-171.212	146.025	315.325	-177.437	139.591	341.503	-179.794	133.005	359.521	-182.156	133.154	226.535	-167.182	147.863	258.707	-187.791	140.624	290.091	-196.348	134.811	307.221	-202.992	132.821	327.213	-208.051	130.755	76.802	178.438	375.046	88.743	163.948	406.331	112.655	211.087	379.353	109.686	209.561	423.010	93.614	153.309	432.198	69.100	135.766	463.028	59.608	127.236	491.600	49.874	119.155	511.730	90.675	172.426	450.853	81.755	166.692	499.974	72.621	166.292	547.758	75.500	150.480	570.654	84.785	136.964	585.748	90.869	185.313	497.066	75.400	189.519	545.946	79.752	181.213	577.438	84.385	172.102	597.130	102.722	198.638	494.404	89.171	204.387	539.150	87.763	201.307	567.685	82.440	199.121	586.879	114.678	200.559	456.081	114.985	207.924	485.565	110.085	223.832	516.535	105.492	229.129	538.653	101.453	234.911	553.862
11563	192.70000	156.725	-126.298	166.520	198.377	-125.558	164.478	152.970	-170.066	142.303	188.524	-169.794	155.666	219.814	-102.016	146.931	259.033	-92.720	144.764	288.351	-90.760	139.457	313.831	-86.949	132.087	236.597	-130.701	158.834	286.436	-136.140	151.748	331.327	-138.973	142.207	355.962	-140.431	134.928	373.813	-144.142	131.703	276.391	-152.181	150.883	328.686	-158.579	142.524	356.932	-162.688	134.050	376.388	-166.463	133.196	268.777	-171.217	146.028	315.310	-177.447	139.587	341.503	-179.786	132.994	359.515	-182.178	133.147	226.520	-167.193	147.864	258.707	-187.801	140.627	290.086	-196.364	134.803	307.216	-202.988	132.815	327.208	-208.049	130.740	77.116	178.287	374.900	88.627	162.915	406.295	113.027	210.874	379.160	110.111	209.324	422.712	93.707	153.191	432.160	69.018	136.030	463.145	59.292	128.032	491.985	49.732	120.260	512.258	90.672	172.656	450.440	80.721	167.950	499.315	70.623	169.719	547.292	75.597	151.605	569.615	88.142	136.439	580.772	89.868	186.534	496.056	73.396	193.421	544.711	81.270	182.839	576.422	89.510	171.001	593.652	101.800	199.794	493.424	86.934	207.424	538.497	88.306	202.290	567.579	85.810	198.668	587.630	114.486	200.775	455.451	114.390	208.655	484.534	109.437	225.495	515.825	105.876	230.012	539.436	104.262	233.554	555.478
11564	192.71667	156.704	-126.298	166.524	198.370	-125.554	164.469	152.962	-170.061	142.306	188.504	-169.785	155.657	219.818	-102.010	146.935	259.025	-92.720	144.764	288.332	-90.761	139.446	313.811	-86.952	132.081	236.580	-130.706	158.823	286.430	-136.131	151.737	331.329	-138.970	142.207	355.953	-140.439	134.929	373.809	-144.127	131.701	276.380	-152.181	150.874	328.678	-158.583	142.535	356.927	-162.682	134.045	376.383	-166.463	133.212	268.773	-171.221	146.028	315.314	-177.443	139.584	341.494	-179.789	133.008	359.496	-182.171	133.140	226.522	-167.181	147.869	258.697	-187.796	140.598	290.083	-196.339	134.790	307.200	-202.981	132.815	327.198	-208.043	130.753	77.295	178.204	374.758	88.876	162.768	406.248	113.249	210.722	379.020	110.354	209.151	422.488	93.596	153.142	432.228	68.768	136.430	463.393	58.914	128.816	492.270	49.384	121.462	512.796	90.511	172.933	450.102	79.610	169.463	498.861	68.179	174.476	547.657	76.576	153.613	568.412	91.359	137.389	574.686	88.719	187.937	495.372	71.642	196.678	544.132	81.611	184.696	575.631	94.120	169.333	588.119	100.806	200.987	492.530	85.268	209.575	537.566	89.043	202.969	567.109	90.665	196.684	586.889	114.234	201.039	454.845	113.642	209.447	483.746	108.497	227.062	515.181	106.895	229.604	540.173	107.055	230.677	557.522
11565	192.73333	156.711	-126.292	166.523	198.372	-125.546	164.476	152.936	-170.071	142.314	188.486	-169.782	155.660	219.808	-102.021	146.939	259.033	-92.727	144.772	288.344	-90.756	139.451	313.812	-86.948	132.090	236.579	-130.702	158.838	286.414	-136.139	151.740	331.304	-138.973	142.195	355.951	-140.430	134.928	373.805	-144.127	131.702	276.383	-152.186	150.886	328.672	-158.572	142.539	356.923	-162.680	134.040	376.379	-166.457	133.204	268.761	-171.215	146.030	315.310	-177.438	139.583	341.492	-179.780	133.001	359.488	-182.159	133.142	226.506	-167.180	147.856	258.685	-187.796	140.593	290.087	-196.332	134.805	307.202	-202.974	132.816	327.199	-208.029	130.750	77.284	178.188	374.722	89.538	163.592	406.125	113.303	210.687	378.966	110.385	209.130	422.370	93.343	153.249	432.475	68.426	137.070	463.942	58.412	129.923	492.869	48.778	122.941	513.524	90.002	173.461	449.948	78.489	171.044	498.568	68.003	178.314	547.761	78.254	156.342	567.244	94.094	139.713	567.921	87.580	189.320	494.796	69.911	198.377	544.262	82.336	184.247	574.631	97.460	167.059	581.702	99.740	202.136	491.794	83.293	212.224	536.891	89.781	203.501	566.469	95.329	194.554	584.660	113.900	201.381	454.472	112.856	210.243	483.136	107.300	228.512	514.999	107.473	228.724	541.208	111.002	225.503	558.015
11566	192.75000	156.694	-126.298	166.532	198.360	-125.548	164.485	152.945	-170.083	142.321	188.501	-169.784	155.680	219.785	-102.024	146.937	259.014	-92.720	144.771	288.326	-90.759	139.454	313.798	-86.948	132.081	236.560	-130.714	158.846	286.406	-136.140	151.740	331.300	-138.962	142.196	355.941	-140.429	134.933	373.788	-144.127	131.692	276.363	-152.189	150.893	328.649	-158.580	142.535	356.902	-162.673	134.059	376.353	-166.460	133.200	268.758	-171.212	146.030	315.302	-177.436	139.596	341.477	-179.771	132.996	359.481	-182.158	133.146	226.508	-167.193	147.860	258.687	-187.798	140.609	290.078	-196.333	134.812	307.195	-202.972	132.818	327.197	-208.018	130.763	77.189	178.236	374.766	89.505	163.674	406.224	113.252	210.763	378.966	110.343	209.214	422.322	93.062	153.452	432.689	68.121	137.762	464.545	58.012	131.153	493.543	48.339	124.611	514.322	89.262	174.167	449.945	77.414	172.558	498.454	68.065	182.302	548.073	80.064	158.540	566.263	95.565	142.606	561.317	86.415	190.614	494.444	68.207	199.008	544.760	84.142	182.510	573.250	99.626	165.345	575.578	98.549	203.199	491.402	81.445	214.309	536.771	90.637	203.505	565.693	99.682	192.192	581.094	113.328	201.814	454.326	111.933	211.012	482.843	106.609	230.085	514.774	108.658	227.452	542.212	114.654	219.755	556.988
11567	192.76667	156.674	-126.291	166.524	198.352	-125.554	164.483	152.923	-170.073	142.311	188.480	-169.786	155.680	219.774	-102.021	146.924	258.995	-92.728	144.775	288.306	-90.767	139.458	313.779	-86.961	132.087	236.551	-130.705	158.837	286.390	-136.138	151.754	331.279	-138.976	142.199	355.919	-140.438	134.941	373.781	-144.138	131.690	276.357	-152.186	150.888	328.636	-158.581	142.541	356.887	-162.687	134.059	376.338	-166.454	133.196	268.731	-171.221	146.027	315.277	-177.439	139.598	341.458	-179.775	133.000	359.456	-182.159	133.156	226.490	-167.192	147.870	258.673	-187.814	140.619	290.047	-196.350	134.809	307.187	-202.968	132.820	327.174	-208.026	130.756	77.109	178.305	374.821	89.509	163.744	406.350	113.193	210.844	378.999	110.210	209.308	422.325	92.845	153.655	432.937	67.764	138.523	465.112	57.566	132.295	494.066	47.737	126.158	514.989	88.603	174.783	450.015	76.388	173.856	498.363	67.961	185.261	548.236	80.515	161.169	564.038	96.001	144.960	555.889	85.334	191.650	494.149	66.850	199.778	545.256	84.664	182.281	571.729	100.790	164.737	570.088	97.410	204.159	491.087	79.689	215.950	536.961	91.339	203.113	564.605	103.242	189.888	576.336	112.861	202.165	454.194	110.987	211.730	482.590	105.151	231.378	515.596	109.784	224.909	542.749	117.541	214.149	554.275
11568	192.78333	156.671	-126.294	166.511	198.320	-125.540	164.481	152.914	-170.071	142.312	188.470	-169.771	155.682	219.768	-102.011	146.925	258.978	-92.731	144.765	288.305	-90.753	139.463	313.770	-86.958	132.095	236.531	-130.700	158.843	286.365	-136.135	151.744	331.272	-138.973	142.228	355.903	-140.430	134.941	373.756	-144.137	131.690	276.338	-152.189	150.912	328.615	-158.579	142.539	356.877	-162.669	134.053	376.324	-166.456	133.210	268.709	-171.220	146.043	315.274	-177.436	139.602	341.445	-179.772	133.000	359.451	-182.165	133.156	226.481	-167.188	147.868	258.660	-187.805	140.617	290.047	-196.347	134.823	307.170	-202.969	132.830	327.164	-208.017	130.753	77.071	178.346	374.873	89.549	163.741	406.479	113.148	210.911	379.037	110.102	209.389	422.304	92.676	153.784	433.068	67.391	139.051	465.322	57.029	133.299	494.397	47.139	127.469	515.317	88.176	175.211	449.914	75.382	174.850	498.089	67.078	186.649	548.312	80.895	161.477	562.543	95.219	145.697	551.663	84.378	192.603	493.825	65.633	201.267	545.990	85.858	181.984	570.931	101.227	165.165	565.408	96.391	205.096	490.751	78.494	217.379	536.987	92.617	202.439	563.115	106.189	188.224	570.847	112.483	202.493	454.058	110.216	212.344	482.337	103.916	232.709	516.737	110.679	222.457	542.600	119.572	209.495	549.963
11569	192.80000	156.664	-126.285	166.520	198.323	-125.525	164.471	152.919	-170.066	142.320	188.463	-169.765	155.680	219.748	-101.999	146.918	258.981	-92.716	144.764	288.291	-90.758	139.447	313.763	-86.961	132.076	236.521	-130.684	158.817	286.370	-136.122	151.736	331.271	-138.957	142.203	355.900	-140.429	134.936	373.756	-144.132	131.687	276.342	-152.178	150.890	328.617	-158.574	142.537	356.864	-162.672	134.053	376.309	-166.449	133.208	268.713	-171.203	146.043	315.263	-177.429	139.593	341.436	-179.774	133.007	359.442	-182.164	133.143	226.482	-167.181	147.868	258.663	-187.789	140.602	290.051	-196.326	134.801	307.159	-202.966	132.822	327.161	-208.019	130.757	77.077	178.384	374.881	89.592	163.722	406.556	113.149	210.972	379.077	110.071	209.449	422.284	92.537	153.844	433.128	67.034	139.601	465.415	56.452	134.157	494.445	46.434	128.705	515.551	87.867	175.592	449.700	74.442	175.609	497.687	65.362	187.935	549.148	80.529	161.189	560.780	93.226	145.301	548.223	83.495	193.379	493.517	65.009	201.686	546.156	86.449	181.379	569.494	101.258	165.276	560.501	95.534	205.817	490.450	77.627	219.118	537.212	93.788	202.043	561.383	108.571	187.048	564.882	112.084	202.774	453.984	109.518	212.855	482.238	102.927	233.790	517.918	111.716	220.215	541.965	120.820	205.892	545.237
