NO_OF_FRAMES	554
NO_OF_CAMERAS	8
NO_OF_MARKERS	52
FREQUENCY	60
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2020-12-18, 12:25:38	10153.40009057
DATA_INCLUDED	3D
MARKER_NAMES	R_FAR	R_WRR	R_FAU	R_WRU	R_CMC	R_MCP1	R_IP	R_FT1	R_CMC2	R_MCP2	R_PIP2	R_DIP2	R_FT2	R_MCP3	R_PIP3	R_DIP3	R_FT3	R_MCP4	R_PIP4	R_DIP4	R_FT4	R_CMC5	R_MCP5	R_PIP5	R_DIP5	R_FT5	L_FAR	L_WRR	L_FAU	L_WRU	L_CMC1	L_MCP1	L_IP	L_FT1	L_CMC2	L_MCP2	L_PIP2	L_DIP2	L_FT2	L_MCP3	L_PIP3	L_DIP3	L_FT3	L_MCP4	L_PIP4	L_DIP4	L_FT4	L_CMC5	L_MCP5	L_PIP5	L_DIP5	L_FT5
Frame	Time	R_FAR X	R_FAR Y	R_FAR Z	R_WRR X	R_WRR Y	R_WRR Z	R_FAU X	R_FAU Y	R_FAU Z	R_WRU X	R_WRU Y	R_WRU Z	R_CMC X	R_CMC Y	R_CMC Z	R_MCP1 X	R_MCP1 Y	R_MCP1 Z	R_IP X	R_IP Y	R_IP Z	R_FT1 X	R_FT1 Y	R_FT1 Z	R_CMC2 X	R_CMC2 Y	R_CMC2 Z	R_MCP2 X	R_MCP2 Y	R_MCP2 Z	R_PIP2 X	R_PIP2 Y	R_PIP2 Z	R_DIP2 X	R_DIP2 Y	R_DIP2 Z	R_FT2 X	R_FT2 Y	R_FT2 Z	R_MCP3 X	R_MCP3 Y	R_MCP3 Z	R_PIP3 X	R_PIP3 Y	R_PIP3 Z	R_DIP3 X	R_DIP3 Y	R_DIP3 Z	R_FT3 X	R_FT3 Y	R_FT3 Z	R_MCP4 X	R_MCP4 Y	R_MCP4 Z	R_PIP4 X	R_PIP4 Y	R_PIP4 Z	R_DIP4 X	R_DIP4 Y	R_DIP4 Z	R_FT4 X	R_FT4 Y	R_FT4 Z	R_CMC5 X	R_CMC5 Y	R_CMC5 Z	R_MCP5 X	R_MCP5 Y	R_MCP5 Z	R_PIP5 X	R_PIP5 Y	R_PIP5 Z	R_DIP5 X	R_DIP5 Y	R_DIP5 Z	R_FT5 X	R_FT5 Y	R_FT5 Z	L_FAR X	L_FAR Y	L_FAR Z	L_WRR X	L_WRR Y	L_WRR Z	L_FAU X	L_FAU Y	L_FAU Z	L_WRU X	L_WRU Y	L_WRU Z	L_CMC1 X	L_CMC1 Y	L_CMC1 Z	L_MCP1 X	L_MCP1 Y	L_MCP1 Z	L_IP X	L_IP Y	L_IP Z	L_FT1 X	L_FT1 Y	L_FT1 Z	L_CMC2 X	L_CMC2 Y	L_CMC2 Z	L_MCP2 X	L_MCP2 Y	L_MCP2 Z	L_PIP2 X	L_PIP2 Y	L_PIP2 Z	L_DIP2 X	L_DIP2 Y	L_DIP2 Z	L_FT2 X	L_FT2 Y	L_FT2 Z	L_MCP3 X	L_MCP3 Y	L_MCP3 Z	L_PIP3 X	L_PIP3 Y	L_PIP3 Z	L_DIP3 X	L_DIP3 Y	L_DIP3 Z	L_FT3 X	L_FT3 Y	L_FT3 Z	L_MCP4 X	L_MCP4 Y	L_MCP4 Z	L_PIP4 X	L_PIP4 Y	L_PIP4 Z	L_DIP4 X	L_DIP4 Y	L_DIP4 Z	L_FT4 X	L_FT4 Y	L_FT4 Z	L_CMC5 X	L_CMC5 Y	L_CMC5 Z	L_MCP5 X	L_MCP5 Y	L_MCP5 Z	L_PIP5 X	L_PIP5 Y	L_PIP5 Z	L_DIP5 X	L_DIP5 Y	L_DIP5 Z	L_FT5 X	L_FT5 Y	L_FT5 Z	
5506	91.75000	149.008	-115.410	169.682	190.582	-112.174	167.447	147.047	-156.901	140.275	182.206	-156.388	154.908	212.882	-86.796	149.561	251.985	-79.554	144.815	280.910	-79.471	139.447	306.450	-76.623	132.527	229.018	-115.827	161.678	278.656	-120.124	153.914	323.118	-122.783	143.281	347.448	-124.018	135.514	365.211	-127.767	131.801	268.922	-136.323	152.597	321.001	-141.988	143.319	349.138	-145.456	134.481	368.524	-149.166	133.281	261.584	-155.202	147.193	308.255	-160.418	140.146	334.345	-162.193	133.323	352.322	-164.537	133.283	219.579	-151.936	148.645	251.830	-171.531	140.391	284.411	-176.237	135.021	302.068	-181.132	133.275	322.536	-184.295	131.643	163.186	215.267	377.877	179.769	208.755	407.464	183.828	178.448	362.203	200.666	162.519	399.768	189.585	204.372	436.803	205.221	210.479	478.820	212.047	204.934	506.532	220.017	205.044	528.649	208.019	185.198	446.102	221.435	176.883	496.937	218.643	163.610	542.314	217.171	160.991	564.820	219.054	151.612	583.609	220.827	156.572	488.370	217.211	146.782	539.377	218.099	141.755	565.410	224.531	137.786	585.418	212.644	140.906	481.327	213.027	131.135	527.776	213.487	128.370	554.197	218.641	127.472	572.916	201.554	146.819	439.630	204.394	130.674	469.043	203.444	119.759	504.943	204.572	116.675	525.914	208.929	113.301	540.751
5507	91.76667	148.993	-115.425	169.682	190.594	-112.179	167.443	147.058	-156.905	140.303	182.181	-156.403	154.903	212.859	-86.807	149.542	251.988	-79.560	144.817	280.908	-79.465	139.428	306.434	-76.639	132.523	229.012	-115.837	161.684	278.643	-120.124	153.904	323.110	-122.788	143.284	347.542	-123.940	135.665	365.213	-127.777	131.806	268.915	-136.341	152.589	321.163	-141.995	143.537	349.128	-145.460	134.478	368.529	-149.165	133.284	261.588	-155.212	147.198	308.265	-160.429	140.134	334.350	-162.198	133.335	352.313	-164.536	133.270	219.581	-151.941	148.626	251.830	-171.543	140.400	284.404	-176.236	135.004	302.072	-181.141	133.268	322.534	-184.303	131.634	163.028	215.206	377.873	179.581	208.662	407.489	183.672	178.401	362.163	200.477	162.469	399.676	189.478	204.235	436.919	205.308	210.107	478.900	212.322	204.263	506.563	220.324	204.088	528.668	207.958	185.000	446.066	221.590	176.467	496.816	218.828	163.012	542.151	217.351	160.300	564.674	219.199	150.803	583.405	220.857	156.214	488.184	217.290	146.210	539.104	218.302	141.060	565.169	224.762	136.994	585.154	212.657	140.577	481.118	213.018	130.603	527.530	213.323	127.798	554.040	218.366	126.822	572.747	201.467	146.690	439.461	204.361	130.422	468.829	203.464	119.324	504.655	204.571	116.155	525.665	208.938	112.710	540.569
5508	91.78333	148.992	-115.431	169.672	190.594	-112.188	167.444	147.036	-156.910	140.279	182.186	-156.403	154.901	212.876	-86.812	149.545	251.979	-79.563	144.811	280.904	-79.479	139.433	306.432	-76.632	132.517	229.018	-115.838	161.677	278.649	-120.131	153.900	323.119	-122.788	143.273	347.539	-123.937	135.663	365.212	-127.779	131.799	268.905	-136.340	152.577	321.150	-141.993	143.505	349.128	-145.466	134.473	368.531	-149.171	133.276	261.603	-155.214	147.189	308.244	-160.432	140.124	334.338	-162.200	133.326	352.325	-164.528	133.261	219.571	-151.949	148.607	251.830	-171.548	140.395	284.412	-176.239	134.995	302.072	-181.142	133.261	322.529	-184.304	131.638	162.916	215.163	377.827	179.437	208.599	407.485	183.537	178.374	362.107	200.283	162.398	399.547	189.464	204.132	437.017	205.483	209.778	478.962	212.685	203.710	506.527	220.669	203.245	528.674	207.978	184.841	446.000	221.691	176.071	496.743	219.123	162.386	541.901	217.684	159.547	564.437	219.530	149.955	583.142	220.994	155.863	487.995	217.533	145.619	538.887	218.622	140.354	564.952	224.983	136.190	584.868	212.780	140.253	480.888	213.085	130.110	527.332	213.127	127.259	553.798	218.101	126.170	572.591	201.413	146.560	439.317	204.394	130.142	468.583	203.511	118.899	504.382	204.598	115.640	525.439	208.870	112.144	540.283
5509	91.80000	148.996	-115.412	169.666	190.587	-112.195	167.427	147.041	-156.908	140.275	182.184	-156.397	154.888	212.870	-86.806	149.553	251.982	-79.558	144.813	280.910	-79.474	139.422	306.436	-76.637	132.516	229.010	-115.843	161.674	278.640	-120.135	153.895	323.101	-122.793	143.283	347.458	-124.027	135.502	365.222	-127.773	131.796	268.898	-136.342	152.579	320.984	-141.998	143.308	349.128	-145.463	134.478	368.531	-149.167	133.275	261.589	-155.214	147.180	308.256	-160.435	140.120	334.336	-162.201	133.313	352.322	-164.527	133.274	219.583	-151.949	148.627	251.839	-171.540	140.386	284.400	-176.248	134.995	302.069	-181.135	133.271	322.538	-184.301	131.640	162.840	215.130	377.792	179.423	208.572	407.503	183.463	178.357	362.070	200.184	162.358	399.431	189.469	204.017	437.059	205.695	209.522	479.002	212.974	203.259	506.503	220.985	202.632	528.648	208.022	184.672	445.924	221.919	175.736	496.622	219.501	161.796	541.776	218.135	158.858	564.255	219.996	149.156	582.885	221.135	155.540	487.797	217.845	145.104	538.674	218.910	139.740	564.691	225.248	135.519	584.617	212.811	140.103	480.488	213.249	129.684	527.175	213.246	126.691	553.591	218.002	125.584	572.453	201.400	146.457	439.165	204.492	130.013	468.246	203.683	118.497	504.135	204.662	115.149	525.139	208.957	111.566	540.010
5510	91.81667	149.006	-115.400	169.659	190.580	-112.182	167.409	147.056	-156.897	140.264	182.184	-156.391	154.879	212.865	-86.790	149.534	251.985	-79.540	144.801	280.907	-79.467	139.429	306.438	-76.624	132.507	229.006	-115.844	161.665	278.649	-120.134	153.889	323.113	-122.789	143.275	347.446	-124.027	135.510	365.206	-127.771	131.795	268.923	-136.332	152.589	320.988	-141.989	143.301	349.130	-145.458	134.466	368.534	-149.161	133.282	261.578	-155.216	147.165	308.255	-160.426	140.131	334.338	-162.193	133.317	352.319	-164.524	133.256	219.576	-151.944	148.610	251.849	-171.529	140.393	284.416	-176.239	134.976	302.063	-181.127	133.251	322.526	-184.292	131.642	162.809	215.070	377.750	179.443	208.510	407.442	183.424	178.291	361.989	200.136	162.263	399.285	189.536	203.886	436.993	205.841	209.420	478.952	213.149	203.140	506.452	221.144	202.423	528.626	208.070	184.501	445.799	222.122	175.456	496.466	219.805	161.358	541.488	218.575	158.315	564.034	220.526	148.526	582.633	221.287	155.289	487.611	218.088	144.740	538.504	219.168	139.325	564.482	225.655	135.033	584.361	212.964	139.880	480.306	213.506	129.331	526.954	213.401	126.300	553.406	218.068	125.158	572.326	201.428	146.333	439.016	204.555	129.836	468.054	203.854	118.124	503.822	204.838	114.700	524.848	209.116	111.047	539.751
5511	91.83333	149.005	-115.383	169.658	190.583	-112.164	167.413	147.047	-156.882	140.271	182.185	-156.370	154.880	212.864	-86.785	149.530	251.986	-79.537	144.797	280.919	-79.442	139.428	306.445	-76.615	132.500	229.006	-115.828	161.673	278.655	-120.120	153.909	323.102	-122.779	143.275	347.459	-124.011	135.504	365.230	-127.754	131.801	268.908	-136.327	152.593	320.997	-141.990	143.314	349.124	-145.452	134.470	368.524	-149.154	133.290	261.581	-155.215	147.170	308.261	-160.422	140.134	334.336	-162.190	133.330	352.315	-164.526	133.277	219.567	-151.922	148.609	251.824	-171.523	140.398	284.399	-176.228	134.982	302.074	-181.137	133.264	322.531	-184.302	131.633	162.789	214.975	377.684	179.673	208.419	407.432	183.422	178.217	361.906	200.133	162.149	399.160	189.685	203.795	436.894	206.031	209.396	478.772	213.300	203.210	506.377	221.271	202.480	528.576	208.158	184.372	445.695	222.302	175.224	496.278	220.164	161.029	541.353	218.990	157.917	563.870	221.272	148.088	582.619	221.430	155.087	487.454	218.286	144.492	538.373	219.362	139.052	564.312	225.909	134.736	584.186	213.052	139.700	480.133	213.682	129.077	526.807	213.430	126.091	553.309	218.028	124.922	572.221	201.465	146.219	438.866	204.601	129.682	467.877	203.965	117.836	503.640	204.984	114.352	524.670	209.267	110.656	539.592
5512	91.85000	149.009	-115.385	169.662	190.589	-112.151	167.422	147.041	-156.883	140.280	182.189	-156.363	154.883	212.868	-86.781	149.532	251.985	-79.527	144.808	280.924	-79.437	139.430	306.440	-76.612	132.503	229.013	-115.810	161.664	278.655	-120.122	153.906	323.117	-122.774	143.285	347.453	-124.010	135.504	365.221	-127.755	131.798	268.912	-136.315	152.590	320.986	-141.984	143.308	349.128	-145.450	134.468	368.522	-149.152	133.283	261.590	-155.206	147.178	308.247	-160.408	140.137	334.337	-162.172	133.323	352.318	-164.517	133.267	219.587	-151.914	148.605	251.844	-171.513	140.387	284.413	-176.226	135.003	302.071	-181.127	133.273	322.536	-184.289	131.642	162.817	214.881	377.611	179.787	208.346	407.338	183.436	178.132	361.817	200.155	162.064	399.045	189.858	203.732	436.723	206.218	209.457	478.511	213.452	203.496	506.242	221.375	202.845	528.508	208.249	184.250	445.557	222.433	175.073	496.092	220.467	160.893	541.186	219.423	157.779	563.693	221.693	147.920	582.486	221.538	154.983	487.305	218.378	144.373	538.262	219.493	138.951	564.213	226.020	134.636	584.072	213.149	139.434	480.092	213.775	128.956	526.727	213.467	125.987	553.262	217.950	124.811	572.167	201.525	146.120	438.727	204.723	129.462	467.810	204.054	117.641	503.503	205.089	114.121	524.558	209.359	110.369	539.465
5513	91.86667	149.009	-115.369	169.680	190.580	-112.151	167.417	147.041	-156.871	140.255	182.181	-156.368	154.868	212.857	-86.780	149.535	251.990	-79.519	144.813	280.928	-79.429	139.438	306.438	-76.598	132.504	229.010	-115.815	161.677	278.655	-120.126	153.921	323.114	-122.775	143.281	347.456	-124.011	135.515	365.220	-127.760	131.800	268.907	-136.329	152.590	320.996	-141.976	143.315	349.126	-145.445	134.470	368.526	-149.146	133.292	261.588	-155.199	147.196	308.263	-160.398	140.137	334.335	-162.178	133.327	352.320	-164.524	133.259	219.562	-151.925	148.608	251.831	-171.510	140.377	284.400	-176.231	135.012	302.069	-181.133	133.278	322.529	-184.291	131.639	162.894	214.873	377.505	179.906	208.320	407.238	183.452	178.075	361.738	200.176	161.993	398.953	190.047	203.717	436.586	206.425	209.585	478.279	213.712	203.919	506.097	221.558	203.361	528.404	208.385	184.194	445.420	222.545	174.957	495.982	220.697	160.780	541.056	219.684	157.683	563.584	221.950	147.814	582.356	221.595	154.885	487.221	218.416	144.295	538.166	219.503	138.881	564.149	226.172	134.572	584.019	213.161	139.483	479.859	213.805	128.897	526.647	213.380	125.931	553.191	217.766	124.753	572.154	201.553	146.064	438.620	204.657	129.482	467.582	204.091	117.510	503.387	205.088	113.955	524.483	209.282	110.192	539.377
5514	91.88333	149.009	-115.373	169.667	190.599	-112.162	167.420	147.046	-156.879	140.278	182.184	-156.367	154.875	212.873	-86.786	149.549	251.993	-79.526	144.817	280.919	-79.434	139.437	306.447	-76.606	132.507	229.009	-115.821	161.675	278.649	-120.125	153.916	323.110	-122.776	143.290	347.457	-124.019	135.512	365.219	-127.753	131.796	268.907	-136.337	152.594	320.985	-141.990	143.324	349.119	-145.458	134.483	368.534	-149.150	133.270	261.586	-155.203	147.189	308.258	-160.420	140.133	334.344	-162.185	133.328	352.314	-164.523	133.271	219.567	-151.916	148.617	251.826	-171.510	140.385	284.405	-176.228	134.994	302.072	-181.131	133.258	322.519	-184.291	131.628	162.966	214.847	377.419	180.053	208.312	407.086	183.493	178.016	361.634	200.203	161.924	398.837	190.290	203.719	436.363	206.611	209.854	477.895	213.929	204.702	505.888	221.690	204.369	528.302	208.477	184.125	445.280	222.548	174.852	495.823	220.807	160.735	540.974	219.867	157.655	563.539	222.153	147.806	582.268	221.578	154.756	487.156	218.347	144.192	538.136	219.325	138.791	564.085	226.036	134.460	583.970	213.107	139.376	479.799	213.715	128.778	526.588	213.157	125.811	553.128	217.523	124.616	572.127	201.543	146.007	438.527	204.572	129.420	467.478	203.950	117.341	503.269	204.942	113.740	524.402	209.009	109.923	539.255
5515	91.90000	149.012	-115.388	169.665	190.594	-112.172	167.414	147.045	-156.884	140.265	182.178	-156.370	154.852	212.868	-86.793	149.547	251.977	-79.533	144.808	280.913	-79.441	139.416	306.440	-76.607	132.496	228.998	-115.826	161.674	278.644	-120.129	153.914	323.119	-122.780	143.280	347.537	-123.934	135.663	365.218	-127.767	131.795	268.910	-136.337	152.591	321.157	-141.989	143.527	349.121	-145.456	134.468	368.525	-149.157	133.279	261.584	-155.212	147.191	308.246	-160.421	140.131	334.332	-162.194	133.318	352.315	-164.530	133.274	219.570	-151.931	148.603	251.835	-171.520	140.384	284.404	-176.228	134.992	302.064	-181.137	133.247	322.526	-184.300	131.634	163.062	214.814	377.282	180.237	208.301	406.882	183.511	177.938	361.501	200.242	161.789	398.685	190.560	203.761	436.036	206.768	210.326	477.306	214.076	205.978	505.517	221.675	206.045	528.083	208.515	184.026	445.107	222.478	174.727	495.719	220.750	160.752	540.925	219.875	157.741	563.522	222.183	147.940	582.258	221.414	154.627	487.115	218.004	144.125	538.109	218.896	138.698	564.046	225.616	134.372	584.013	212.956	139.280	479.762	213.424	128.655	526.548	212.742	125.700	553.068	217.024	124.505	572.083	201.508	145.919	438.443	204.347	129.346	467.401	203.650	117.147	503.187	204.569	113.480	524.260	208.633	109.609	539.177
