NO_OF_FRAMES	1425
NO_OF_CAMERAS	8
NO_OF_MARKERS	52
FREQUENCY	60
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2020-12-18, 12:17:30	9665.39676257
DATA_INCLUDED	3D
MARKER_NAMES	R_FAR	R_WRR	R_FAU	R_WRU	R_CMC	R_MCP1	R_IP	R_FT1	R_CMC2	R_MCP2	R_PIP2	R_DIP2	R_FT2	R_MCP3	R_PIP3	R_DIP3	R_FT3	R_MCP4	R_PIP4	R_DIP4	R_FT4	R_CMC5	R_MCP5	R_PIP5	R_DIP5	R_FT5	L_FAR	L_WRR	L_FAU	L_WRU	L_CMC1	L_MCP1	L_IP	L_FT1	L_CMC2	L_MCP2	L_PIP2	L_DIP2	L_FT2	L_MCP3	L_PIP3	L_DIP3	L_FT3	L_MCP4	L_PIP4	L_DIP4	L_FT4	L_CMC5	L_MCP5	L_PIP5	L_DIP5	L_FT5
Frame	Time	R_FAR X	R_FAR Y	R_FAR Z	R_WRR X	R_WRR Y	R_WRR Z	R_FAU X	R_FAU Y	R_FAU Z	R_WRU X	R_WRU Y	R_WRU Z	R_CMC X	R_CMC Y	R_CMC Z	R_MCP1 X	R_MCP1 Y	R_MCP1 Z	R_IP X	R_IP Y	R_IP Z	R_FT1 X	R_FT1 Y	R_FT1 Z	R_CMC2 X	R_CMC2 Y	R_CMC2 Z	R_MCP2 X	R_MCP2 Y	R_MCP2 Z	R_PIP2 X	R_PIP2 Y	R_PIP2 Z	R_DIP2 X	R_DIP2 Y	R_DIP2 Z	R_FT2 X	R_FT2 Y	R_FT2 Z	R_MCP3 X	R_MCP3 Y	R_MCP3 Z	R_PIP3 X	R_PIP3 Y	R_PIP3 Z	R_DIP3 X	R_DIP3 Y	R_DIP3 Z	R_FT3 X	R_FT3 Y	R_FT3 Z	R_MCP4 X	R_MCP4 Y	R_MCP4 Z	R_PIP4 X	R_PIP4 Y	R_PIP4 Z	R_DIP4 X	R_DIP4 Y	R_DIP4 Z	R_FT4 X	R_FT4 Y	R_FT4 Z	R_CMC5 X	R_CMC5 Y	R_CMC5 Z	R_MCP5 X	R_MCP5 Y	R_MCP5 Z	R_PIP5 X	R_PIP5 Y	R_PIP5 Z	R_DIP5 X	R_DIP5 Y	R_DIP5 Z	R_FT5 X	R_FT5 Y	R_FT5 Z	L_FAR X	L_FAR Y	L_FAR Z	L_WRR X	L_WRR Y	L_WRR Z	L_FAU X	L_FAU Y	L_FAU Z	L_WRU X	L_WRU Y	L_WRU Z	L_CMC1 X	L_CMC1 Y	L_CMC1 Z	L_MCP1 X	L_MCP1 Y	L_MCP1 Z	L_IP X	L_IP Y	L_IP Z	L_FT1 X	L_FT1 Y	L_FT1 Z	L_CMC2 X	L_CMC2 Y	L_CMC2 Z	L_MCP2 X	L_MCP2 Y	L_MCP2 Z	L_PIP2 X	L_PIP2 Y	L_PIP2 Z	L_DIP2 X	L_DIP2 Y	L_DIP2 Z	L_FT2 X	L_FT2 Y	L_FT2 Z	L_MCP3 X	L_MCP3 Y	L_MCP3 Z	L_PIP3 X	L_PIP3 Y	L_PIP3 Z	L_DIP3 X	L_DIP3 Y	L_DIP3 Z	L_FT3 X	L_FT3 Y	L_FT3 Z	L_MCP4 X	L_MCP4 Y	L_MCP4 Z	L_PIP4 X	L_PIP4 Y	L_PIP4 Z	L_DIP4 X	L_DIP4 Y	L_DIP4 Z	L_FT4 X	L_FT4 Y	L_FT4 Z	L_CMC5 X	L_CMC5 Y	L_CMC5 Z	L_MCP5 X	L_MCP5 Y	L_MCP5 Z	L_PIP5 X	L_PIP5 Y	L_PIP5 Z	L_DIP5 X	L_DIP5 Y	L_DIP5 Z	L_FT5 X	L_FT5 Y	L_FT5 Z	
926	15.41667	258.239	-55.070	177.043	298.117	-50.294	165.929	251.931	-97.435	149.529	289.283	-95.340	158.450	316.096	-25.521	146.394	355.362	-14.999	146.155	385.152	-13.737	141.412	411.060	-10.976	134.374	335.563	-53.807	157.892	384.081	-59.224	148.905	428.125	-62.079	141.797	453.849	-63.776	137.157	472.006	-68.066	134.514	374.322	-75.580	150.099	426.030	-82.674	143.384	455.036	-86.838	136.274	474.546	-90.930	135.885	367.091	-95.024	147.486	413.472	-99.085	140.411	439.847	-100.956	135.079	457.991	-102.042	135.918	325.026	-91.517	148.669	357.008	-112.607	142.363	390.082	-114.905	136.280	407.563	-117.745	135.105	428.285	-119.150	133.814	261.599	147.862	180.055	292.347	128.490	167.379	278.976	190.104	161.262	317.008	174.470	163.619	323.201	112.182	155.633	361.331	85.127	150.925	389.618	72.528	144.119	410.612	62.561	137.713	346.679	128.864	163.770	396.959	121.107	152.677	442.104	126.396	145.665	464.848	123.519	142.076	485.216	127.505	139.235	394.207	142.023	154.716	444.958	141.191	148.475	471.834	139.661	142.622	493.180	139.002	142.724	391.309	159.770	155.039	437.624	157.962	146.712	462.692	154.736	141.963	481.948	151.070	142.884	348.865	167.807	153.454	380.555	174.838	152.287	416.002	177.934	144.077	436.459	176.421	141.454	452.354	176.240	142.107
927	15.43333	258.217	-55.081	177.038	298.117	-50.307	165.935	251.917	-97.440	149.522	289.277	-95.339	158.441	316.101	-25.522	146.409	355.359	-15.003	146.169	385.147	-13.751	141.414	411.066	-10.979	134.375	335.566	-53.815	157.894	384.088	-59.222	148.917	428.119	-62.089	141.803	453.853	-63.795	137.159	471.998	-68.077	134.517	374.328	-75.585	150.114	426.025	-82.676	143.378	455.042	-86.833	136.284	474.544	-90.942	135.890	367.095	-95.021	147.489	413.484	-99.081	140.430	439.855	-100.960	135.096	457.992	-102.026	135.921	325.013	-91.520	148.667	357.013	-112.612	142.367	390.092	-114.874	136.287	407.561	-117.719	135.122	428.287	-119.126	133.803	261.581	147.858	180.047	292.338	128.490	167.389	278.962	190.104	161.255	317.011	174.463	163.617	323.200	112.178	155.646	361.323	85.134	150.915	389.614	72.529	144.110	410.607	62.565	137.730	346.668	128.864	163.779	396.954	121.110	152.683	442.121	126.397	145.677	464.921	123.552	142.149	485.214	127.498	139.226	394.191	142.020	154.708	445.047	141.223	148.555	471.832	139.664	142.620	493.175	138.991	142.735	391.307	159.772	155.038	437.632	157.971	146.695	462.682	154.740	141.961	481.956	151.070	142.888	348.863	167.808	153.456	380.556	174.846	152.290	416.007	177.939	144.063	436.463	176.420	141.431	452.337	176.246	142.106
928	15.45000	258.210	-55.076	177.030	298.119	-50.300	165.941	251.909	-97.421	149.509	289.269	-95.339	158.448	316.097	-25.510	146.422	355.357	-15.009	146.169	385.145	-13.742	141.414	411.051	-10.981	134.378	335.560	-53.815	157.907	384.068	-59.235	148.911	428.108	-62.106	141.800	453.840	-63.807	137.156	471.991	-68.107	134.518	374.329	-75.578	150.110	426.028	-82.675	143.374	454.996	-86.807	136.314	474.531	-90.927	135.890	367.099	-95.018	147.499	413.478	-99.070	140.427	439.852	-100.929	135.103	457.925	-101.995	135.933	325.017	-91.517	148.667	357.012	-112.610	142.371	390.081	-114.857	136.291	407.576	-117.684	135.119	428.289	-119.093	133.831	261.579	147.855	180.060	292.343	128.497	167.378	278.949	190.087	161.257	316.997	174.463	163.617	323.201	112.192	155.650	361.327	85.139	150.922	389.622	72.537	144.120	410.605	62.581	137.737	346.670	128.875	163.779	396.951	121.126	152.696	442.098	126.406	145.685	464.853	123.532	142.079	485.209	127.511	139.221	394.196	142.026	154.712	444.930	141.212	148.489	471.832	139.673	142.623	493.169	139.002	142.727	391.311	159.771	155.050	437.634	157.963	146.733	462.682	154.741	141.970	481.949	151.077	142.893	348.855	167.811	153.469	380.553	174.848	152.286	416.010	177.936	144.076	436.466	176.420	141.455	452.342	176.244	142.124
929	15.46667	258.209	-55.089	177.028	298.092	-50.295	165.935	251.886	-97.442	149.514	289.254	-95.338	158.437	316.095	-25.502	146.410	355.349	-15.003	146.165	385.140	-13.743	141.409	411.045	-10.979	134.375	335.558	-53.809	157.902	384.076	-59.233	148.911	428.092	-62.126	141.796	453.820	-63.844	137.156	471.975	-68.130	134.528	374.318	-75.582	150.110	426.026	-82.675	143.377	455.019	-86.846	136.276	474.536	-90.936	135.882	367.083	-95.013	147.486	413.467	-99.061	140.404	439.847	-100.926	135.101	457.977	-102.009	135.935	325.010	-91.514	148.666	356.996	-112.613	142.363	390.084	-114.845	136.279	407.555	-117.668	135.136	428.282	-119.075	133.832	261.572	147.856	180.052	292.334	128.493	167.375	278.934	190.083	161.249	316.984	174.458	163.607	323.199	112.188	155.648	361.324	85.134	150.920	389.621	72.542	144.118	410.598	62.568	137.721	346.663	128.868	163.788	396.961	121.125	152.691	442.104	126.405	145.689	464.844	123.529	142.073	485.197	127.512	139.219	394.196	142.025	154.706	444.935	141.199	148.488	471.825	139.669	142.617	493.162	138.992	142.735	391.298	159.777	155.039	437.621	157.962	146.706	462.672	154.742	141.966	481.933	151.076	142.885	348.848	167.816	153.458	380.545	174.851	152.294	415.991	177.946	144.077	436.460	176.422	141.448	452.313	176.265	142.140
930	15.48333	258.202	-55.088	177.039	298.094	-50.298	165.930	251.895	-97.430	149.514	289.246	-95.346	158.423	316.088	-25.504	146.406	355.343	-15.005	146.163	385.129	-13.742	141.406	411.046	-10.975	134.383	335.548	-53.811	157.914	384.060	-59.230	148.912	428.081	-62.141	141.775	453.810	-63.865	137.131	471.960	-68.152	134.523	374.314	-75.573	150.112	426.014	-82.676	143.387	455.007	-86.843	136.275	474.521	-90.923	135.887	367.069	-95.014	147.484	413.450	-99.059	140.394	439.834	-100.937	135.082	457.965	-102.003	135.929	325.009	-91.513	148.659	356.989	-112.605	142.352	390.082	-114.847	136.274	407.541	-117.657	135.130	428.270	-119.062	133.818	261.545	147.835	180.041	292.322	128.487	167.362	278.935	190.080	161.240	316.969	174.449	163.606	323.186	112.184	155.631	361.322	85.137	150.916	389.608	72.535	144.113	410.604	62.568	137.718	346.661	128.862	163.778	396.951	121.120	152.684	442.106	126.407	145.682	464.905	123.565	142.156	485.193	127.507	139.216	394.196	142.029	154.708	445.039	141.225	148.589	471.832	139.678	142.621	493.156	139.007	142.723	391.303	159.771	155.042	437.615	157.969	146.695	462.660	154.748	141.951	481.935	151.077	142.886	348.844	167.805	153.463	380.537	174.844	152.293	415.997	177.950	144.070	436.443	176.440	141.441	452.332	176.246	142.112
931	15.50000	258.194	-55.075	177.023	298.083	-50.296	165.924	251.887	-97.420	149.513	289.238	-95.340	158.443	316.086	-25.510	146.405	355.345	-15.000	146.178	385.137	-13.740	141.413	411.044	-10.981	134.387	335.541	-53.804	157.900	384.073	-59.223	148.908	428.070	-62.159	141.776	453.793	-63.898	137.137	471.947	-68.177	134.521	374.318	-75.579	150.114	426.007	-82.676	143.390	455.012	-86.844	136.278	474.514	-90.934	135.902	367.080	-95.011	147.483	413.453	-99.061	140.404	439.829	-100.932	135.084	457.969	-102.003	135.932	324.996	-91.523	148.669	356.994	-112.615	142.383	390.084	-114.844	136.294	407.537	-117.658	135.131	428.284	-119.072	133.837	261.552	147.817	180.056	292.319	128.477	167.376	278.919	190.078	161.242	316.972	174.452	163.618	323.191	112.184	155.640	361.316	85.139	150.916	389.608	72.537	144.124	410.604	62.571	137.723	346.651	128.871	163.784	396.945	121.122	152.682	442.101	126.406	145.687	464.857	123.530	142.082	485.206	127.499	139.229	394.185	142.032	154.710	444.940	141.204	148.491	471.827	139.676	142.614	493.158	139.008	142.735	391.286	159.777	155.045	437.613	157.976	146.700	462.670	154.748	141.967	481.934	151.077	142.886	348.843	167.804	153.458	380.540	174.850	152.291	415.994	177.956	144.078	436.447	176.436	141.445	452.330	176.238	142.114
932	15.51667	258.193	-55.085	177.023	298.089	-50.307	165.942	251.887	-97.415	149.505	289.239	-95.338	158.440	316.085	-25.518	146.408	355.353	-15.005	146.179	385.136	-13.747	141.411	411.043	-10.986	134.379	335.555	-53.813	157.902	384.070	-59.239	148.922	428.084	-62.161	141.786	453.796	-63.890	137.140	471.942	-68.191	134.542	374.314	-75.579	150.117	426.013	-82.678	143.375	455.005	-86.841	136.278	474.512	-90.934	135.889	367.069	-95.012	147.489	413.454	-99.066	140.397	439.837	-100.940	135.074	457.983	-102.012	135.934	325.004	-91.522	148.663	357.004	-112.613	142.366	390.075	-114.857	136.289	407.558	-117.675	135.121	428.280	-119.080	133.827	261.547	147.809	180.053	292.329	128.465	167.384	278.909	190.067	161.241	316.957	174.441	163.618	323.190	112.179	155.645	361.318	85.133	150.918	389.617	72.533	144.117	410.600	62.564	137.730	346.653	128.863	163.772	396.948	121.125	152.685	442.098	126.399	145.686	464.846	123.528	142.071	485.204	127.502	139.217	394.190	142.025	154.710	444.932	141.207	148.487	471.815	139.668	142.614	493.165	139.003	142.726	391.293	159.775	155.039	437.613	157.966	146.711	462.660	154.746	141.956	481.921	151.081	142.880	348.840	167.806	153.456	380.535	174.845	152.288	415.987	177.949	144.075	436.442	176.430	141.447	452.309	176.260	142.112
933	15.53333	258.196	-55.086	177.013	298.103	-50.308	165.949	251.888	-97.416	149.483	289.237	-95.341	158.434	316.097	-25.503	146.407	355.346	-15.002	146.168	385.142	-13.741	141.416	411.046	-10.978	134.384	335.552	-53.814	157.902	384.067	-59.236	148.929	428.095	-62.154	141.768	453.805	-63.898	137.155	471.952	-68.193	134.525	374.309	-75.584	150.120	426.018	-82.679	143.376	455.020	-86.838	136.276	474.517	-90.936	135.883	367.074	-95.012	147.494	413.464	-99.071	140.421	439.839	-100.934	135.083	457.977	-102.012	135.929	325.005	-91.519	148.662	356.997	-112.598	142.369	390.086	-114.843	136.277	407.548	-117.672	135.139	428.280	-119.081	133.841	261.543	147.798	180.048	292.331	128.454	167.394	278.909	190.057	161.235	316.966	174.440	163.624	323.191	112.168	155.644	361.325	85.126	150.936	389.608	72.537	144.106	410.613	62.564	137.734	346.651	128.865	163.779	396.943	121.124	152.698	442.092	126.406	145.680	464.911	123.566	142.150	485.192	127.498	139.231	394.178	142.028	154.710	445.026	141.235	148.576	471.824	139.672	142.629	493.154	139.008	142.736	391.290	159.768	155.051	437.615	157.971	146.712	462.657	154.747	141.970	481.942	151.080	142.889	348.839	167.802	153.468	380.537	174.839	152.293	415.994	177.952	144.079	436.435	176.435	141.448	452.319	176.238	142.111
934	15.55000	258.180	-55.097	176.997	298.089	-50.317	165.921	251.905	-97.433	149.472	289.230	-95.359	158.411	316.093	-25.525	146.394	355.341	-15.011	146.160	385.140	-13.745	141.405	411.036	-10.977	134.365	335.547	-53.824	157.902	384.064	-59.239	148.919	428.094	-62.162	141.779	453.804	-63.898	137.141	471.952	-68.187	134.541	374.318	-75.586	150.112	426.016	-82.677	143.366	455.011	-86.848	136.276	474.526	-90.931	135.885	367.065	-95.015	147.480	413.460	-99.064	140.415	439.832	-100.939	135.090	457.976	-102.021	135.925	324.995	-91.535	148.657	356.994	-112.605	142.364	390.082	-114.855	136.283	407.541	-117.676	135.135	428.279	-119.091	133.812	261.522	147.798	180.030	292.331	128.457	167.374	278.889	190.049	161.228	316.961	174.440	163.611	323.185	112.176	155.643	361.313	85.129	150.915	389.616	72.536	144.117	410.614	62.576	137.726	346.660	128.866	163.790	396.950	121.120	152.691	442.096	126.403	145.685	464.918	123.563	142.149	485.196	127.500	139.219	394.191	142.026	154.717	445.028	141.235	148.584	471.827	139.673	142.615	493.163	138.999	142.735	391.296	159.768	155.047	437.611	157.967	146.703	462.670	154.754	141.962	481.940	151.085	142.896	348.845	167.799	153.460	380.538	174.840	152.286	415.989	177.959	144.080	436.440	176.442	141.466	452.313	176.253	142.115
935	15.56667	258.185	-55.107	176.990	298.082	-50.321	165.902	251.893	-97.438	149.455	289.209	-95.370	158.394	316.076	-25.525	146.387	355.344	-15.018	146.160	385.121	-13.755	141.397	411.036	-10.984	134.375	335.531	-53.838	157.890	384.060	-59.250	148.899	428.092	-62.171	141.768	453.799	-63.913	137.143	471.944	-68.202	134.526	374.311	-75.600	150.115	425.991	-82.644	143.310	455.017	-86.852	136.283	474.516	-90.930	135.884	367.069	-95.031	147.465	413.454	-99.077	140.404	439.826	-100.947	135.072	457.979	-102.024	135.937	324.995	-91.540	148.633	356.987	-112.622	142.374	390.080	-114.861	136.271	407.542	-117.696	135.106	428.282	-119.105	133.815	261.533	147.804	180.008	292.327	128.469	167.365	278.894	190.051	161.224	316.947	174.448	163.596	323.183	112.170	155.629	361.312	85.130	150.909	389.606	72.537	144.114	410.617	62.559	137.716	346.662	128.869	163.773	396.937	121.120	152.672	442.092	126.401	145.683	464.926	123.559	142.143	485.195	127.504	139.202	394.196	142.028	154.713	445.052	141.223	148.577	471.821	139.673	142.603	493.163	139.000	142.727	391.290	159.769	155.039	437.610	157.968	146.708	462.669	154.741	141.962	481.926	151.082	142.886	348.835	167.808	153.450	380.539	174.840	152.290	415.986	177.962	144.077	436.439	176.455	141.447	452.320	176.261	142.113
