NO_OF_FRAMES	487
NO_OF_CAMERAS	8
NO_OF_MARKERS	52
FREQUENCY	60
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2020-12-18, 12:17:30	9665.39676257
DATA_INCLUDED	3D
MARKER_NAMES	R_FAR	R_WRR	R_FAU	R_WRU	R_CMC	R_MCP1	R_IP	R_FT1	R_CMC2	R_MCP2	R_PIP2	R_DIP2	R_FT2	R_MCP3	R_PIP3	R_DIP3	R_FT3	R_MCP4	R_PIP4	R_DIP4	R_FT4	R_CMC5	R_MCP5	R_PIP5	R_DIP5	R_FT5	L_FAR	L_WRR	L_FAU	L_WRU	L_CMC1	L_MCP1	L_IP	L_FT1	L_CMC2	L_MCP2	L_PIP2	L_DIP2	L_FT2	L_MCP3	L_PIP3	L_DIP3	L_FT3	L_MCP4	L_PIP4	L_DIP4	L_FT4	L_CMC5	L_MCP5	L_PIP5	L_DIP5	L_FT5
Frame	Time	R_FAR X	R_FAR Y	R_FAR Z	R_WRR X	R_WRR Y	R_WRR Z	R_FAU X	R_FAU Y	R_FAU Z	R_WRU X	R_WRU Y	R_WRU Z	R_CMC X	R_CMC Y	R_CMC Z	R_MCP1 X	R_MCP1 Y	R_MCP1 Z	R_IP X	R_IP Y	R_IP Z	R_FT1 X	R_FT1 Y	R_FT1 Z	R_CMC2 X	R_CMC2 Y	R_CMC2 Z	R_MCP2 X	R_MCP2 Y	R_MCP2 Z	R_PIP2 X	R_PIP2 Y	R_PIP2 Z	R_DIP2 X	R_DIP2 Y	R_DIP2 Z	R_FT2 X	R_FT2 Y	R_FT2 Z	R_MCP3 X	R_MCP3 Y	R_MCP3 Z	R_PIP3 X	R_PIP3 Y	R_PIP3 Z	R_DIP3 X	R_DIP3 Y	R_DIP3 Z	R_FT3 X	R_FT3 Y	R_FT3 Z	R_MCP4 X	R_MCP4 Y	R_MCP4 Z	R_PIP4 X	R_PIP4 Y	R_PIP4 Z	R_DIP4 X	R_DIP4 Y	R_DIP4 Z	R_FT4 X	R_FT4 Y	R_FT4 Z	R_CMC5 X	R_CMC5 Y	R_CMC5 Z	R_MCP5 X	R_MCP5 Y	R_MCP5 Z	R_PIP5 X	R_PIP5 Y	R_PIP5 Z	R_DIP5 X	R_DIP5 Y	R_DIP5 Z	R_FT5 X	R_FT5 Y	R_FT5 Z	L_FAR X	L_FAR Y	L_FAR Z	L_WRR X	L_WRR Y	L_WRR Z	L_FAU X	L_FAU Y	L_FAU Z	L_WRU X	L_WRU Y	L_WRU Z	L_CMC1 X	L_CMC1 Y	L_CMC1 Z	L_MCP1 X	L_MCP1 Y	L_MCP1 Z	L_IP X	L_IP Y	L_IP Z	L_FT1 X	L_FT1 Y	L_FT1 Z	L_CMC2 X	L_CMC2 Y	L_CMC2 Z	L_MCP2 X	L_MCP2 Y	L_MCP2 Z	L_PIP2 X	L_PIP2 Y	L_PIP2 Z	L_DIP2 X	L_DIP2 Y	L_DIP2 Z	L_FT2 X	L_FT2 Y	L_FT2 Z	L_MCP3 X	L_MCP3 Y	L_MCP3 Z	L_PIP3 X	L_PIP3 Y	L_PIP3 Z	L_DIP3 X	L_DIP3 Y	L_DIP3 Z	L_FT3 X	L_FT3 Y	L_FT3 Z	L_MCP4 X	L_MCP4 Y	L_MCP4 Z	L_PIP4 X	L_PIP4 Y	L_PIP4 Z	L_DIP4 X	L_DIP4 Y	L_DIP4 Z	L_FT4 X	L_FT4 Y	L_FT4 Z	L_CMC5 X	L_CMC5 Y	L_CMC5 Z	L_MCP5 X	L_MCP5 Y	L_MCP5 Z	L_PIP5 X	L_PIP5 Y	L_PIP5 Z	L_DIP5 X	L_DIP5 Y	L_DIP5 Z	L_FT5 X	L_FT5 Y	L_FT5 Z	
13181	219.66667	168.770	-48.751	172.299	209.978	-40.794	166.760	167.331	-86.689	138.490	201.822	-85.181	153.687	232.263	-13.954	149.098	272.392	-6.675	147.655	301.689	-8.114	141.879	327.154	-6.337	134.852	248.394	-44.034	161.241	298.143	-50.066	153.846	342.313	-54.275	143.973	367.337	-56.769	137.312	385.413	-60.989	133.741	287.435	-65.759	152.686	339.639	-71.158	144.826	368.296	-75.288	136.432	387.894	-78.782	135.329	279.319	-84.401	147.650	325.822	-90.401	143.771	352.371	-92.979	135.486	370.435	-95.365	134.553	237.249	-80.289	148.818	268.502	-100.928	142.763	300.159	-110.024	137.259	317.062	-116.844	134.650	337.014	-122.128	132.506	173.112	187.705	175.482	204.947	168.013	170.041	192.601	226.833	154.434	230.280	213.877	164.930	237.317	151.408	162.660	278.151	126.229	153.106	307.598	116.412	144.776	329.707	109.793	137.323	259.144	169.008	170.602	309.790	159.995	162.567	355.818	159.905	151.790	377.663	153.135	143.942	397.581	154.116	137.625	307.258	181.340	162.065	358.094	178.896	152.190	384.325	175.695	143.306	405.451	174.361	141.529	303.653	199.110	158.447	0.000	0.000	0.000	375.907	196.228	143.237	395.197	193.252	141.735	262.153	206.153	157.416	292.206	212.999	153.377	327.569	222.429	145.523	348.516	224.217	142.354	364.220	226.757	141.570
13182	219.68333	168.775	-48.747	172.289	209.961	-40.734	166.682	167.357	-86.681	138.489	201.831	-85.136	153.594	232.272	-13.959	149.099	272.391	-6.674	147.663	301.695	-8.112	141.867	327.151	-6.336	134.843	248.393	-44.020	161.244	298.144	-50.063	153.836	342.321	-54.269	143.969	367.326	-56.766	137.301	385.437	-60.998	133.772	287.446	-65.767	152.686	339.634	-71.160	144.817	368.313	-75.289	136.436	387.899	-78.785	135.332	279.334	-84.407	147.652	325.820	-90.405	143.773	352.366	-92.979	135.476	370.432	-95.364	134.542	237.257	-80.287	148.816	268.515	-100.932	142.768	300.154	-110.030	137.251	317.063	-116.849	134.638	337.005	-122.124	132.488	173.108	187.699	175.483	204.940	168.014	170.049	192.595	226.826	154.433	230.288	213.884	164.948	237.311	151.414	162.667	278.159	126.242	153.112	307.598	116.427	144.768	329.708	109.804	137.326	259.145	169.014	170.606	309.798	160.015	162.559	355.822	159.914	151.798	377.667	153.139	143.942	397.592	154.125	137.601	307.263	181.353	162.074	358.096	178.893	152.190	384.325	175.696	143.311	405.443	174.354	141.540	303.640	199.111	158.454	0.000	0.000	0.000	375.899	196.214	143.219	395.196	193.251	141.728	262.143	206.152	157.412	292.192	213.005	153.389	327.572	222.431	145.528	348.517	224.230	142.372	364.238	226.758	141.562
13183	219.70000	168.783	-48.751	172.287	209.948	-40.737	166.687	167.342	-86.681	138.474	201.832	-85.137	153.592	232.257	-13.964	149.090	272.396	-6.674	147.655	301.706	-8.113	141.870	327.159	-6.327	134.852	248.408	-44.019	161.238	298.159	-50.053	153.841	342.322	-54.269	143.970	367.325	-56.773	137.305	385.415	-60.987	133.752	287.438	-65.771	152.683	339.639	-71.156	144.820	368.315	-75.280	136.429	387.877	-78.795	135.305	279.337	-84.410	147.649	325.813	-90.404	143.775	352.368	-92.982	135.469	370.438	-95.367	134.539	237.249	-80.302	148.811	268.519	-100.930	142.771	300.160	-110.032	137.248	317.056	-116.852	134.634	337.013	-122.116	132.488	173.103	187.711	175.482	204.951	168.021	170.062	192.606	226.844	154.445	230.279	213.888	164.946	237.311	151.415	162.671	278.162	126.239	153.121	307.594	116.423	144.769	329.716	109.804	137.331	259.141	169.025	170.615	309.795	160.008	162.575	355.817	159.915	151.796	377.669	153.144	143.938	397.577	154.125	137.605	307.263	181.367	162.073	358.095	178.898	152.201	384.327	175.698	143.310	405.451	174.369	141.533	303.658	199.130	158.450	0.000	0.000	0.000	375.903	196.226	143.226	395.195	193.244	141.724	262.154	206.161	157.407	292.206	213.011	153.384	327.572	222.425	145.516	348.517	224.223	142.357	364.227	226.757	141.566
13184	219.71667	168.784	-48.760	172.296	209.946	-40.731	166.679	167.358	-86.689	138.472	201.846	-85.130	153.590	232.263	-13.949	149.102	272.398	-6.667	147.658	301.706	-8.092	141.865	327.167	-6.324	134.851	248.396	-44.014	161.244	298.170	-50.053	153.846	342.324	-54.256	143.970	367.335	-56.755	137.315	385.421	-60.981	133.746	287.448	-65.750	152.680	339.645	-71.145	144.829	368.307	-75.278	136.418	387.908	-78.774	135.323	279.344	-84.401	147.646	325.814	-90.400	143.757	352.367	-92.981	135.476	370.443	-95.361	134.545	237.267	-80.285	148.825	268.497	-100.923	142.756	300.166	-110.034	137.250	317.062	-116.848	134.636	337.015	-122.124	132.486	173.096	187.711	175.488	204.955	168.032	170.077	192.594	226.845	154.445	230.290	213.892	164.953	237.311	151.429	162.689	278.167	126.253	153.124	307.612	116.443	144.786	329.709	109.815	137.323	259.143	169.041	170.618	309.807	160.014	162.582	355.816	159.918	151.802	377.661	153.154	143.943	397.587	154.137	137.612	307.269	181.373	162.092	358.102	178.911	152.195	384.334	175.717	143.298	405.443	174.364	141.539	303.654	199.136	158.457	0.000	0.000	0.000	375.908	196.240	143.230	395.191	193.254	141.734	262.141	206.171	157.416	292.204	213.020	153.383	327.575	222.432	145.528	348.527	224.234	142.373	364.238	226.772	141.571
13185	219.73333	168.778	-48.773	172.301	209.945	-40.743	166.675	167.369	-86.679	138.460	201.846	-85.144	153.580	232.249	-13.958	149.082	272.400	-6.659	147.664	301.710	-8.091	141.866	327.167	-6.324	134.846	248.399	-44.011	161.246	298.174	-50.045	153.841	342.328	-54.243	143.973	367.345	-56.751	137.306	385.420	-60.977	133.733	287.448	-65.753	152.675	339.640	-71.146	144.816	368.311	-75.280	136.420	387.906	-78.767	135.310	279.344	-84.391	147.644	325.821	-90.392	143.769	352.374	-92.963	135.487	370.451	-95.361	134.534	237.255	-80.292	148.783	268.518	-100.922	142.759	300.163	-110.023	137.251	317.071	-116.850	134.641	337.022	-122.114	132.476	173.090	187.717	175.491	204.942	168.041	170.069	192.599	226.849	154.458	230.279	213.915	164.960	237.314	151.437	162.698	278.170	126.272	153.125	307.612	116.448	144.784	329.708	109.819	137.344	259.144	169.055	170.623	309.799	160.040	162.572	355.826	159.937	151.811	377.662	153.163	143.944	397.582	154.137	137.611	307.263	181.380	162.089	358.111	178.910	152.198	384.327	175.718	143.311	405.442	174.369	141.532	303.661	199.158	158.453	0.000	0.000	0.000	375.907	196.236	143.216	395.192	193.268	141.716	262.151	206.189	157.423	292.203	213.040	153.379	327.580	222.445	145.527	348.533	224.239	142.379	364.233	226.770	141.563
13186	219.75000	168.778	-48.784	172.303	209.947	-40.748	166.673	167.359	-86.690	138.441	201.842	-85.139	153.571	232.260	-13.961	149.093	272.403	-6.662	147.651	301.706	-8.092	141.863	327.165	-6.316	134.843	248.404	-44.020	161.239	298.173	-50.043	153.829	342.334	-54.254	143.974	367.338	-56.759	137.311	385.416	-60.974	133.742	287.468	-65.753	152.683	339.639	-71.147	144.819	368.311	-75.270	136.426	387.898	-78.771	135.321	279.348	-84.401	147.644	325.846	-90.401	143.782	352.381	-92.980	135.470	370.454	-95.363	134.535	237.243	-80.304	148.784	268.517	-100.920	142.750	300.163	-110.034	137.244	317.066	-116.851	134.640	337.028	-122.123	132.480	173.086	187.723	175.486	204.944	168.040	170.074	192.589	226.856	154.445	230.282	213.916	164.967	237.311	151.438	162.697	278.170	126.278	153.131	307.612	116.452	144.786	329.710	109.816	137.333	259.147	169.056	170.632	309.802	160.042	162.573	355.835	159.933	151.804	377.673	153.169	143.941	397.582	154.137	137.619	307.271	181.390	162.085	358.115	178.907	152.199	384.329	175.721	143.310	405.446	174.375	141.541	303.650	199.149	158.452	0.000	0.000	0.000	375.909	196.236	143.210	395.209	193.263	141.712	262.149	206.185	157.422	292.193	213.048	153.388	327.578	222.442	145.527	348.529	224.231	142.361	364.238	226.768	141.549
13187	219.76667	168.779	-48.795	172.275	209.942	-40.759	166.674	167.347	-86.694	138.439	201.850	-85.157	153.562	232.272	-13.963	149.103	272.391	-6.670	147.658	301.712	-8.101	141.865	327.154	-6.325	134.842	248.396	-44.038	161.248	298.177	-50.056	153.850	342.332	-54.254	143.970	367.338	-56.760	137.307	385.420	-60.988	133.749	287.455	-65.765	152.676	339.656	-71.149	144.822	368.321	-75.273	136.418	387.904	-78.772	135.331	279.341	-84.401	147.625	325.833	-90.397	143.775	352.390	-92.989	135.484	370.455	-95.366	134.536	237.249	-80.309	148.784	268.518	-100.926	142.764	300.161	-110.028	137.252	317.079	-116.862	134.631	337.041	-122.129	132.480	173.090	187.728	175.492	204.950	168.039	170.076	192.585	226.862	154.443	230.284	213.919	164.968	237.312	151.444	162.691	278.170	126.266	153.125	307.603	116.453	144.783	329.708	109.823	137.327	259.148	169.048	170.636	309.796	160.035	162.577	355.825	159.923	151.787	377.678	153.171	143.943	397.585	154.135	137.615	307.265	181.391	162.091	358.105	178.909	152.195	384.328	175.723	143.306	405.445	174.373	141.532	303.660	199.147	158.478	0.000	0.000	0.000	375.901	196.239	143.217	395.196	193.261	141.731	262.151	206.199	157.432	292.210	213.039	153.399	327.580	222.434	145.531	348.533	224.240	142.367	364.241	226.763	141.557
13188	219.78333	168.774	-48.814	172.291	209.932	-40.768	166.672	167.352	-86.717	138.427	201.833	-85.156	153.554	232.253	-13.978	149.106	272.392	-6.684	147.666	301.709	-8.098	141.874	327.156	-6.324	134.852	248.401	-44.041	161.245	298.161	-50.054	153.828	342.323	-54.263	143.973	367.342	-56.758	137.311	385.431	-60.979	133.767	287.444	-65.768	152.682	339.655	-71.156	144.832	368.316	-75.277	136.436	387.898	-78.779	135.322	279.347	-84.410	147.643	325.822	-90.405	143.780	352.379	-92.985	135.481	370.449	-95.365	134.539	237.243	-80.312	148.775	268.515	-100.939	142.753	300.169	-110.039	137.249	317.071	-116.862	134.628	337.038	-122.132	132.478	173.095	187.709	175.497	204.959	168.037	170.084	192.585	226.856	154.460	230.273	213.911	164.970	237.314	151.448	162.688	278.161	126.276	153.128	307.608	116.451	144.790	329.710	109.819	137.328	259.144	169.053	170.636	309.789	160.043	162.576	355.829	159.934	151.813	377.671	153.169	143.939	397.577	154.129	137.612	307.267	181.385	162.086	358.110	178.915	152.215	384.333	175.711	143.323	405.444	174.373	141.539	303.657	199.148	158.466	0.000	0.000	0.000	375.902	196.234	143.222	395.199	193.261	141.733	262.153	206.194	157.434	292.201	213.043	153.396	327.562	222.449	145.523	348.526	224.235	142.367	364.234	226.767	141.576
13189	219.80000	168.766	-48.831	172.303	209.956	-40.775	166.689	167.344	-86.708	138.421	201.819	-85.189	153.540	232.261	-13.979	149.103	272.387	-6.694	147.679	301.698	-8.113	141.868	327.152	-6.338	134.841	248.386	-44.045	161.243	298.166	-50.063	153.849	342.323	-54.260	143.968	367.345	-56.759	137.315	385.412	-60.985	133.741	287.444	-65.779	152.690	339.652	-71.146	144.829	368.308	-75.280	136.431	387.896	-78.781	135.317	279.337	-84.421	147.657	325.824	-90.412	143.776	352.382	-92.990	135.480	370.446	-95.366	134.545	237.245	-80.322	148.791	268.508	-100.941	142.760	300.166	-110.038	137.245	317.065	-116.864	134.637	337.022	-122.139	132.477	173.091	187.707	175.492	204.937	168.043	170.074	192.586	226.857	154.461	230.273	213.909	164.976	237.311	151.444	162.697	278.163	126.267	153.124	307.605	116.451	144.798	329.703	109.809	137.351	259.141	169.052	170.646	309.791	160.039	162.576	355.822	159.930	151.802	377.662	153.164	143.943	397.567	154.137	137.608	307.272	181.386	162.097	358.103	178.910	152.207	384.326	175.714	143.308	405.444	174.370	141.531	303.645	199.161	158.457	0.000	0.000	0.000	375.900	196.234	143.231	395.192	193.263	141.729	262.139	206.186	157.423	292.195	213.035	153.391	327.574	222.443	145.530	348.523	224.234	142.382	364.235	226.751	141.554
13190	219.81667	168.771	-48.810	172.301	209.947	-40.779	166.695	167.341	-86.709	138.422	201.802	-85.181	153.531	232.257	-13.977	149.110	272.395	-6.685	147.682	301.693	-8.115	141.882	327.154	-6.335	134.855	248.373	-44.052	161.254	298.148	-50.069	153.840	342.321	-54.259	143.972	367.332	-56.755	137.319	385.408	-60.991	133.748	287.451	-65.770	152.681	339.643	-71.157	144.824	368.303	-75.284	136.427	387.905	-78.778	135.327	279.333	-84.415	147.648	325.826	-90.413	143.770	352.376	-92.973	135.493	370.444	-95.365	134.542	237.237	-80.331	148.786	268.512	-100.939	142.756	300.159	-110.042	137.253	317.072	-116.861	134.637	337.021	-122.133	132.486	173.088	187.707	175.483	204.925	168.031	170.069	192.577	226.848	154.459	230.259	213.913	164.958	237.300	151.438	162.681	278.153	126.270	153.123	307.596	116.453	144.778	329.695	109.815	137.340	259.130	169.052	170.628	309.792	160.048	162.568	355.825	159.941	151.792	377.658	153.170	143.930	397.563	154.128	137.600	307.259	181.385	162.095	358.093	178.917	152.196	384.324	175.721	143.302	405.443	174.377	141.540	303.650	199.146	158.452	0.000	0.000	0.000	375.897	196.241	143.230	395.174	193.257	141.727	262.136	206.197	157.418	292.190	213.033	153.396	327.563	222.445	145.534	348.522	224.233	142.371	364.226	226.756	141.567
