NO_OF_FRAMES	179
NO_OF_CAMERAS	8
NO_OF_MARKERS	52
FREQUENCY	60
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2020-12-18, 12:17:30	9665.39676257
DATA_INCLUDED	3D
MARKER_NAMES	R_FAR	R_WRR	R_FAU	R_WRU	R_CMC	R_MCP1	R_IP	R_FT1	R_CMC2	R_MCP2	R_PIP2	R_DIP2	R_FT2	R_MCP3	R_PIP3	R_DIP3	R_FT3	R_MCP4	R_PIP4	R_DIP4	R_FT4	R_CMC5	R_MCP5	R_PIP5	R_DIP5	R_FT5	L_FAR	L_WRR	L_FAU	L_WRU	L_CMC1	L_MCP1	L_IP	L_FT1	L_CMC2	L_MCP2	L_PIP2	L_DIP2	L_FT2	L_MCP3	L_PIP3	L_DIP3	L_FT3	L_MCP4	L_PIP4	L_DIP4	L_FT4	L_CMC5	L_MCP5	L_PIP5	L_DIP5	L_FT5
Frame	Time	R_FAR X	R_FAR Y	R_FAR Z	R_WRR X	R_WRR Y	R_WRR Z	R_FAU X	R_FAU Y	R_FAU Z	R_WRU X	R_WRU Y	R_WRU Z	R_CMC X	R_CMC Y	R_CMC Z	R_MCP1 X	R_MCP1 Y	R_MCP1 Z	R_IP X	R_IP Y	R_IP Z	R_FT1 X	R_FT1 Y	R_FT1 Z	R_CMC2 X	R_CMC2 Y	R_CMC2 Z	R_MCP2 X	R_MCP2 Y	R_MCP2 Z	R_PIP2 X	R_PIP2 Y	R_PIP2 Z	R_DIP2 X	R_DIP2 Y	R_DIP2 Z	R_FT2 X	R_FT2 Y	R_FT2 Z	R_MCP3 X	R_MCP3 Y	R_MCP3 Z	R_PIP3 X	R_PIP3 Y	R_PIP3 Z	R_DIP3 X	R_DIP3 Y	R_DIP3 Z	R_FT3 X	R_FT3 Y	R_FT3 Z	R_MCP4 X	R_MCP4 Y	R_MCP4 Z	R_PIP4 X	R_PIP4 Y	R_PIP4 Z	R_DIP4 X	R_DIP4 Y	R_DIP4 Z	R_FT4 X	R_FT4 Y	R_FT4 Z	R_CMC5 X	R_CMC5 Y	R_CMC5 Z	R_MCP5 X	R_MCP5 Y	R_MCP5 Z	R_PIP5 X	R_PIP5 Y	R_PIP5 Z	R_DIP5 X	R_DIP5 Y	R_DIP5 Z	R_FT5 X	R_FT5 Y	R_FT5 Z	L_FAR X	L_FAR Y	L_FAR Z	L_WRR X	L_WRR Y	L_WRR Z	L_FAU X	L_FAU Y	L_FAU Z	L_WRU X	L_WRU Y	L_WRU Z	L_CMC1 X	L_CMC1 Y	L_CMC1 Z	L_MCP1 X	L_MCP1 Y	L_MCP1 Z	L_IP X	L_IP Y	L_IP Z	L_FT1 X	L_FT1 Y	L_FT1 Z	L_CMC2 X	L_CMC2 Y	L_CMC2 Z	L_MCP2 X	L_MCP2 Y	L_MCP2 Z	L_PIP2 X	L_PIP2 Y	L_PIP2 Z	L_DIP2 X	L_DIP2 Y	L_DIP2 Z	L_FT2 X	L_FT2 Y	L_FT2 Z	L_MCP3 X	L_MCP3 Y	L_MCP3 Z	L_PIP3 X	L_PIP3 Y	L_PIP3 Z	L_DIP3 X	L_DIP3 Y	L_DIP3 Z	L_FT3 X	L_FT3 Y	L_FT3 Z	L_MCP4 X	L_MCP4 Y	L_MCP4 Z	L_PIP4 X	L_PIP4 Y	L_PIP4 Z	L_DIP4 X	L_DIP4 Y	L_DIP4 Z	L_FT4 X	L_FT4 Y	L_FT4 Z	L_CMC5 X	L_CMC5 Y	L_CMC5 Z	L_MCP5 X	L_MCP5 Y	L_MCP5 Z	L_PIP5 X	L_PIP5 Y	L_PIP5 Z	L_DIP5 X	L_DIP5 Y	L_DIP5 Z	L_FT5 X	L_FT5 Y	L_FT5 Z	
7602	126.68333	115.876	-68.093	375.915	137.030	-57.349	405.922	154.581	-93.758	352.800	168.595	-89.547	391.512	147.470	-22.629	407.015	161.453	8.223	424.237	177.238	28.901	429.150	181.337	52.922	427.041	153.229	-46.763	434.381	169.527	-31.795	479.330	185.661	-5.143	510.322	191.557	3.658	531.882	196.497	5.338	549.683	183.159	-45.365	470.266	203.345	-20.372	510.848	209.899	-10.840	536.196	211.863	-11.311	555.619	202.418	-50.723	460.289	217.436	-30.258	497.730	223.256	-20.725	521.296	224.358	-18.821	538.961	188.969	-67.725	423.837	217.767	-55.503	448.595	226.661	-41.021	476.030	231.208	-36.628	492.363	234.250	-31.634	512.257	176.235	187.482	175.240	208.134	167.280	169.524	195.433	226.390	152.774	233.223	213.336	162.881	240.685	150.688	162.103	281.804	125.532	153.319	311.352	115.610	145.106	333.352	108.936	137.601	262.295	168.736	169.876	313.156	160.023	162.358	359.316	160.385	151.654	381.265	153.791	144.030	401.163	155.050	137.679	310.378	181.405	161.529	361.469	179.305	152.062	387.658	176.163	143.326	408.791	175.010	141.705	306.575	199.218	157.716	0.000	0.000	0.000	379.026	196.711	143.230	398.341	193.951	142.017	264.805	206.028	155.805	295.096	213.410	152.842	330.262	223.167	145.396	351.179	225.227	142.424	366.840	228.025	141.763
7603	126.70000	115.340	-68.238	376.350	136.307	-57.524	406.537	154.405	-93.308	353.110	168.269	-89.056	391.811	146.444	-22.716	408.077	160.344	8.050	425.688	175.920	28.619	430.791	179.919	52.620	428.730	152.165	-47.165	435.222	168.176	-32.838	480.565	184.403	-5.113	511.024	190.382	4.033	532.371	195.625	6.167	549.964	182.209	-45.830	471.344	202.121	-20.250	511.610	208.421	-11.356	537.544	210.670	-10.897	556.257	201.548	-50.468	461.077	216.383	-29.668	498.430	222.166	-19.946	522.018	223.391	-18.052	539.631	188.366	-67.331	424.313	216.917	-54.537	449.208	225.611	-39.811	476.723	230.088	-35.357	493.058	233.035	-30.053	512.836	176.244	187.469	175.244	208.116	167.275	169.518	195.423	226.383	152.771	233.219	213.324	162.870	240.684	150.674	162.096	281.797	125.523	153.307	311.359	115.612	145.109	333.352	108.922	137.606	262.299	168.726	169.854	313.162	160.014	162.364	359.310	160.379	151.645	381.264	153.789	144.023	401.146	154.888	137.742	310.367	181.390	161.528	361.375	179.246	151.957	387.675	176.154	143.316	408.790	175.010	141.708	306.583	199.209	157.685	0.000	0.000	0.000	379.022	196.701	143.239	398.345	193.947	142.019	264.807	206.020	155.806	295.108	213.404	152.866	330.265	223.160	145.402	351.185	225.218	142.424	366.844	228.028	141.770
7604	126.71667	114.878	-68.426	376.834	135.667	-57.730	407.033	154.235	-92.783	353.273	168.119	-88.604	392.049	145.440	-22.838	409.153	159.368	7.796	427.070	174.690	28.320	432.464	178.419	52.261	430.589	151.209	-47.625	436.014	166.885	-33.655	481.777	183.184	-5.775	511.914	189.454	4.490	532.632	194.981	7.018	550.209	181.219	-46.393	472.349	201.006	-19.895	512.333	207.442	-9.825	537.369	209.691	-9.938	556.733	200.724	-50.311	461.828	215.409	-28.857	499.097	221.110	-18.825	522.541	222.488	-16.821	540.176	187.825	-66.990	424.854	216.135	-53.708	449.873	224.601	-38.532	477.354	229.000	-33.921	493.681	231.884	-28.597	513.522	176.238	187.469	175.222	208.128	167.267	169.506	195.431	226.384	152.764	233.214	213.322	162.852	240.678	150.667	162.077	281.797	125.508	153.307	311.355	115.597	145.106	333.358	108.916	137.593	262.297	168.719	169.860	313.156	159.997	162.353	359.318	160.381	151.652	381.265	153.781	144.031	401.172	155.042	137.682	310.372	181.385	161.532	361.468	179.284	152.062	387.669	176.145	143.313	408.792	175.003	141.703	306.588	199.197	157.705	0.000	0.000	0.000	379.020	196.709	143.235	398.347	193.947	142.010	264.806	206.007	155.789	295.102	213.390	152.845	330.270	223.147	145.405	351.182	225.212	142.423	366.841	228.016	141.769
7605	126.73333	114.335	-68.796	377.213	134.985	-58.000	407.475	154.124	-92.331	353.448	167.956	-88.221	392.218	144.475	-22.972	410.158	158.016	7.149	428.673	173.433	27.862	434.208	177.013	51.692	432.602	149.431	-49.226	437.008	165.764	-34.619	482.986	181.981	-5.377	512.182	188.614	4.755	532.906	194.272	8.467	550.047	180.332	-46.982	473.423	200.109	-19.010	512.582	206.495	-8.200	537.270	209.068	-7.709	556.589	199.909	-50.232	462.689	214.429	-27.652	499.605	220.093	-17.125	522.827	221.631	-14.765	540.347	187.240	-66.758	425.338	215.328	-52.889	450.527	223.567	-37.159	477.957	227.975	-32.316	494.227	230.832	-26.801	513.973	176.256	187.469	175.225	208.132	167.256	169.493	195.438	226.382	152.758	233.234	213.307	162.849	240.667	150.659	162.073	281.801	125.505	153.295	311.359	115.576	145.091	333.360	108.903	137.602	262.310	168.698	169.835	313.168	159.995	162.344	359.316	160.367	151.657	381.270	153.779	144.024	401.174	155.032	137.674	310.385	181.373	161.519	361.474	179.277	152.058	387.671	176.156	143.329	408.799	174.994	141.713	306.598	199.185	157.712	0.000	0.000	0.000	379.023	196.691	143.232	398.360	193.941	142.003	264.806	205.995	155.785	295.107	213.389	152.869	330.262	223.154	145.398	351.193	225.220	142.433	366.848	228.025	141.774
7606	126.75000	113.828	-69.072	377.582	134.329	-58.315	407.967	153.887	-91.967	353.645	167.657	-87.902	392.437	143.584	-23.142	411.076	156.791	6.497	430.132	172.319	27.270	435.964	175.990	50.820	434.878	148.384	-49.920	437.761	164.500	-35.550	484.152	180.828	-4.878	512.236	187.427	6.152	532.566	193.405	9.887	549.639	179.497	-47.512	474.438	199.137	-17.594	512.611	205.681	-5.730	536.716	208.507	-4.427	555.881	199.085	-50.043	463.436	213.345	-26.404	500.010	218.959	-15.301	522.934	220.605	-12.584	540.435	186.636	-66.635	425.873	214.488	-52.151	451.137	222.476	-35.948	478.563	226.924	-30.892	494.759	229.776	-25.213	514.435	176.259	187.458	175.222	208.129	167.258	169.471	195.440	226.378	152.748	233.232	213.302	162.839	240.673	150.656	162.057	281.786	125.499	153.278	311.354	115.578	145.095	333.369	108.910	137.586	262.298	168.701	169.833	313.167	159.981	162.341	359.320	160.367	151.644	381.280	153.783	144.021	401.172	154.884	137.751	310.382	181.373	161.512	361.379	179.235	151.950	387.675	176.150	143.328	408.801	174.997	141.696	306.592	199.185	157.696	0.000	0.000	0.000	379.018	196.695	143.232	398.365	193.946	142.012	264.804	206.001	155.776	295.102	213.384	152.853	330.263	223.150	145.397	351.189	225.214	142.418	366.853	228.032	141.769
7607	126.76667	113.297	-69.219	377.910	133.670	-58.477	408.366	153.624	-91.565	353.774	167.305	-87.571	392.626	142.701	-23.299	411.970	155.966	6.197	431.375	171.286	26.813	437.445	174.809	50.263	436.611	147.340	-50.466	438.425	163.398	-36.308	485.173	179.602	-4.865	512.408	186.238	6.782	532.484	192.712	11.482	549.313	178.730	-48.017	475.327	198.023	-16.649	512.722	204.575	-3.983	536.319	207.646	-1.959	555.690	198.243	-50.008	464.161	212.253	-25.485	500.402	217.806	-13.978	523.181	219.527	-10.954	540.644	186.002	-66.444	426.320	213.653	-51.652	451.761	221.441	-34.997	479.135	225.815	-29.772	495.270	228.707	-24.021	514.940	176.259	187.468	175.202	208.126	167.268	169.474	195.444	226.400	152.739	233.241	213.299	162.809	240.678	150.664	162.049	281.800	125.506	153.288	311.359	115.588	145.088	333.367	108.912	137.583	262.295	168.703	169.821	313.174	159.994	162.337	359.324	160.377	151.650	381.278	153.778	144.014	401.159	154.885	137.735	310.371	181.367	161.514	361.381	179.236	151.946	387.679	176.142	143.303	408.812	175.003	141.698	306.599	199.198	157.699	0.000	0.000	0.000	379.021	196.701	143.229	398.365	193.944	142.010	264.805	206.007	155.769	295.098	213.386	152.840	330.276	223.157	145.395	351.212	225.219	142.424	366.844	228.025	141.773
7608	126.78333	112.797	-69.377	378.199	133.040	-58.613	408.765	153.388	-91.113	353.910	167.016	-87.160	392.734	141.778	-23.410	412.843	155.091	5.873	432.556	170.157	26.335	438.937	173.652	49.958	438.212	146.340	-51.152	439.107	162.409	-37.071	486.089	178.394	-4.942	512.735	185.011	7.116	532.547	191.614	12.343	549.298	177.958	-48.595	476.097	196.947	-16.135	512.878	203.427	-2.821	536.158	206.775	0.053	555.168	197.527	-50.094	464.822	210.892	-25.308	501.162	216.832	-13.472	523.695	218.573	-10.229	541.133	185.473	-66.222	426.614	212.969	-51.103	452.122	220.513	-34.083	479.622	225.109	-28.676	495.764	227.758	-22.969	515.384	176.261	187.484	175.216	208.127	167.285	169.464	195.444	226.394	152.735	233.242	213.311	162.813	240.672	150.669	162.036	281.794	125.506	153.281	311.354	115.595	145.092	333.364	108.914	137.600	262.306	168.725	169.815	313.175	159.997	162.344	359.319	160.382	151.644	381.289	153.785	144.027	401.170	155.040	137.671	310.382	181.382	161.506	361.473	179.293	152.055	387.677	176.149	143.317	408.803	175.006	141.709	306.606	199.198	157.690	0.000	0.000	0.000	379.033	196.700	143.234	398.364	193.950	142.009	264.797	206.017	155.756	295.098	213.402	152.847	330.272	223.156	145.394	351.202	225.234	142.419	366.850	228.043	141.763
7609	126.80000	112.422	-69.519	378.433	132.583	-58.776	409.067	153.266	-90.661	353.950	166.848	-86.752	392.788	141.128	-23.536	413.626	154.194	5.341	434.024	169.209	25.643	440.714	172.885	49.686	440.230	145.514	-51.769	439.658	161.496	-37.991	487.000	177.072	-5.946	513.425	183.748	6.901	532.738	190.290	13.053	549.158	177.326	-49.267	476.888	195.871	-15.513	512.938	202.182	-1.561	535.764	205.563	1.636	554.868	196.853	-50.387	465.549	210.259	-24.166	501.141	215.775	-11.570	523.472	217.554	-8.519	541.085	185.028	-66.103	426.962	212.264	-50.564	452.683	219.561	-33.007	480.079	224.094	-27.399	496.139	226.804	-21.877	515.684	176.266	187.483	175.205	208.139	167.296	169.462	195.446	226.414	152.722	233.236	213.333	162.793	240.664	150.684	162.024	281.795	125.511	153.275	311.352	115.600	145.090	333.358	108.928	137.585	262.296	168.721	169.802	313.167	160.014	162.338	359.315	160.386	151.635	381.282	153.802	144.028	401.166	154.888	137.753	310.368	181.386	161.496	361.377	179.252	151.951	387.678	176.151	143.316	408.799	175.008	141.713	306.593	199.205	157.687	0.000	0.000	0.000	379.034	196.707	143.235	398.368	193.959	142.015	264.790	206.032	155.749	295.106	213.412	152.856	330.273	223.170	145.393	351.204	225.238	142.429	366.862	228.044	141.763
7610	126.81667	112.040	-69.783	378.703	132.050	-59.026	409.400	153.109	-90.284	354.024	166.679	-86.436	392.892	140.419	-23.699	414.530	153.601	4.806	435.263	168.636	25.053	442.295	172.241	49.143	442.110	144.725	-52.431	440.186	160.644	-38.870	487.830	176.038	-5.013	512.984	182.475	7.676	532.297	189.189	14.234	548.599	176.721	-49.950	477.642	194.752	-15.404	512.839	200.939	-0.016	535.115	204.447	3.778	554.021	196.199	-50.614	466.288	209.370	-23.135	501.196	214.744	-10.069	523.297	216.579	-6.537	540.835	184.557	-66.081	427.280	211.652	-50.100	453.188	218.589	-31.815	480.505	223.034	-25.861	496.443	225.749	-20.038	515.929	176.261	187.490	175.204	208.138	167.295	169.457	195.451	226.427	152.691	233.239	213.339	162.778	240.664	150.688	162.000	281.789	125.520	153.269	311.347	115.607	145.096	333.371	108.932	137.602	262.295	168.724	169.795	313.165	160.016	162.334	359.319	160.393	151.635	381.281	153.801	144.025	401.174	155.050	137.676	310.377	181.394	161.492	361.472	179.299	152.050	387.683	176.166	143.322	408.804	175.011	141.696	306.576	199.206	157.669	0.000	0.000	0.000	379.021	196.714	143.230	398.357	193.962	142.014	264.779	206.038	155.739	295.097	213.421	152.837	330.273	223.180	145.399	351.199	225.251	142.417	366.850	228.058	141.748
7611	126.83333	111.660	-70.068	378.954	131.615	-59.073	409.544	152.949	-90.015	354.125	166.471	-86.185	392.995	139.802	-23.924	415.366	152.961	4.143	436.508	168.129	24.453	443.720	170.874	47.231	444.169	145.674	-51.316	440.068	159.796	-39.590	488.741	174.953	-4.811	512.717	181.359	8.784	531.523	188.102	15.758	547.647	176.098	-50.682	478.402	193.782	-14.961	512.776	199.759	1.042	534.599	203.373	5.313	553.245	195.661	-50.824	466.934	208.616	-22.256	501.336	213.820	-8.727	523.149	215.745	-4.855	540.603	184.145	-66.092	427.619	211.048	-49.761	453.719	217.615	-30.674	480.990	222.192	-24.451	496.616	224.908	-18.354	516.035	176.270	187.506	175.211	208.126	167.293	169.433	195.454	226.427	152.702	233.230	213.330	162.762	240.656	150.698	162.000	281.790	125.522	153.275	311.351	115.601	145.102	333.356	108.934	137.619	262.294	168.727	169.795	313.164	160.020	162.331	359.320	160.389	151.642	381.269	153.797	144.024	401.169	155.053	137.679	310.370	181.403	161.484	361.469	179.305	152.052	387.678	176.162	143.317	408.796	175.020	141.705	306.581	199.203	157.666	0.000	0.000	0.000	379.032	196.714	143.226	398.364	193.956	142.021	264.791	206.045	155.736	295.092	213.420	152.849	330.262	223.183	145.397	351.201	225.257	142.429	366.869	228.056	141.764
