NO_OF_FRAMES	533
NO_OF_CAMERAS	8
NO_OF_MARKERS	52
FREQUENCY	60
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2020-12-18, 12:17:30	9665.39676257
DATA_INCLUDED	3D
MARKER_NAMES	R_FAR	R_WRR	R_FAU	R_WRU	R_CMC	R_MCP1	R_IP	R_FT1	R_CMC2	R_MCP2	R_PIP2	R_DIP2	R_FT2	R_MCP3	R_PIP3	R_DIP3	R_FT3	R_MCP4	R_PIP4	R_DIP4	R_FT4	R_CMC5	R_MCP5	R_PIP5	R_DIP5	R_FT5	L_FAR	L_WRR	L_FAU	L_WRU	L_CMC1	L_MCP1	L_IP	L_FT1	L_CMC2	L_MCP2	L_PIP2	L_DIP2	L_FT2	L_MCP3	L_PIP3	L_DIP3	L_FT3	L_MCP4	L_PIP4	L_DIP4	L_FT4	L_CMC5	L_MCP5	L_PIP5	L_DIP5	L_FT5
Frame	Time	R_FAR X	R_FAR Y	R_FAR Z	R_WRR X	R_WRR Y	R_WRR Z	R_FAU X	R_FAU Y	R_FAU Z	R_WRU X	R_WRU Y	R_WRU Z	R_CMC X	R_CMC Y	R_CMC Z	R_MCP1 X	R_MCP1 Y	R_MCP1 Z	R_IP X	R_IP Y	R_IP Z	R_FT1 X	R_FT1 Y	R_FT1 Z	R_CMC2 X	R_CMC2 Y	R_CMC2 Z	R_MCP2 X	R_MCP2 Y	R_MCP2 Z	R_PIP2 X	R_PIP2 Y	R_PIP2 Z	R_DIP2 X	R_DIP2 Y	R_DIP2 Z	R_FT2 X	R_FT2 Y	R_FT2 Z	R_MCP3 X	R_MCP3 Y	R_MCP3 Z	R_PIP3 X	R_PIP3 Y	R_PIP3 Z	R_DIP3 X	R_DIP3 Y	R_DIP3 Z	R_FT3 X	R_FT3 Y	R_FT3 Z	R_MCP4 X	R_MCP4 Y	R_MCP4 Z	R_PIP4 X	R_PIP4 Y	R_PIP4 Z	R_DIP4 X	R_DIP4 Y	R_DIP4 Z	R_FT4 X	R_FT4 Y	R_FT4 Z	R_CMC5 X	R_CMC5 Y	R_CMC5 Z	R_MCP5 X	R_MCP5 Y	R_MCP5 Z	R_PIP5 X	R_PIP5 Y	R_PIP5 Z	R_DIP5 X	R_DIP5 Y	R_DIP5 Z	R_FT5 X	R_FT5 Y	R_FT5 Z	L_FAR X	L_FAR Y	L_FAR Z	L_WRR X	L_WRR Y	L_WRR Z	L_FAU X	L_FAU Y	L_FAU Z	L_WRU X	L_WRU Y	L_WRU Z	L_CMC1 X	L_CMC1 Y	L_CMC1 Z	L_MCP1 X	L_MCP1 Y	L_MCP1 Z	L_IP X	L_IP Y	L_IP Z	L_FT1 X	L_FT1 Y	L_FT1 Z	L_CMC2 X	L_CMC2 Y	L_CMC2 Z	L_MCP2 X	L_MCP2 Y	L_MCP2 Z	L_PIP2 X	L_PIP2 Y	L_PIP2 Z	L_DIP2 X	L_DIP2 Y	L_DIP2 Z	L_FT2 X	L_FT2 Y	L_FT2 Z	L_MCP3 X	L_MCP3 Y	L_MCP3 Z	L_PIP3 X	L_PIP3 Y	L_PIP3 Z	L_DIP3 X	L_DIP3 Y	L_DIP3 Z	L_FT3 X	L_FT3 Y	L_FT3 Z	L_MCP4 X	L_MCP4 Y	L_MCP4 Z	L_PIP4 X	L_PIP4 Y	L_PIP4 Z	L_DIP4 X	L_DIP4 Y	L_DIP4 Z	L_FT4 X	L_FT4 Y	L_FT4 Z	L_CMC5 X	L_CMC5 Y	L_CMC5 Z	L_MCP5 X	L_MCP5 Y	L_MCP5 Z	L_PIP5 X	L_PIP5 Y	L_PIP5 Z	L_DIP5 X	L_DIP5 Y	L_DIP5 Z	L_FT5 X	L_FT5 Y	L_FT5 Z	
8135	135.56667	89.307	-59.260	362.436	112.369	-50.553	389.619	124.838	-86.315	336.310	141.322	-83.345	373.668	118.040	-19.211	392.385	123.403	12.246	412.342	129.691	36.359	417.331	126.057	60.950	416.036	130.869	-42.070	416.304	149.757	-33.580	458.806	164.812	-26.186	498.988	170.645	-26.757	522.999	174.954	-32.081	540.494	161.145	-44.805	448.916	179.478	-38.647	496.043	186.123	-38.116	524.047	187.070	-44.703	542.783	177.527	-55.314	440.453	192.146	-49.698	482.116	198.605	-47.504	507.968	199.202	-50.915	525.827	163.451	-64.741	403.778	192.147	-62.002	428.867	201.450	-58.288	458.782	206.319	-59.570	476.064	209.303	-61.026	496.435	175.724	187.654	175.041	207.395	167.610	168.996	194.747	226.570	152.633	232.428	213.481	162.546	239.691	150.983	161.660	280.929	125.891	153.142	310.540	116.063	145.073	332.598	109.501	137.547	261.342	169.062	169.587	312.225	160.370	162.294	358.361	160.839	151.617	380.368	154.244	143.965	400.162	155.305	137.561	309.376	181.762	161.390	360.378	179.504	151.963	386.737	176.306	143.311	407.873	175.127	141.704	305.660	199.592	157.579	0.000	0.000	0.000	378.081	196.737	143.246	397.374	193.888	141.963	263.895	206.482	155.549	294.167	213.872	152.742	329.469	223.197	145.413	350.413	224.944	142.437	366.131	227.571	141.813
8136	135.58333	90.107	-58.957	362.850	112.977	-50.274	390.120	125.756	-86.038	336.968	142.095	-83.054	374.449	118.406	-19.133	392.813	123.361	12.295	412.926	129.375	36.385	418.059	125.681	61.088	416.657	131.103	-41.943	416.836	149.514	-33.307	459.679	164.090	-25.669	499.998	169.726	-26.103	524.018	174.106	-30.950	541.674	161.018	-44.507	449.947	178.839	-37.970	497.211	185.279	-37.189	525.233	186.175	-43.519	544.153	177.624	-54.797	441.620	191.812	-48.810	483.377	197.965	-46.462	509.304	198.323	-48.930	526.984	163.939	-64.455	404.772	192.374	-61.531	430.283	201.347	-58.277	460.416	205.980	-58.482	477.573	208.643	-59.920	498.024	175.734	187.696	175.044	207.394	167.643	169.024	194.744	226.582	152.630	232.424	213.509	162.547	239.699	151.001	161.664	280.931	125.901	153.154	310.527	116.077	145.065	332.590	109.515	137.563	261.347	169.078	169.581	312.223	160.376	162.291	358.367	160.847	151.611	380.351	154.245	143.951	400.158	155.306	137.565	309.378	181.777	161.403	360.389	179.510	151.967	386.749	176.326	143.310	407.872	175.127	141.697	305.659	199.599	157.582	0.000	0.000	0.000	378.073	196.746	143.229	397.387	193.890	141.968	263.906	206.489	155.564	294.177	213.881	152.739	329.477	223.220	145.419	350.443	224.960	142.434	366.122	227.580	141.799
8137	135.60000	90.859	-58.684	363.308	113.523	-50.132	390.680	126.660	-85.646	337.535	142.904	-82.667	375.112	118.746	-19.033	393.283	123.831	13.191	413.423	129.516	37.647	418.642	125.050	61.179	417.471	131.408	-41.685	417.456	149.221	-33.001	460.528	163.389	-25.225	500.955	168.872	-25.564	525.059	172.828	-30.886	542.805	160.877	-44.161	450.855	178.234	-37.336	498.372	184.368	-36.409	526.389	184.930	-42.784	545.195	177.707	-54.342	442.738	191.351	-48.070	484.678	197.285	-45.422	510.605	197.518	-47.924	528.325	164.457	-64.096	405.757	192.628	-60.905	431.550	201.260	-57.367	461.752	205.608	-57.478	478.988	208.105	-58.666	499.454	175.761	187.743	175.060	207.409	167.681	169.033	194.755	226.604	152.620	232.444	213.531	162.543	239.699	151.011	161.670	280.932	125.914	153.162	310.538	116.089	145.069	332.590	109.527	137.570	261.363	169.093	169.591	312.231	160.394	162.295	358.356	160.852	151.621	380.359	154.263	143.963	400.165	155.313	137.560	309.386	181.785	161.409	360.386	179.516	151.955	386.746	176.323	143.308	407.871	175.127	141.708	305.660	199.611	157.590	0.000	0.000	0.000	378.093	196.748	143.227	397.387	193.894	141.960	263.910	206.503	155.560	294.176	213.893	152.735	329.486	223.221	145.405	350.437	224.961	142.439	366.137	227.588	141.801
8138	135.61667	91.540	-58.427	363.760	113.976	-49.860	391.165	127.566	-85.190	338.174	143.630	-82.199	375.839	119.037	-18.786	393.912	123.554	13.390	414.077	129.079	37.803	419.427	124.476	61.356	418.220	131.513	-41.559	418.068	148.784	-32.758	461.420	162.586	-24.812	501.968	167.876	-25.022	526.079	171.747	-30.289	543.909	160.705	-43.801	451.832	177.488	-36.842	499.560	183.380	-35.738	527.639	183.853	-42.017	546.386	177.697	-53.729	443.832	190.942	-47.222	485.889	196.635	-44.453	511.857	196.743	-46.805	529.586	164.899	-63.640	406.710	192.780	-60.180	432.778	200.986	-55.604	463.022	205.337	-56.286	480.367	207.520	-57.389	500.919	175.764	187.778	175.070	207.417	167.714	169.051	194.755	226.632	152.627	232.429	213.553	162.540	239.693	151.029	161.666	280.923	125.919	153.146	310.511	116.093	145.071	332.580	109.524	137.582	261.342	169.116	169.582	312.215	160.405	162.276	358.364	160.844	151.628	380.349	154.249	143.959	400.163	155.310	137.558	309.375	181.794	161.397	360.381	179.516	151.958	386.738	176.328	143.297	407.877	175.127	141.698	305.668	199.631	157.584	0.000	0.000	0.000	378.087	196.749	143.224	397.394	193.891	141.965	263.907	206.527	155.559	294.167	213.904	152.735	329.487	223.221	145.414	350.436	224.973	142.433	366.136	227.590	141.803
8139	135.63333	92.107	-58.065	364.301	114.324	-49.543	391.785	128.313	-84.779	338.879	144.225	-81.752	376.626	119.256	-18.519	394.327	123.310	13.672	414.565	128.679	38.161	419.888	123.865	61.673	418.759	131.619	-41.156	418.772	148.311	-32.348	462.299	161.639	-24.105	502.971	166.677	-24.278	527.145	170.761	-28.812	544.915	160.378	-43.333	452.849	176.826	-36.028	500.638	182.413	-34.863	528.785	182.969	-40.948	547.741	177.579	-53.085	444.919	190.437	-46.257	487.169	195.815	-43.417	513.154	195.816	-45.661	530.921	165.164	-63.155	407.721	192.829	-59.427	434.132	200.679	-54.529	464.434	204.744	-55.150	481.816	206.814	-56.072	502.391	175.773	187.815	175.072	207.429	167.738	169.054	194.762	226.649	152.606	232.431	213.582	162.543	239.690	151.055	161.682	280.913	125.946	153.156	310.518	116.113	145.075	332.576	109.549	137.585	261.350	169.143	169.594	312.222	160.419	162.280	358.364	160.864	151.610	380.343	154.270	143.965	400.146	155.317	137.568	309.372	181.807	161.404	360.379	179.534	151.954	386.744	176.334	143.308	407.859	175.126	141.703	305.661	199.639	157.579	0.000	0.000	0.000	378.079	196.767	143.225	397.385	193.901	141.974	263.917	206.539	155.559	294.173	213.925	152.734	329.484	223.231	145.397	350.430	224.972	142.433	366.141	227.595	141.801
8140	135.65000	92.555	-57.731	364.854	114.611	-49.215	392.362	128.976	-84.447	339.769	144.675	-81.312	377.501	119.391	-18.231	394.922	123.059	14.048	415.009	128.238	38.487	420.431	123.319	61.969	419.112	131.547	-40.765	419.438	147.732	-31.829	463.192	160.553	-23.324	503.990	165.408	-23.227	528.175	169.009	-28.244	546.075	159.959	-42.792	453.922	175.888	-35.100	501.768	181.239	-33.781	529.993	181.436	-39.838	548.823	177.345	-52.426	446.182	189.752	-45.266	488.463	194.896	-42.308	514.492	194.774	-44.488	532.240	165.417	-62.566	408.771	192.770	-58.615	435.508	200.321	-53.517	465.868	204.239	-53.897	483.236	206.027	-54.654	503.872	175.793	187.845	175.090	207.429	167.766	169.084	194.790	226.673	152.605	232.441	213.602	162.530	239.698	151.073	161.683	280.928	125.955	153.171	310.515	116.119	145.075	332.574	109.551	137.588	261.359	169.165	169.598	312.225	160.435	162.289	358.361	160.872	151.631	380.347	154.280	143.971	400.158	155.335	137.567	309.395	181.826	161.406	360.389	179.547	151.956	386.749	176.342	143.315	407.863	175.147	141.699	305.681	199.651	157.589	0.000	0.000	0.000	378.096	196.767	143.242	397.396	193.915	141.982	263.907	206.556	155.550	294.175	213.940	152.742	329.487	223.240	145.412	350.447	224.977	142.447	366.138	227.610	141.806
8141	135.66667	92.965	-57.350	365.492	114.798	-48.869	393.028	129.536	-84.045	340.543	145.194	-80.952	378.428	119.344	-17.984	395.461	121.990	13.355	415.642	127.734	38.903	420.877	122.708	62.358	419.420	131.392	-40.434	420.262	147.120	-31.288	464.008	159.478	-22.447	504.903	164.063	-22.188	529.190	167.497	-27.050	547.158	159.534	-42.156	454.924	174.959	-34.141	502.893	180.013	-32.661	531.119	180.045	-38.601	550.013	177.067	-51.614	447.337	189.030	-44.314	489.722	193.954	-41.137	515.764	193.638	-43.263	533.544	165.480	-62.103	409.857	192.618	-57.818	436.806	199.799	-52.386	467.294	203.542	-52.661	484.712	205.188	-53.352	505.283	175.796	187.869	175.100	207.439	167.786	169.091	194.786	226.679	152.600	232.455	213.610	162.538	239.704	151.082	161.694	280.936	125.976	153.173	310.517	116.133	145.078	332.571	109.564	137.593	261.363	169.168	169.613	312.228	160.448	162.288	358.365	160.873	151.626	380.357	154.284	143.964	400.162	155.341	137.566	309.392	181.834	161.409	360.394	179.550	151.961	386.736	176.342	143.306	407.888	175.141	141.684	305.666	199.656	157.583	0.000	0.000	0.000	378.100	196.776	143.240	397.405	193.919	141.974	263.922	206.567	155.550	294.178	213.950	152.732	329.493	223.248	145.403	350.435	224.995	142.441	366.154	227.605	141.803
8142	135.68333	93.255	-57.027	366.025	114.871	-48.435	393.645	129.991	-83.602	341.353	145.489	-80.427	379.318	119.298	-17.616	395.911	121.412	13.710	416.163	127.089	39.336	421.359	122.011	62.769	419.794	131.166	-39.982	420.847	146.452	-30.689	464.829	158.405	-21.604	505.805	162.690	-21.197	530.198	165.929	-26.004	548.200	158.929	-41.646	455.937	174.021	-33.240	503.949	178.788	-31.596	532.268	178.723	-37.445	551.176	176.722	-50.861	448.504	188.350	-43.131	490.926	193.000	-39.911	516.987	192.576	-42.024	534.751	165.563	-61.480	410.855	192.467	-56.919	438.098	199.337	-51.296	468.601	202.960	-51.495	486.073	204.406	-51.956	506.703	175.810	187.871	175.099	207.463	167.797	169.100	194.794	226.683	152.601	232.454	213.612	162.535	239.708	151.079	161.706	280.935	125.966	153.183	310.526	116.131	145.070	332.569	109.559	137.586	261.355	169.172	169.613	312.234	160.440	162.293	358.361	160.877	151.629	380.357	154.268	143.967	400.157	155.326	137.560	309.396	181.835	161.404	360.391	179.544	151.971	386.762	176.339	143.314	407.889	175.148	141.696	305.671	199.651	157.582	0.000	0.000	0.000	378.093	196.775	143.234	397.404	193.919	141.971	263.921	206.569	155.554	294.184	213.944	152.723	329.496	223.247	145.401	350.446	224.998	142.435	366.152	227.614	141.796
8143	135.70000	93.549	-56.679	366.673	114.936	-48.082	394.332	130.394	-83.176	342.157	145.793	-79.879	380.187	119.129	-17.305	396.558	120.885	14.098	416.659	126.348	39.753	421.836	121.158	63.183	420.242	130.981	-39.621	421.634	145.782	-30.162	465.663	157.358	-20.832	506.802	161.388	-20.462	531.186	164.474	-25.186	549.231	158.509	-40.982	456.890	173.097	-32.401	505.029	177.612	-30.684	533.418	177.465	-36.385	552.276	176.333	-50.102	449.641	187.598	-42.265	492.104	192.134	-38.718	518.154	191.537	-40.841	535.973	165.555	-60.911	411.972	192.205	-56.034	439.359	198.911	-50.183	469.848	202.361	-50.170	487.329	203.656	-50.586	507.966	175.801	187.892	175.098	207.464	167.790	169.111	194.805	226.682	152.607	232.473	213.608	162.545	239.719	151.073	161.706	280.933	125.959	153.179	310.530	116.117	145.074	332.588	109.554	137.573	261.383	169.165	169.612	312.251	160.421	162.300	358.382	160.873	151.623	380.363	154.277	143.965	400.182	155.323	137.558	309.404	181.824	161.406	360.392	179.532	151.976	386.753	176.343	143.305	407.890	175.139	141.700	305.688	199.654	157.578	0.000	0.000	0.000	378.103	196.773	143.223	397.413	193.920	141.962	263.934	206.560	155.556	294.188	213.934	152.730	329.493	223.241	145.398	350.458	224.987	142.438	366.165	227.613	141.801
8144	135.71667	93.644	-56.418	367.324	114.908	-47.791	395.038	130.746	-82.744	342.976	145.848	-79.422	381.117	118.929	-16.924	397.092	120.248	14.387	417.240	125.637	40.212	422.322	120.427	63.603	420.558	130.753	-39.078	422.374	144.949	-29.820	466.576	156.362	-20.155	507.753	160.263	-19.696	532.162	163.263	-24.318	550.224	157.968	-40.373	457.810	172.152	-31.595	506.114	176.533	-29.772	534.483	176.258	-35.393	553.370	175.959	-49.352	450.732	186.936	-41.192	493.238	191.203	-37.734	519.387	190.535	-39.756	537.134	165.512	-60.317	413.034	191.869	-55.215	440.657	198.383	-49.280	471.188	201.758	-49.244	488.699	202.965	-49.587	509.324	175.797	187.878	175.083	207.474	167.798	169.126	194.822	226.682	152.615	232.470	213.599	162.567	239.723	151.066	161.719	280.939	125.949	153.180	310.543	116.112	145.086	332.589	109.532	137.574	261.373	169.148	169.618	312.249	160.410	162.304	358.383	160.873	151.623	380.384	154.260	143.967	400.173	155.310	137.557	309.419	181.819	161.413	360.397	179.527	151.957	386.766	176.326	143.306	407.900	175.141	141.684	305.698	199.645	157.582	0.000	0.000	0.000	378.116	196.771	143.241	397.417	193.914	141.958	263.935	206.540	155.566	294.225	213.953	152.780	329.502	223.238	145.395	350.468	224.977	142.430	366.167	227.601	141.784
