NO_OF_FRAMES	488
NO_OF_CAMERAS	8
NO_OF_MARKERS	52
FREQUENCY	60
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2020-12-18, 12:17:30	9665.39676257
DATA_INCLUDED	3D
MARKER_NAMES	R_FAR	R_WRR	R_FAU	R_WRU	R_CMC	R_MCP1	R_IP	R_FT1	R_CMC2	R_MCP2	R_PIP2	R_DIP2	R_FT2	R_MCP3	R_PIP3	R_DIP3	R_FT3	R_MCP4	R_PIP4	R_DIP4	R_FT4	R_CMC5	R_MCP5	R_PIP5	R_DIP5	R_FT5	L_FAR	L_WRR	L_FAU	L_WRU	L_CMC1	L_MCP1	L_IP	L_FT1	L_CMC2	L_MCP2	L_PIP2	L_DIP2	L_FT2	L_MCP3	L_PIP3	L_DIP3	L_FT3	L_MCP4	L_PIP4	L_DIP4	L_FT4	L_CMC5	L_MCP5	L_PIP5	L_DIP5	L_FT5
Frame	Time	R_FAR X	R_FAR Y	R_FAR Z	R_WRR X	R_WRR Y	R_WRR Z	R_FAU X	R_FAU Y	R_FAU Z	R_WRU X	R_WRU Y	R_WRU Z	R_CMC X	R_CMC Y	R_CMC Z	R_MCP1 X	R_MCP1 Y	R_MCP1 Z	R_IP X	R_IP Y	R_IP Z	R_FT1 X	R_FT1 Y	R_FT1 Z	R_CMC2 X	R_CMC2 Y	R_CMC2 Z	R_MCP2 X	R_MCP2 Y	R_MCP2 Z	R_PIP2 X	R_PIP2 Y	R_PIP2 Z	R_DIP2 X	R_DIP2 Y	R_DIP2 Z	R_FT2 X	R_FT2 Y	R_FT2 Z	R_MCP3 X	R_MCP3 Y	R_MCP3 Z	R_PIP3 X	R_PIP3 Y	R_PIP3 Z	R_DIP3 X	R_DIP3 Y	R_DIP3 Z	R_FT3 X	R_FT3 Y	R_FT3 Z	R_MCP4 X	R_MCP4 Y	R_MCP4 Z	R_PIP4 X	R_PIP4 Y	R_PIP4 Z	R_DIP4 X	R_DIP4 Y	R_DIP4 Z	R_FT4 X	R_FT4 Y	R_FT4 Z	R_CMC5 X	R_CMC5 Y	R_CMC5 Z	R_MCP5 X	R_MCP5 Y	R_MCP5 Z	R_PIP5 X	R_PIP5 Y	R_PIP5 Z	R_DIP5 X	R_DIP5 Y	R_DIP5 Z	R_FT5 X	R_FT5 Y	R_FT5 Z	L_FAR X	L_FAR Y	L_FAR Z	L_WRR X	L_WRR Y	L_WRR Z	L_FAU X	L_FAU Y	L_FAU Z	L_WRU X	L_WRU Y	L_WRU Z	L_CMC1 X	L_CMC1 Y	L_CMC1 Z	L_MCP1 X	L_MCP1 Y	L_MCP1 Z	L_IP X	L_IP Y	L_IP Z	L_FT1 X	L_FT1 Y	L_FT1 Z	L_CMC2 X	L_CMC2 Y	L_CMC2 Z	L_MCP2 X	L_MCP2 Y	L_MCP2 Z	L_PIP2 X	L_PIP2 Y	L_PIP2 Z	L_DIP2 X	L_DIP2 Y	L_DIP2 Z	L_FT2 X	L_FT2 Y	L_FT2 Z	L_MCP3 X	L_MCP3 Y	L_MCP3 Z	L_PIP3 X	L_PIP3 Y	L_PIP3 Z	L_DIP3 X	L_DIP3 Y	L_DIP3 Z	L_FT3 X	L_FT3 Y	L_FT3 Z	L_MCP4 X	L_MCP4 Y	L_MCP4 Z	L_PIP4 X	L_PIP4 Y	L_PIP4 Z	L_DIP4 X	L_DIP4 Y	L_DIP4 Z	L_FT4 X	L_FT4 Y	L_FT4 Z	L_CMC5 X	L_CMC5 Y	L_CMC5 Z	L_MCP5 X	L_MCP5 Y	L_MCP5 Z	L_PIP5 X	L_PIP5 Y	L_PIP5 Z	L_DIP5 X	L_DIP5 Y	L_DIP5 Z	L_FT5 X	L_FT5 Y	L_FT5 Z	
14746	245.75000	133.265	-54.824	338.926	159.719	-46.203	361.909	161.010	-87.361	311.156	179.940	-86.644	347.126	194.503	-24.938	363.861	196.675	7.912	385.552	216.281	26.764	393.851	230.291	47.882	398.031	176.885	-43.405	388.311	193.068	-39.963	433.739	210.503	-23.286	473.196	221.061	-13.433	495.007	227.589	-9.077	511.882	201.926	-54.794	422.327	211.022	-58.235	471.936	221.604	-56.199	501.214	224.094	-58.451	520.782	213.486	-71.448	413.363	223.221	-76.181	456.743	231.496	-76.517	484.056	232.504	-79.008	501.790	201.713	-74.193	376.755	226.819	-81.594	401.536	234.567	-91.386	429.897	240.309	-98.805	447.052	244.372	-106.129	466.474	171.593	189.197	176.112	203.356	169.536	170.790	190.990	228.060	154.389	228.698	215.346	164.906	235.544	152.946	163.398	276.343	127.630	153.657	305.757	117.681	145.181	327.641	110.960	137.580	257.473	170.561	171.056	307.996	161.271	162.877	354.024	160.807	151.913	375.811	153.795	144.107	395.669	154.508	137.728	305.550	182.478	162.132	356.354	179.647	152.113	382.539	176.156	143.316	403.648	174.639	141.588	302.066	200.214	158.391	0.000	0.000	0.000	374.171	196.373	143.228	393.438	193.190	141.843	260.526	207.538	157.351	290.699	214.187	153.268	326.098	222.976	145.442	347.099	224.450	142.366	362.813	226.786	141.650
14747	245.76667	132.764	-54.737	339.199	159.109	-46.105	362.202	160.838	-86.908	311.213	179.793	-86.047	347.102	193.513	-24.921	364.835	195.685	7.929	386.526	215.325	26.809	395.046	229.851	47.611	399.687	175.862	-43.453	388.804	191.650	-40.183	434.760	211.552	-22.012	473.092	224.144	-10.801	493.640	232.501	-5.309	509.383	200.869	-54.793	422.776	210.077	-58.424	472.611	221.048	-55.981	501.862	224.214	-57.748	521.401	212.663	-71.274	413.767	222.510	-76.617	457.043	230.991	-76.992	484.381	232.325	-79.605	502.079	201.265	-73.714	377.009	226.371	-81.064	401.843	234.273	-91.101	430.126	240.231	-98.699	447.143	244.409	-106.223	466.520	171.590	189.214	176.119	203.331	169.554	170.785	190.960	228.092	154.371	228.685	215.374	164.876	235.536	152.975	163.398	276.338	127.657	153.650	305.759	117.711	145.198	327.633	110.966	137.573	257.465	170.587	171.043	307.986	161.301	162.878	354.016	160.827	151.907	375.793	153.805	144.117	395.658	154.525	137.722	305.557	182.508	162.142	356.350	179.663	152.103	382.539	176.169	143.318	403.627	174.648	141.581	302.067	200.245	158.395	0.000	0.000	0.000	374.161	196.381	143.222	393.426	193.199	141.848	260.514	207.555	157.328	290.691	214.210	153.252	326.092	222.990	145.432	347.094	224.462	142.370	362.802	226.798	141.643
14748	245.78333	131.939	-54.977	339.888	158.351	-46.305	362.743	160.815	-86.360	311.187	179.921	-85.523	346.987	191.900	-24.952	366.109	194.071	7.898	387.800	213.748	26.916	396.635	228.655	47.487	401.816	174.901	-43.673	389.332	190.408	-40.949	435.859	212.802	-20.922	472.830	227.483	-7.979	491.502	237.556	-1.077	505.639	200.110	-55.221	423.328	209.676	-58.584	472.908	221.401	-55.759	502.373	225.313	-57.016	521.803	212.348	-71.217	414.045	222.590	-76.997	457.216	231.214	-77.403	484.473	232.734	-80.243	502.161	201.143	-73.161	377.081	226.362	-80.345	401.792	234.808	-90.808	429.794	241.073	-98.653	446.711	245.504	-106.492	465.906	171.589	189.239	176.112	203.315	169.579	170.778	190.966	228.100	154.357	228.675	215.390	164.856	235.532	152.995	163.390	276.333	127.683	153.651	305.753	117.722	145.191	327.628	110.983	137.573	257.449	170.607	171.029	307.971	161.312	162.854	354.012	160.841	151.896	375.789	153.817	144.097	395.648	154.535	137.712	305.545	182.519	162.122	356.332	179.680	152.096	382.531	176.180	143.311	403.631	174.660	141.579	302.044	200.257	158.348	0.000	0.000	0.000	374.160	196.391	143.224	393.415	193.206	141.845	260.504	207.575	157.318	290.674	214.228	153.235	326.088	223.005	145.410	347.086	224.490	142.371	362.790	226.813	141.632
14749	245.80000	131.288	-55.437	340.507	157.468	-47.001	363.632	160.918	-85.605	311.024	180.371	-84.593	346.633	189.786	-25.211	368.000	191.957	7.639	389.691	211.442	26.914	399.014	226.582	47.285	404.882	173.963	-44.462	390.171	189.376	-42.244	437.260	213.731	-20.055	472.617	229.873	-4.824	488.689	241.675	3.676	500.764	199.701	-55.854	423.972	209.973	-59.452	473.392	221.823	-57.457	503.148	227.262	-57.046	522.326	212.609	-71.110	414.171	223.777	-77.394	456.961	232.633	-78.022	484.183	234.442	-82.730	502.281	201.393	-72.529	377.048	227.016	-79.337	401.460	236.340	-90.360	428.997	243.177	-98.368	445.457	248.070	-106.625	464.399	171.576	189.259	176.104	203.327	169.598	170.769	190.960	228.120	154.362	228.683	215.408	164.853	235.528	153.014	163.379	276.327	127.700	153.640	305.735	117.733	145.187	327.621	111.001	137.580	257.457	170.633	171.034	307.978	161.331	162.872	354.005	160.865	151.887	375.787	153.845	144.099	395.647	154.549	137.720	305.532	182.544	162.108	356.334	179.699	152.083	382.518	176.199	143.302	403.622	174.693	141.601	302.037	200.287	158.359	0.000	0.000	0.000	374.150	196.404	143.220	393.413	193.217	141.850	260.490	207.603	157.308	290.676	214.255	153.235	326.093	223.016	145.417	347.082	224.501	142.358	362.793	226.825	141.635
14750	245.81667	130.574	-55.876	341.110	156.603	-47.545	364.486	161.095	-84.531	310.759	180.757	-83.603	346.215	187.371	-25.527	370.330	189.543	7.323	392.021	208.905	26.789	401.924	224.675	46.774	408.609	172.947	-45.338	391.098	188.501	-43.866	438.454	214.395	-19.642	472.244	231.539	-2.391	485.887	243.954	7.828	495.744	199.379	-56.817	424.485	210.771	-60.928	473.767	223.670	-57.943	503.170	230.060	-57.057	522.097	213.097	-70.966	414.061	224.788	-79.612	456.550	234.415	-79.324	483.440	236.925	-83.915	501.400	201.578	-71.861	376.876	227.852	-78.109	400.991	238.121	-90.078	427.854	245.600	-98.342	443.985	251.725	-106.231	462.521	171.579	189.271	176.113	203.338	169.611	170.776	190.961	228.133	154.345	228.684	215.439	164.852	235.529	153.042	163.393	276.346	127.709	153.673	305.752	117.760	145.191	327.622	111.019	137.582	257.457	170.646	171.034	307.982	161.360	162.873	354.012	160.877	151.893	375.788	153.865	144.102	395.642	154.569	137.714	305.536	182.571	162.097	356.336	179.722	152.083	382.537	176.214	143.314	403.621	174.686	141.585	302.054	200.310	158.358	0.000	0.000	0.000	374.156	196.410	143.227	393.421	193.226	141.856	260.503	207.623	157.303	290.682	214.271	153.240	326.086	223.033	145.418	347.088	224.498	142.369	362.797	226.835	141.640
14751	245.83333	129.968	-56.134	341.649	155.911	-47.817	365.142	161.153	-83.420	310.509	181.051	-82.693	345.811	185.320	-25.818	372.442	187.492	7.032	394.133	206.705	26.774	404.415	223.047	46.295	411.959	172.185	-45.925	391.607	187.824	-45.481	439.078	213.499	-20.541	472.947	230.936	-1.613	485.177	243.655	9.846	493.336	199.069	-57.628	424.654	211.499	-62.654	473.848	224.914	-58.978	502.643	232.749	-57.568	521.654	213.517	-70.801	413.764	226.124	-79.833	455.943	236.090	-79.848	482.837	239.032	-84.666	500.603	201.829	-70.928	376.559	228.481	-76.880	400.520	239.924	-88.976	426.758	247.598	-98.095	442.901	254.764	-105.676	460.771	171.576	189.277	176.102	203.332	169.617	170.768	190.959	228.132	154.353	228.687	215.442	164.844	235.527	153.049	163.389	276.343	127.733	153.660	305.749	117.774	145.205	327.619	111.025	137.576	257.438	170.657	171.027	307.988	161.371	162.868	354.012	160.896	151.882	375.794	153.871	144.100	395.644	154.569	137.720	305.542	182.571	162.111	356.343	179.726	152.087	382.535	176.220	143.313	403.608	174.685	141.566	302.042	200.322	158.357	0.000	0.000	0.000	374.152	196.416	143.214	393.418	193.222	141.862	260.483	207.638	157.297	290.684	214.283	153.240	326.086	223.039	145.427	347.083	224.507	142.368	362.797	226.840	141.643
14752	245.85000	129.437	-56.307	342.013	155.199	-47.994	365.521	161.259	-82.340	310.298	181.376	-81.498	345.408	183.165	-25.907	373.942	185.337	6.943	395.633	204.502	26.914	406.441	221.210	46.062	414.670	170.879	-47.344	392.350	187.029	-46.902	439.289	212.007	-21.955	473.978	229.184	-1.783	485.752	241.986	10.760	492.474	198.651	-58.183	424.755	211.781	-64.283	473.702	226.237	-59.669	502.764	234.323	-57.944	521.268	214.009	-69.955	413.364	227.060	-79.519	455.613	237.144	-79.620	482.437	240.296	-84.563	500.067	201.882	-70.079	376.298	228.913	-75.557	400.021	241.095	-87.831	425.997	249.530	-96.458	441.518	256.870	-104.691	459.406	171.580	189.294	176.096	203.341	169.640	170.763	190.957	228.147	154.321	228.672	215.456	164.822	235.525	153.062	163.366	276.348	127.745	153.652	305.751	117.777	145.205	327.637	111.030	137.597	257.444	170.683	171.009	307.987	161.380	162.862	354.015	160.899	151.892	375.793	153.871	144.107	395.655	154.575	137.726	305.543	182.584	162.084	356.335	179.736	152.081	382.531	176.222	143.312	403.606	174.692	141.580	302.039	200.336	158.337	0.000	0.000	0.000	374.147	196.417	143.219	393.414	193.235	141.848	260.497	207.652	157.295	290.677	214.301	153.223	326.091	223.047	145.419	347.095	224.520	142.369	362.805	226.845	141.642
14753	245.86667	128.976	-56.480	342.329	154.544	-48.292	365.958	161.326	-81.315	310.086	181.593	-80.385	345.018	181.181	-26.116	375.449	183.352	6.734	397.140	202.122	26.915	408.282	218.957	45.992	417.055	170.104	-47.889	392.791	186.416	-48.091	439.664	210.984	-22.673	474.638	228.039	-1.095	485.341	240.556	12.457	490.676	198.320	-58.550	424.888	211.786	-65.235	474.229	226.697	-59.155	502.835	235.277	-56.763	521.068	214.280	-69.394	413.286	227.925	-78.606	455.621	238.169	-78.540	482.234	241.577	-83.357	499.907	202.047	-69.093	376.163	229.284	-74.133	399.779	242.196	-86.196	425.510	251.032	-94.702	440.904	258.751	-102.917	458.712	171.569	189.292	176.091	203.329	169.648	170.751	190.948	228.156	154.327	228.676	215.463	164.805	235.528	153.076	163.371	276.345	127.753	153.656	305.758	117.791	145.214	327.626	111.040	137.603	257.443	170.684	171.001	307.981	161.395	162.860	354.011	160.920	151.891	375.790	153.898	144.099	395.649	154.580	137.724	305.531	182.595	162.097	356.332	179.741	152.079	382.517	176.233	143.289	403.624	174.711	141.608	302.036	200.348	158.321	0.000	0.000	0.000	374.146	196.419	143.210	393.412	193.237	141.859	260.499	207.668	157.279	290.678	214.314	153.218	326.085	223.054	145.402	347.097	224.519	142.363	362.802	226.854	141.639
14754	245.88333	128.576	-56.645	342.569	153.828	-48.542	366.474	161.269	-80.384	310.076	181.669	-79.292	344.899	179.405	-26.308	376.895	181.576	6.542	398.586	200.152	26.960	409.971	216.974	45.907	419.013	169.362	-48.112	393.433	185.845	-48.927	440.290	210.574	-22.428	474.785	227.287	0.567	484.009	239.383	15.067	487.545	198.033	-58.652	425.206	212.192	-64.764	474.643	227.590	-57.058	502.873	236.699	-53.725	520.783	214.478	-68.683	413.467	228.892	-76.677	455.948	239.368	-76.572	482.340	243.146	-80.200	499.620	202.001	-68.218	376.284	229.624	-72.570	399.849	243.375	-84.160	425.400	252.535	-92.463	440.695	260.924	-100.334	458.317	171.571	189.301	176.081	203.336	169.654	170.740	190.939	228.166	154.324	228.664	215.479	164.778	235.523	153.086	163.354	276.338	127.765	153.648	305.749	117.807	145.215	327.615	111.045	137.607	257.443	170.706	170.995	307.982	161.415	162.858	354.006	160.929	151.882	375.778	153.906	144.095	395.647	154.590	137.726	305.536	182.605	162.082	356.332	179.768	152.062	382.526	176.242	143.306	403.611	174.706	141.582	302.034	200.357	158.320	0.000	0.000	0.000	374.146	196.420	143.226	393.411	193.238	141.851	260.487	207.683	157.266	290.673	214.334	153.213	326.085	223.065	145.414	347.088	224.523	142.363	362.799	226.861	141.640
14755	245.90000	128.053	-56.751	342.947	153.223	-48.580	367.005	161.163	-79.426	310.022	181.608	-78.160	344.764	177.106	-25.951	378.515	179.278	6.899	400.206	198.320	27.003	411.466	215.114	45.972	420.802	168.670	-48.342	393.947	185.486	-49.311	440.973	210.413	-21.429	474.558	226.507	3.016	481.869	238.070	18.322	483.648	197.798	-58.486	425.607	212.863	-63.838	475.169	228.849	-54.434	502.682	238.424	-49.908	520.202	214.667	-67.636	413.610	229.675	-74.822	456.281	240.277	-73.986	482.540	244.296	-78.155	500.060	201.903	-67.129	376.297	229.846	-70.969	399.916	244.354	-81.801	425.480	253.843	-89.741	440.801	262.713	-97.325	458.169	171.567	189.300	176.082	203.333	169.674	170.738	190.933	228.178	154.309	228.664	215.490	164.763	235.521	153.097	163.349	276.341	127.780	153.653	305.750	117.814	145.211	327.622	111.055	137.609	257.432	170.726	170.970	307.982	161.429	162.849	353.997	160.944	151.874	375.783	153.911	144.092	395.640	154.602	137.724	305.526	182.622	162.077	356.329	179.784	152.073	382.526	176.251	143.311	403.597	174.705	141.587	302.029	200.361	158.307	0.000	0.000	0.000	374.139	196.433	143.223	393.410	193.245	141.870	260.481	207.702	157.238	290.680	214.343	153.211	326.090	223.071	145.417	347.088	224.536	142.376	362.805	226.862	141.648
