NO_OF_FRAMES	1698
NO_OF_CAMERAS	8
NO_OF_MARKERS	52
FREQUENCY	60
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2020-12-18, 12:17:30	9665.39676257
DATA_INCLUDED	3D
MARKER_NAMES	R_FAR	R_WRR	R_FAU	R_WRU	R_CMC	R_MCP1	R_IP	R_FT1	R_CMC2	R_MCP2	R_PIP2	R_DIP2	R_FT2	R_MCP3	R_PIP3	R_DIP3	R_FT3	R_MCP4	R_PIP4	R_DIP4	R_FT4	R_CMC5	R_MCP5	R_PIP5	R_DIP5	R_FT5	L_FAR	L_WRR	L_FAU	L_WRU	L_CMC1	L_MCP1	L_IP	L_FT1	L_CMC2	L_MCP2	L_PIP2	L_DIP2	L_FT2	L_MCP3	L_PIP3	L_DIP3	L_FT3	L_MCP4	L_PIP4	L_DIP4	L_FT4	L_CMC5	L_MCP5	L_PIP5	L_DIP5	L_FT5
Frame	Time	R_FAR X	R_FAR Y	R_FAR Z	R_WRR X	R_WRR Y	R_WRR Z	R_FAU X	R_FAU Y	R_FAU Z	R_WRU X	R_WRU Y	R_WRU Z	R_CMC X	R_CMC Y	R_CMC Z	R_MCP1 X	R_MCP1 Y	R_MCP1 Z	R_IP X	R_IP Y	R_IP Z	R_FT1 X	R_FT1 Y	R_FT1 Z	R_CMC2 X	R_CMC2 Y	R_CMC2 Z	R_MCP2 X	R_MCP2 Y	R_MCP2 Z	R_PIP2 X	R_PIP2 Y	R_PIP2 Z	R_DIP2 X	R_DIP2 Y	R_DIP2 Z	R_FT2 X	R_FT2 Y	R_FT2 Z	R_MCP3 X	R_MCP3 Y	R_MCP3 Z	R_PIP3 X	R_PIP3 Y	R_PIP3 Z	R_DIP3 X	R_DIP3 Y	R_DIP3 Z	R_FT3 X	R_FT3 Y	R_FT3 Z	R_MCP4 X	R_MCP4 Y	R_MCP4 Z	R_PIP4 X	R_PIP4 Y	R_PIP4 Z	R_DIP4 X	R_DIP4 Y	R_DIP4 Z	R_FT4 X	R_FT4 Y	R_FT4 Z	R_CMC5 X	R_CMC5 Y	R_CMC5 Z	R_MCP5 X	R_MCP5 Y	R_MCP5 Z	R_PIP5 X	R_PIP5 Y	R_PIP5 Z	R_DIP5 X	R_DIP5 Y	R_DIP5 Z	R_FT5 X	R_FT5 Y	R_FT5 Z	L_FAR X	L_FAR Y	L_FAR Z	L_WRR X	L_WRR Y	L_WRR Z	L_FAU X	L_FAU Y	L_FAU Z	L_WRU X	L_WRU Y	L_WRU Z	L_CMC1 X	L_CMC1 Y	L_CMC1 Z	L_MCP1 X	L_MCP1 Y	L_MCP1 Z	L_IP X	L_IP Y	L_IP Z	L_FT1 X	L_FT1 Y	L_FT1 Z	L_CMC2 X	L_CMC2 Y	L_CMC2 Z	L_MCP2 X	L_MCP2 Y	L_MCP2 Z	L_PIP2 X	L_PIP2 Y	L_PIP2 Z	L_DIP2 X	L_DIP2 Y	L_DIP2 Z	L_FT2 X	L_FT2 Y	L_FT2 Z	L_MCP3 X	L_MCP3 Y	L_MCP3 Z	L_PIP3 X	L_PIP3 Y	L_PIP3 Z	L_DIP3 X	L_DIP3 Y	L_DIP3 Z	L_FT3 X	L_FT3 Y	L_FT3 Z	L_MCP4 X	L_MCP4 Y	L_MCP4 Z	L_PIP4 X	L_PIP4 Y	L_PIP4 Z	L_DIP4 X	L_DIP4 Y	L_DIP4 Z	L_FT4 X	L_FT4 Y	L_FT4 Z	L_CMC5 X	L_CMC5 Y	L_CMC5 Z	L_MCP5 X	L_MCP5 Y	L_MCP5 Z	L_PIP5 X	L_PIP5 Y	L_PIP5 Z	L_DIP5 X	L_DIP5 Y	L_DIP5 Z	L_FT5 X	L_FT5 Y	L_FT5 Z	
3334	55.55000	182.346	-88.281	170.541	224.934	-85.552	166.201	178.301	-131.059	142.585	213.551	-129.490	154.929	249.291	-62.018	148.406	290.350	-60.757	146.655	319.058	-68.327	141.321	343.986	-73.618	132.475	263.634	-92.331	159.839	312.180	-101.953	150.388	354.647	-108.694	140.040	378.925	-113.714	136.080	396.260	-120.789	134.937	300.532	-116.900	150.716	350.927	-126.108	140.424	378.783	-131.964	135.203	397.867	-137.507	136.796	291.225	-135.200	146.968	336.955	-142.054	140.058	362.802	-145.888	133.944	380.602	-148.601	134.590	249.434	-128.376	148.665	279.062	-151.708	141.406	311.713	-157.343	135.532	328.677	-162.199	134.298	348.996	-165.867	132.828	178.277	185.546	174.077	210.588	165.964	168.390	197.103	224.812	152.285	235.058	211.804	162.116	243.429	149.330	161.240	285.096	124.742	153.724	314.815	115.452	145.444	336.955	109.023	138.006	264.611	167.772	169.373	315.643	159.570	162.853	361.959	160.185	152.083	383.965	153.816	144.244	403.821	155.075	137.864	312.618	181.098	162.115	363.713	179.108	152.374	390.011	176.218	143.468	411.103	175.271	141.847	308.515	198.830	157.827	0.000	0.000	0.000	381.076	197.062	143.389	400.430	194.491	142.021	266.498	204.980	155.549	296.641	212.793	152.913	331.851	223.112	145.562	352.807	225.465	142.514	368.457	228.477	141.805
3335	55.56667	182.356	-88.299	170.561	224.937	-85.561	166.216	178.289	-131.073	142.584	213.551	-129.497	154.921	249.297	-62.023	148.407	290.345	-60.760	146.659	319.055	-68.332	141.338	343.991	-73.615	132.495	263.635	-92.332	159.846	312.180	-101.964	150.387	354.646	-108.694	140.050	378.926	-113.706	136.077	396.261	-120.787	134.943	300.526	-116.915	150.712	350.933	-126.102	140.425	378.778	-131.962	135.199	397.879	-137.510	136.774	291.224	-135.189	146.980	336.954	-142.045	140.061	362.806	-145.884	133.959	380.601	-148.593	134.584	249.438	-128.387	148.666	279.070	-151.713	141.416	311.719	-157.339	135.547	328.682	-162.212	134.312	349.002	-165.874	132.847	178.269	185.531	174.090	210.609	165.949	168.405	197.107	224.802	152.293	235.068	211.799	162.137	243.440	149.320	161.249	285.106	124.722	153.725	314.819	115.445	145.439	336.959	109.024	138.008	264.613	167.754	169.374	315.661	159.555	162.870	361.959	160.182	152.087	383.966	153.813	144.245	403.824	155.068	137.865	312.632	181.085	162.126	363.706	179.098	152.375	390.015	176.214	143.480	411.113	175.265	141.858	308.524	198.816	157.849	0.000	0.000	0.000	381.084	197.063	143.373	400.431	194.482	142.025	266.508	204.968	155.576	296.643	212.783	152.922	331.862	223.098	145.565	352.813	225.465	142.527	368.455	228.473	141.806
3336	55.58333	182.358	-88.307	170.558	224.935	-85.564	166.215	178.306	-131.074	142.583	213.561	-129.503	154.919	249.311	-62.030	148.442	290.351	-60.753	146.662	319.063	-68.328	141.326	343.994	-73.618	132.504	263.640	-92.334	159.844	312.195	-101.946	150.401	354.660	-108.687	140.045	378.935	-113.704	136.092	396.269	-120.784	134.935	300.541	-116.898	150.725	350.938	-126.097	140.425	378.801	-131.955	135.218	397.883	-137.507	136.774	291.226	-135.196	146.980	336.956	-142.054	140.054	362.811	-145.888	133.962	380.604	-148.595	134.595	249.451	-128.384	148.672	279.079	-151.711	141.423	311.728	-157.339	135.532	328.688	-162.214	134.312	349.009	-165.874	132.843	178.280	185.518	174.102	210.600	165.939	168.397	197.112	224.804	152.299	235.069	211.780	162.129	243.440	149.311	161.237	285.107	124.716	153.723	314.833	115.438	145.440	336.966	109.016	138.018	264.615	167.742	169.387	315.657	159.555	162.862	361.958	160.177	152.091	383.974	153.803	144.243	403.826	155.064	137.859	312.620	181.084	162.117	363.722	179.098	152.369	390.016	176.217	143.480	411.121	175.268	141.855	308.530	198.798	157.847	0.000	0.000	0.000	381.081	197.065	143.387	400.444	194.482	142.020	266.512	204.961	155.566	296.649	212.769	152.936	331.876	223.093	145.569	352.782	225.471	142.531	368.467	228.478	141.813
3337	55.60000	182.366	-88.314	170.572	224.946	-85.565	166.208	178.315	-131.078	142.578	213.581	-129.498	154.931	249.309	-62.030	148.411	290.352	-60.735	146.644	319.065	-68.314	141.336	343.999	-73.607	132.493	263.651	-92.321	159.841	312.197	-101.950	150.383	354.655	-108.685	140.033	378.946	-113.696	136.092	396.268	-120.789	134.940	300.536	-116.901	150.714	350.951	-126.097	140.421	378.793	-131.960	135.208	397.876	-137.501	136.780	291.229	-135.198	146.974	336.972	-142.046	140.063	362.817	-145.887	133.959	380.601	-148.596	134.592	249.457	-128.380	148.676	279.085	-151.705	141.415	311.732	-157.342	135.540	328.679	-162.201	134.295	349.018	-165.877	132.831	178.289	185.517	174.089	210.604	165.940	168.390	197.113	224.792	152.278	235.065	211.783	162.117	243.436	149.311	161.239	285.100	124.716	153.727	314.827	115.436	145.434	336.976	109.012	138.003	264.611	167.743	169.376	315.651	159.569	162.847	361.963	160.184	152.082	383.972	153.811	144.242	403.833	155.059	137.870	312.626	181.079	162.114	363.712	179.096	152.373	390.017	176.214	143.483	411.102	175.265	141.834	308.523	198.808	157.849	0.000	0.000	0.000	381.088	197.065	143.376	400.445	194.497	142.026	266.506	204.970	155.556	296.656	212.769	152.939	331.869	223.091	145.553	352.798	225.474	142.536	368.463	228.470	141.801
3338	55.61667	182.375	-88.303	170.574	224.950	-85.564	166.208	178.321	-131.088	142.593	213.579	-129.490	154.914	249.306	-62.027	148.425	290.349	-60.731	146.652	319.072	-68.294	141.319	343.994	-73.599	132.491	263.656	-92.318	159.847	312.196	-101.944	150.376	354.657	-108.677	140.042	378.941	-113.698	136.090	396.262	-120.780	134.934	300.544	-116.897	150.720	350.949	-126.095	140.422	378.805	-131.956	135.205	397.888	-137.504	136.775	291.239	-135.186	146.977	336.963	-142.049	140.054	362.816	-145.886	133.957	380.617	-148.593	134.581	249.449	-128.382	148.666	279.090	-151.704	141.411	311.736	-157.338	135.543	328.685	-162.196	134.300	349.020	-165.873	132.833	178.293	185.535	174.069	210.599	165.943	168.382	197.111	224.798	152.269	235.063	211.788	162.097	243.437	149.313	161.225	285.102	124.719	153.706	314.819	115.436	145.423	336.970	109.011	137.998	264.621	167.753	169.353	315.651	159.569	162.838	361.958	160.181	152.081	383.969	153.807	144.231	403.834	155.074	137.855	312.625	181.092	162.115	363.709	179.112	152.361	390.013	176.216	143.467	411.106	175.273	141.838	308.521	198.811	157.830	0.000	0.000	0.000	381.078	197.073	143.374	400.442	194.493	142.023	266.497	204.969	155.539	296.649	212.773	152.935	331.863	223.108	145.565	352.814	225.473	142.520	368.460	228.486	141.803
3339	55.63333	182.368	-88.304	170.567	224.940	-85.563	166.207	178.316	-131.095	142.583	213.583	-129.502	154.918	249.313	-62.018	148.415	290.352	-60.735	146.637	319.059	-68.300	141.340	343.992	-73.612	132.479	263.643	-92.318	159.857	312.205	-101.926	150.396	354.660	-108.666	140.031	378.946	-113.690	136.084	396.271	-120.770	134.932	300.550	-116.889	150.730	350.944	-126.091	140.413	378.803	-131.961	135.193	397.890	-137.499	136.784	291.234	-135.189	146.956	336.971	-142.043	140.051	362.809	-145.881	133.938	380.619	-148.582	134.583	249.450	-128.377	148.673	279.081	-151.702	141.414	311.737	-157.332	135.535	328.695	-162.194	134.310	349.017	-165.869	132.826	178.292	185.530	174.071	210.610	165.943	168.372	197.110	224.804	152.261	235.057	211.787	162.083	243.429	149.309	161.212	285.099	124.704	153.704	314.828	115.437	145.433	336.979	109.022	137.997	264.615	167.741	169.348	315.648	159.562	162.838	361.956	160.175	152.071	383.966	153.811	144.242	403.839	155.075	137.862	312.616	181.086	162.088	363.720	179.111	152.356	390.016	176.222	143.469	411.120	175.273	141.843	308.527	198.808	157.828	0.000	0.000	0.000	381.080	197.066	143.381	400.448	194.500	142.024	266.505	204.972	155.548	296.645	212.772	152.936	331.861	223.107	145.558	352.809	225.480	142.518	368.462	228.490	141.801
3340	55.65000	182.375	-88.321	170.578	224.952	-85.567	166.222	178.317	-131.087	142.579	213.575	-129.503	154.925	249.310	-62.025	148.430	290.355	-60.751	146.655	319.065	-68.312	141.323	343.992	-73.611	132.488	263.652	-92.326	159.848	312.206	-101.943	150.389	354.662	-108.673	140.036	378.951	-113.692	136.087	396.275	-120.781	134.939	300.558	-116.890	150.734	350.957	-126.092	140.420	378.811	-131.955	135.215	397.903	-137.493	136.777	291.242	-135.183	146.979	336.964	-142.044	140.050	362.829	-145.881	133.955	380.629	-148.581	134.589	249.458	-128.384	148.663	279.084	-151.702	141.417	311.737	-157.331	135.534	328.699	-162.182	134.307	349.019	-165.868	132.831	178.297	185.534	174.070	210.608	165.937	168.358	197.117	224.802	152.256	235.072	211.775	162.080	243.433	149.302	161.203	285.102	124.708	153.715	314.836	115.427	145.434	336.980	109.010	138.017	264.617	167.738	169.354	315.652	159.555	162.833	361.966	160.181	152.080	383.980	153.812	144.236	403.836	155.066	137.856	312.625	181.080	162.101	363.725	179.108	152.365	390.017	176.219	143.471	411.134	175.277	141.842	308.523	198.805	157.837	0.000	0.000	0.000	381.085	197.076	143.372	400.445	194.494	142.017	266.503	204.971	155.527	296.645	212.766	152.928	331.868	223.099	145.573	352.810	225.478	142.538	368.464	228.493	141.808
3341	55.66667	182.376	-88.320	170.575	224.960	-85.559	166.224	178.322	-131.099	142.584	213.583	-129.508	154.921	249.299	-62.036	148.421	290.361	-60.746	146.657	319.071	-68.310	141.317	343.992	-73.604	132.468	263.649	-92.336	159.839	312.205	-101.942	150.372	354.663	-108.687	140.038	378.944	-113.696	136.097	396.274	-120.779	134.943	300.537	-116.895	150.705	350.953	-126.096	140.427	378.809	-131.964	135.206	397.895	-137.497	136.770	291.237	-135.191	146.978	336.979	-142.042	140.062	362.832	-145.881	133.958	380.622	-148.584	134.584	249.471	-128.387	148.672	279.085	-151.707	141.416	311.737	-157.332	135.541	328.697	-162.200	134.313	349.022	-165.866	132.836	178.315	185.523	174.054	210.617	165.925	168.358	197.120	224.799	152.248	235.068	211.769	162.063	243.437	149.298	161.191	285.104	124.698	153.697	314.831	115.415	145.425	336.985	109.000	137.986	264.619	167.733	169.343	315.654	159.555	162.829	361.966	160.184	152.073	383.982	153.811	144.232	403.836	155.066	137.855	312.632	181.075	162.092	363.730	179.086	152.360	390.020	176.208	143.480	411.131	175.274	141.841	308.521	198.799	157.828	0.000	0.000	0.000	381.099	197.068	143.377	400.453	194.497	142.026	266.493	204.965	155.522	296.659	212.748	152.938	331.880	223.100	145.552	352.819	225.471	142.514	368.473	228.490	141.801
3342	55.68333	182.366	-88.321	170.560	224.955	-85.567	166.225	178.322	-131.083	142.567	213.577	-129.508	154.913	249.297	-62.034	148.426	290.358	-60.753	146.656	319.068	-68.310	141.321	344.001	-73.601	132.478	263.654	-92.324	159.848	312.197	-101.934	150.397	354.656	-108.678	140.026	378.953	-113.693	136.091	396.290	-120.777	134.926	300.553	-116.887	150.726	350.965	-126.080	140.407	378.810	-131.953	135.205	397.892	-137.497	136.770	291.227	-135.182	146.967	336.966	-142.038	140.054	362.825	-145.890	133.935	380.626	-148.590	134.577	249.448	-128.382	148.667	279.080	-151.709	141.403	311.729	-157.335	135.530	328.692	-162.192	134.305	349.032	-165.868	132.830	178.311	185.523	174.057	210.607	165.917	168.335	197.127	224.788	152.238	235.065	211.767	162.052	243.436	149.297	161.194	285.112	124.679	153.676	314.834	115.408	145.414	336.998	109.009	137.986	264.619	167.726	169.342	315.660	159.544	162.826	361.968	160.172	152.074	383.985	153.802	144.231	403.845	155.062	137.846	312.624	181.068	162.094	363.721	179.097	152.355	390.026	176.212	143.470	411.128	175.264	141.849	308.532	198.795	157.828	0.000	0.000	0.000	381.078	197.071	143.379	400.451	194.494	142.025	266.505	204.960	155.512	296.662	212.754	152.931	331.872	223.098	145.575	352.814	225.471	142.521	368.474	228.502	141.796
3343	55.70000	182.372	-88.306	170.576	224.955	-85.561	166.218	178.322	-131.080	142.583	213.570	-129.501	154.899	249.300	-62.021	148.401	290.352	-60.731	146.637	319.069	-68.301	141.322	343.995	-73.612	132.467	263.645	-92.314	159.848	312.196	-101.930	150.408	354.657	-108.671	140.037	378.947	-113.678	136.087	396.276	-120.770	134.930	300.553	-116.879	150.726	350.952	-126.081	140.418	378.810	-131.949	135.214	397.895	-137.501	136.768	291.230	-135.176	146.972	336.969	-142.036	140.062	362.816	-145.883	133.940	380.617	-148.582	134.585	249.456	-128.382	148.673	279.078	-151.697	141.414	311.737	-157.319	135.540	328.691	-162.187	134.296	349.022	-165.870	132.827	178.309	185.517	174.049	210.617	165.920	168.330	197.124	224.789	152.229	235.060	211.766	162.049	243.437	149.296	161.183	285.116	124.669	153.676	314.829	115.409	145.417	336.999	109.010	137.985	264.619	167.720	169.326	315.665	159.546	162.816	361.959	160.174	152.066	383.983	153.806	144.225	403.842	155.072	137.847	312.631	181.074	162.086	363.732	179.102	152.358	390.024	176.219	143.469	411.133	175.275	141.833	308.523	198.789	157.831	0.000	0.000	0.000	381.101	197.071	143.382	400.462	194.490	142.018	266.496	204.960	155.509	296.643	212.753	152.928	331.872	223.103	145.562	352.803	225.489	142.534	368.469	228.497	141.797
