NO_OF_FRAMES	761
NO_OF_CAMERAS	8
NO_OF_MARKERS	52
FREQUENCY	60
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2020-12-18, 12:17:30	9665.39676257
DATA_INCLUDED	3D
MARKER_NAMES	R_FAR	R_WRR	R_FAU	R_WRU	R_CMC	R_MCP1	R_IP	R_FT1	R_CMC2	R_MCP2	R_PIP2	R_DIP2	R_FT2	R_MCP3	R_PIP3	R_DIP3	R_FT3	R_MCP4	R_PIP4	R_DIP4	R_FT4	R_CMC5	R_MCP5	R_PIP5	R_DIP5	R_FT5	L_FAR	L_WRR	L_FAU	L_WRU	L_CMC1	L_MCP1	L_IP	L_FT1	L_CMC2	L_MCP2	L_PIP2	L_DIP2	L_FT2	L_MCP3	L_PIP3	L_DIP3	L_FT3	L_MCP4	L_PIP4	L_DIP4	L_FT4	L_CMC5	L_MCP5	L_PIP5	L_DIP5	L_FT5
Frame	Time	R_FAR X	R_FAR Y	R_FAR Z	R_WRR X	R_WRR Y	R_WRR Z	R_FAU X	R_FAU Y	R_FAU Z	R_WRU X	R_WRU Y	R_WRU Z	R_CMC X	R_CMC Y	R_CMC Z	R_MCP1 X	R_MCP1 Y	R_MCP1 Z	R_IP X	R_IP Y	R_IP Z	R_FT1 X	R_FT1 Y	R_FT1 Z	R_CMC2 X	R_CMC2 Y	R_CMC2 Z	R_MCP2 X	R_MCP2 Y	R_MCP2 Z	R_PIP2 X	R_PIP2 Y	R_PIP2 Z	R_DIP2 X	R_DIP2 Y	R_DIP2 Z	R_FT2 X	R_FT2 Y	R_FT2 Z	R_MCP3 X	R_MCP3 Y	R_MCP3 Z	R_PIP3 X	R_PIP3 Y	R_PIP3 Z	R_DIP3 X	R_DIP3 Y	R_DIP3 Z	R_FT3 X	R_FT3 Y	R_FT3 Z	R_MCP4 X	R_MCP4 Y	R_MCP4 Z	R_PIP4 X	R_PIP4 Y	R_PIP4 Z	R_DIP4 X	R_DIP4 Y	R_DIP4 Z	R_FT4 X	R_FT4 Y	R_FT4 Z	R_CMC5 X	R_CMC5 Y	R_CMC5 Z	R_MCP5 X	R_MCP5 Y	R_MCP5 Z	R_PIP5 X	R_PIP5 Y	R_PIP5 Z	R_DIP5 X	R_DIP5 Y	R_DIP5 Z	R_FT5 X	R_FT5 Y	R_FT5 Z	L_FAR X	L_FAR Y	L_FAR Z	L_WRR X	L_WRR Y	L_WRR Z	L_FAU X	L_FAU Y	L_FAU Z	L_WRU X	L_WRU Y	L_WRU Z	L_CMC1 X	L_CMC1 Y	L_CMC1 Z	L_MCP1 X	L_MCP1 Y	L_MCP1 Z	L_IP X	L_IP Y	L_IP Z	L_FT1 X	L_FT1 Y	L_FT1 Z	L_CMC2 X	L_CMC2 Y	L_CMC2 Z	L_MCP2 X	L_MCP2 Y	L_MCP2 Z	L_PIP2 X	L_PIP2 Y	L_PIP2 Z	L_DIP2 X	L_DIP2 Y	L_DIP2 Z	L_FT2 X	L_FT2 Y	L_FT2 Z	L_MCP3 X	L_MCP3 Y	L_MCP3 Z	L_PIP3 X	L_PIP3 Y	L_PIP3 Z	L_DIP3 X	L_DIP3 Y	L_DIP3 Z	L_FT3 X	L_FT3 Y	L_FT3 Z	L_MCP4 X	L_MCP4 Y	L_MCP4 Z	L_PIP4 X	L_PIP4 Y	L_PIP4 Z	L_DIP4 X	L_DIP4 Y	L_DIP4 Z	L_FT4 X	L_FT4 Y	L_FT4 Z	L_CMC5 X	L_CMC5 Y	L_CMC5 Z	L_MCP5 X	L_MCP5 Y	L_MCP5 Z	L_PIP5 X	L_PIP5 Y	L_PIP5 Z	L_DIP5 X	L_DIP5 Y	L_DIP5 Z	L_FT5 X	L_FT5 Y	L_FT5 Z	
11259	187.63333	180.530	-54.940	174.730	221.641	-49.455	167.372	176.947	-96.538	144.975	212.817	-94.039	157.735	240.609	-24.121	148.219	280.331	-13.563	147.410	310.185	-16.954	141.223	335.581	-15.510	134.091	259.948	-52.540	158.854	308.714	-57.436	148.913	353.262	-59.632	142.138	378.683	-61.394	136.533	396.712	-65.617	134.417	298.683	-73.892	149.451	350.499	-79.388	143.251	379.949	-83.610	136.059	399.524	-87.250	135.423	291.148	-93.459	146.605	337.466	-98.176	141.688	364.545	-100.456	134.983	382.640	-101.821	134.684	249.236	-89.814	149.490	280.370	-110.708	142.294	312.302	-118.630	136.357	329.628	-124.914	134.491	349.655	-129.340	132.604	174.129	187.790	175.418	205.851	167.621	170.013	193.648	226.655	153.778	231.229	213.539	164.128	238.206	151.038	162.552	279.200	125.852	153.314	308.741	116.041	144.838	330.856	109.479	137.252	260.077	168.848	170.452	310.756	159.929	162.676	356.821	160.008	151.871	378.768	153.377	144.051	398.611	154.451	137.628	308.076	181.363	161.981	359.002	179.020	152.204	385.312	175.862	143.352	406.387	174.655	141.595	304.375	199.197	158.145	0.000	0.000	0.000	376.742	196.483	143.197	396.026	193.571	141.765	262.850	206.050	156.897	292.886	213.265	153.220	328.259	222.655	145.553	349.160	224.349	142.418	364.869	226.863	141.655
11260	187.65000	180.546	-54.935	174.743	221.638	-49.449	167.404	176.936	-96.532	144.985	212.809	-94.031	157.744	240.606	-24.108	148.216	280.338	-13.548	147.412	310.180	-16.953	141.210	335.579	-15.499	134.103	259.954	-52.532	158.846	308.722	-57.423	148.898	353.271	-59.629	142.112	378.681	-61.389	136.530	396.711	-65.618	134.427	298.689	-73.881	149.453	350.497	-79.379	143.248	379.951	-83.605	136.064	399.523	-87.245	135.434	291.154	-93.447	146.590	337.476	-98.160	141.693	364.552	-100.445	134.983	382.640	-101.822	134.690	249.236	-89.808	149.477	280.369	-110.698	142.289	312.313	-118.621	136.356	329.618	-124.913	134.495	349.645	-129.346	132.617	174.124	187.796	175.418	205.839	167.626	169.998	193.640	226.653	153.773	231.226	213.551	164.124	238.202	151.036	162.542	279.202	125.860	153.310	308.744	116.040	144.843	330.858	109.476	137.247	260.073	168.857	170.458	310.758	159.931	162.663	356.813	160.027	151.883	378.763	153.379	144.042	398.597	154.464	137.620	308.084	181.381	161.971	359.000	179.013	152.191	385.309	175.860	143.358	406.405	174.651	141.592	304.374	199.191	158.156	0.000	0.000	0.000	376.751	196.496	143.208	396.034	193.577	141.778	262.852	206.068	156.901	292.886	213.264	153.237	328.257	222.649	145.553	349.177	224.362	142.429	364.868	226.879	141.658
11261	187.66667	180.553	-54.919	174.762	221.648	-49.435	167.399	176.948	-96.530	145.005	212.822	-94.016	157.750	240.611	-24.102	148.226	280.340	-13.529	147.419	310.182	-16.928	141.220	335.581	-15.491	134.101	259.954	-52.519	158.847	308.728	-57.416	148.898	353.276	-59.629	142.117	378.676	-61.385	136.540	396.711	-65.621	134.432	298.681	-73.881	149.461	350.502	-79.369	143.242	379.943	-83.604	136.059	399.522	-87.244	135.428	291.149	-93.455	146.601	337.479	-98.159	141.704	364.556	-100.437	134.977	382.632	-101.811	134.683	249.253	-89.798	149.490	280.380	-110.705	142.285	312.302	-118.615	136.357	329.624	-124.897	134.500	349.647	-129.329	132.628	174.143	187.814	175.413	205.888	167.658	170.055	193.642	226.667	153.778	231.233	213.555	164.122	238.206	151.037	162.547	279.205	125.864	153.309	308.749	116.043	144.852	330.862	109.485	137.253	260.076	168.857	170.468	310.756	159.928	162.679	356.814	160.020	151.879	378.773	153.376	144.053	398.610	154.461	137.632	308.072	181.371	161.970	359.002	179.008	152.183	385.308	175.863	143.357	406.404	174.660	141.610	304.371	199.194	158.149	0.000	0.000	0.000	376.752	196.497	143.200	396.040	193.580	141.761	262.858	206.061	156.897	292.895	213.266	153.255	328.261	222.655	145.548	349.172	224.366	142.424	364.875	226.882	141.653
11262	187.68333	180.548	-54.909	174.770	221.653	-49.432	167.414	176.952	-96.520	145.005	212.819	-94.016	157.760	240.615	-24.104	148.225	280.339	-13.525	147.411	310.197	-16.931	141.224	335.585	-15.488	134.098	259.960	-52.512	158.851	308.726	-57.411	148.900	353.267	-59.618	142.108	378.689	-61.384	136.548	396.713	-65.611	134.427	298.689	-73.883	149.461	350.506	-79.380	143.257	379.952	-83.591	136.063	399.527	-87.235	135.436	291.151	-93.447	146.607	337.481	-98.155	141.693	364.553	-100.435	134.981	382.626	-101.800	134.686	249.231	-89.794	149.496	280.383	-110.703	142.291	312.307	-118.608	136.345	329.626	-124.891	134.492	349.654	-129.320	132.617	174.147	187.815	175.423	205.891	167.660	170.062	193.661	226.670	153.772	231.238	213.571	164.134	238.216	151.045	162.561	279.201	125.868	153.315	308.743	116.042	144.856	330.871	109.479	137.262	260.072	168.861	170.462	310.765	159.932	162.677	356.818	160.015	151.883	378.771	153.382	144.051	398.607	154.459	137.636	308.081	181.380	161.983	359.011	179.008	152.210	385.314	175.864	143.360	406.396	174.662	141.599	304.385	199.203	158.146	0.000	0.000	0.000	376.746	196.494	143.205	396.026	193.568	141.773	262.861	206.066	156.905	292.888	213.264	153.222	328.261	222.663	145.559	349.177	224.369	142.417	364.876	226.875	141.662
11263	187.70000	180.553	-54.916	174.770	221.643	-49.426	167.410	176.943	-96.519	145.007	212.824	-94.015	157.749	240.613	-24.108	148.224	280.326	-13.534	147.405	310.179	-16.942	141.222	335.578	-15.476	134.095	259.948	-52.521	158.849	308.711	-57.425	148.903	353.265	-59.622	142.124	378.678	-61.388	136.540	396.717	-65.609	134.433	298.690	-73.894	149.459	350.508	-79.367	143.256	379.937	-83.597	136.066	399.523	-87.230	135.437	291.149	-93.454	146.606	337.485	-98.161	141.692	364.536	-100.435	134.977	382.630	-101.798	134.689	249.239	-89.805	149.502	280.372	-110.698	142.287	312.312	-118.609	136.363	329.626	-124.890	134.506	349.644	-129.315	132.634	174.145	187.817	175.435	205.886	167.659	170.058	193.655	226.670	153.769	231.248	213.565	164.130	238.207	151.038	162.560	279.203	125.862	153.318	308.741	116.053	144.845	330.863	109.483	137.256	260.078	168.863	170.474	310.763	159.923	162.672	356.821	160.022	151.870	378.769	153.372	144.051	398.602	154.465	137.625	308.082	181.377	161.973	359.007	179.010	152.199	385.307	175.856	143.359	406.399	174.668	141.613	304.379	199.198	158.157	0.000	0.000	0.000	376.757	196.502	143.202	396.043	193.580	141.775	262.852	206.058	156.908	292.901	213.266	153.235	328.253	222.667	145.551	349.174	224.365	142.433	364.862	226.878	141.654
11264	187.71667	180.542	-54.922	174.755	221.641	-49.439	167.396	176.938	-96.535	145.010	212.833	-94.023	157.768	240.611	-24.109	148.222	280.333	-13.538	147.412	310.176	-16.944	141.211	335.575	-15.501	134.101	259.946	-52.512	158.849	308.715	-57.418	148.902	353.249	-59.631	142.125	378.681	-61.384	136.540	396.705	-65.619	134.428	298.681	-73.897	149.457	350.492	-79.377	143.247	379.942	-83.599	136.050	399.521	-87.240	135.437	291.140	-93.442	146.596	337.474	-98.164	141.690	364.537	-100.443	134.983	382.618	-101.796	134.691	249.235	-89.809	149.498	280.384	-110.700	142.289	312.304	-118.611	136.354	329.614	-124.892	134.498	349.634	-129.323	132.623	174.145	187.811	175.434	205.890	167.664	170.061	193.667	226.664	153.772	231.233	213.553	164.119	238.213	151.047	162.565	279.203	125.862	153.312	308.753	116.029	144.847	330.873	109.477	137.242	260.082	168.852	170.475	310.755	159.918	162.678	356.811	160.021	151.894	378.764	153.358	144.061	398.609	154.449	137.621	308.080	181.370	161.976	359.012	179.000	152.184	385.324	175.856	143.367	406.409	174.666	141.595	304.391	199.200	158.163	0.000	0.000	0.000	376.760	196.491	143.199	396.038	193.573	141.773	262.861	206.055	156.902	292.891	213.252	153.227	328.261	222.655	145.551	349.171	224.362	142.417	364.870	226.875	141.657
11265	187.73333	180.545	-54.910	174.765	221.642	-49.434	167.399	176.945	-96.547	145.031	212.820	-94.025	157.775	240.598	-24.109	148.213	280.331	-13.550	147.404	310.169	-16.961	141.211	335.573	-15.503	134.108	259.949	-52.522	158.851	308.716	-57.420	148.918	353.257	-59.628	142.114	378.665	-61.385	136.533	396.708	-65.618	134.428	298.686	-73.883	149.465	350.498	-79.374	143.231	379.942	-83.600	136.064	399.510	-87.239	135.439	291.136	-93.457	146.600	337.474	-98.164	141.693	364.542	-100.436	134.981	382.624	-101.794	134.691	249.237	-89.810	149.495	280.375	-110.702	142.303	312.312	-118.612	136.352	329.614	-124.891	134.494	349.632	-129.317	132.616	174.140	187.812	175.425	205.887	167.665	170.063	193.660	226.658	153.778	231.237	213.550	164.139	238.213	151.025	162.560	279.206	125.852	153.314	308.752	116.024	144.847	330.869	109.469	137.241	260.078	168.845	170.479	310.764	159.904	162.677	356.815	160.009	151.875	378.776	153.368	144.052	398.606	154.437	137.622	308.085	181.359	161.986	359.002	178.990	152.191	385.317	175.848	143.355	406.405	174.648	141.589	304.386	199.191	158.159	0.000	0.000	0.000	376.750	196.491	143.206	396.041	193.568	141.771	262.865	206.047	156.907	292.891	213.252	153.235	328.252	222.652	145.553	349.182	224.361	142.421	364.871	226.868	141.655
11266	187.75000	180.548	-54.914	174.768	221.635	-49.433	167.401	176.929	-96.547	145.032	212.817	-94.017	157.769	240.597	-24.105	148.203	280.322	-13.550	147.400	310.181	-16.962	141.212	335.582	-15.503	134.110	259.953	-52.514	158.848	308.716	-57.416	148.912	353.250	-59.631	142.118	378.673	-61.393	136.536	396.691	-65.623	134.431	298.675	-73.896	149.453	350.488	-79.371	143.244	379.936	-83.601	136.061	399.508	-87.234	135.440	291.141	-93.449	146.606	337.473	-98.164	141.688	364.528	-100.426	134.986	382.632	-101.784	134.694	249.234	-89.807	149.505	280.376	-110.708	142.289	312.306	-118.613	136.350	329.606	-124.894	134.490	349.640	-129.320	132.611	174.141	187.807	175.445	205.895	167.655	170.077	193.661	226.658	153.773	231.243	213.547	164.143	238.197	151.026	162.553	279.205	125.842	153.316	308.749	116.023	144.853	330.854	109.459	137.245	260.083	168.846	170.501	310.769	159.911	162.681	356.820	160.007	151.887	378.768	153.347	144.049	398.606	154.442	137.627	308.086	181.355	161.993	358.999	178.981	152.193	385.319	175.844	143.368	406.414	174.654	141.595	304.393	199.186	158.162	0.000	0.000	0.000	376.755	196.481	143.209	396.040	193.569	141.764	262.863	206.034	156.908	292.897	213.236	153.239	328.247	222.652	145.554	349.177	224.355	142.412	364.873	226.872	141.650
11267	187.76667	180.548	-54.912	174.776	221.642	-49.429	167.400	176.945	-96.546	145.045	212.828	-94.027	157.776	240.601	-24.110	148.213	280.333	-13.538	147.409	310.174	-16.975	141.212	335.574	-15.507	134.099	259.943	-52.522	158.844	308.715	-57.426	148.895	353.255	-59.620	142.117	378.670	-61.381	136.530	396.698	-65.617	134.428	298.667	-73.894	149.463	350.505	-79.363	143.237	379.928	-83.601	136.058	399.508	-87.234	135.435	291.136	-93.456	146.609	337.481	-98.155	141.697	364.536	-100.432	134.989	382.623	-101.783	134.697	249.250	-89.806	149.519	280.351	-110.710	142.282	312.294	-118.618	136.357	329.617	-124.885	134.499	349.648	-129.309	132.619	174.146	187.814	175.434	205.903	167.658	170.077	193.678	226.662	153.786	231.246	213.550	164.142	238.207	151.023	162.571	279.208	125.844	153.327	308.752	116.024	144.838	330.860	109.462	137.242	260.084	168.834	170.490	310.765	159.898	162.679	356.806	160.005	151.893	378.762	153.356	144.042	398.616	154.443	137.622	308.091	181.366	161.990	359.015	178.987	152.200	385.309	175.839	143.356	406.413	174.646	141.595	304.399	199.185	158.163	0.000	0.000	0.000	376.749	196.490	143.205	396.040	193.567	141.771	262.866	206.038	156.915	292.889	213.242	153.234	328.259	222.644	145.545	349.181	224.362	142.424	364.882	226.873	141.651
11268	187.78333	180.556	-54.908	174.778	221.648	-49.419	167.413	176.957	-96.546	145.057	212.831	-94.015	157.787	240.607	-24.110	148.214	280.330	-13.533	147.410	310.178	-16.953	141.218	335.573	-15.513	134.110	259.946	-52.506	158.839	308.702	-57.417	148.904	353.255	-59.617	142.123	378.673	-61.391	136.541	396.693	-65.612	134.443	298.667	-73.879	149.451	350.491	-79.359	143.226	379.938	-83.583	136.068	399.513	-87.232	135.448	291.150	-93.440	146.612	337.481	-98.148	141.691	364.535	-100.417	134.989	382.621	-101.783	134.697	249.252	-89.800	149.519	280.364	-110.694	142.289	312.311	-118.590	136.365	329.616	-124.877	134.497	349.649	-129.303	132.633	174.151	187.810	175.436	205.885	167.653	170.072	193.677	226.653	153.790	231.258	213.543	164.146	238.209	151.021	162.576	279.200	125.842	153.326	308.753	116.018	144.855	330.869	109.461	137.253	260.083	168.828	170.476	310.769	159.906	162.694	356.816	159.998	151.911	378.767	153.356	144.053	398.612	154.447	137.627	308.080	181.352	161.986	359.011	178.992	152.221	385.324	175.851	143.369	406.412	174.650	141.587	304.388	199.184	158.161	0.000	0.000	0.000	376.759	196.486	143.206	396.044	193.573	141.777	262.868	206.037	156.919	292.904	213.239	153.244	328.259	222.646	145.555	349.177	224.356	142.421	364.886	226.878	141.642
