NO_OF_FRAMES	642
NO_OF_CAMERAS	8
NO_OF_MARKERS	52
FREQUENCY	60
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2020-12-18, 12:17:30	9665.39676257
DATA_INCLUDED	3D
MARKER_NAMES	R_FAR	R_WRR	R_FAU	R_WRU	R_CMC	R_MCP1	R_IP	R_FT1	R_CMC2	R_MCP2	R_PIP2	R_DIP2	R_FT2	R_MCP3	R_PIP3	R_DIP3	R_FT3	R_MCP4	R_PIP4	R_DIP4	R_FT4	R_CMC5	R_MCP5	R_PIP5	R_DIP5	R_FT5	L_FAR	L_WRR	L_FAU	L_WRU	L_CMC1	L_MCP1	L_IP	L_FT1	L_CMC2	L_MCP2	L_PIP2	L_DIP2	L_FT2	L_MCP3	L_PIP3	L_DIP3	L_FT3	L_MCP4	L_PIP4	L_DIP4	L_FT4	L_CMC5	L_MCP5	L_PIP5	L_DIP5	L_FT5
Frame	Time	R_FAR X	R_FAR Y	R_FAR Z	R_WRR X	R_WRR Y	R_WRR Z	R_FAU X	R_FAU Y	R_FAU Z	R_WRU X	R_WRU Y	R_WRU Z	R_CMC X	R_CMC Y	R_CMC Z	R_MCP1 X	R_MCP1 Y	R_MCP1 Z	R_IP X	R_IP Y	R_IP Z	R_FT1 X	R_FT1 Y	R_FT1 Z	R_CMC2 X	R_CMC2 Y	R_CMC2 Z	R_MCP2 X	R_MCP2 Y	R_MCP2 Z	R_PIP2 X	R_PIP2 Y	R_PIP2 Z	R_DIP2 X	R_DIP2 Y	R_DIP2 Z	R_FT2 X	R_FT2 Y	R_FT2 Z	R_MCP3 X	R_MCP3 Y	R_MCP3 Z	R_PIP3 X	R_PIP3 Y	R_PIP3 Z	R_DIP3 X	R_DIP3 Y	R_DIP3 Z	R_FT3 X	R_FT3 Y	R_FT3 Z	R_MCP4 X	R_MCP4 Y	R_MCP4 Z	R_PIP4 X	R_PIP4 Y	R_PIP4 Z	R_DIP4 X	R_DIP4 Y	R_DIP4 Z	R_FT4 X	R_FT4 Y	R_FT4 Z	R_CMC5 X	R_CMC5 Y	R_CMC5 Z	R_MCP5 X	R_MCP5 Y	R_MCP5 Z	R_PIP5 X	R_PIP5 Y	R_PIP5 Z	R_DIP5 X	R_DIP5 Y	R_DIP5 Z	R_FT5 X	R_FT5 Y	R_FT5 Z	L_FAR X	L_FAR Y	L_FAR Z	L_WRR X	L_WRR Y	L_WRR Z	L_FAU X	L_FAU Y	L_FAU Z	L_WRU X	L_WRU Y	L_WRU Z	L_CMC1 X	L_CMC1 Y	L_CMC1 Z	L_MCP1 X	L_MCP1 Y	L_MCP1 Z	L_IP X	L_IP Y	L_IP Z	L_FT1 X	L_FT1 Y	L_FT1 Z	L_CMC2 X	L_CMC2 Y	L_CMC2 Z	L_MCP2 X	L_MCP2 Y	L_MCP2 Z	L_PIP2 X	L_PIP2 Y	L_PIP2 Z	L_DIP2 X	L_DIP2 Y	L_DIP2 Z	L_FT2 X	L_FT2 Y	L_FT2 Z	L_MCP3 X	L_MCP3 Y	L_MCP3 Z	L_PIP3 X	L_PIP3 Y	L_PIP3 Z	L_DIP3 X	L_DIP3 Y	L_DIP3 Z	L_FT3 X	L_FT3 Y	L_FT3 Z	L_MCP4 X	L_MCP4 Y	L_MCP4 Z	L_PIP4 X	L_PIP4 Y	L_PIP4 Z	L_DIP4 X	L_DIP4 Y	L_DIP4 Z	L_FT4 X	L_FT4 Y	L_FT4 Z	L_CMC5 X	L_CMC5 Y	L_CMC5 Z	L_MCP5 X	L_MCP5 Y	L_MCP5 Z	L_PIP5 X	L_PIP5 Y	L_PIP5 Z	L_DIP5 X	L_DIP5 Y	L_DIP5 Z	L_FT5 X	L_FT5 Y	L_FT5 Z	
5886	98.08333	105.519	-88.470	399.808	128.424	-81.124	432.504	127.785	-49.896	378.811	142.473	-44.562	413.933	114.138	-85.881	460.055	126.308	-92.048	498.937	136.600	-85.362	525.214	141.927	-84.739	550.266	145.790	-73.419	464.982	165.374	-70.398	514.246	154.957	-61.162	556.961	155.549	-56.369	581.047	158.547	-50.945	598.696	170.401	-53.574	501.991	162.950	-44.219	553.977	163.007	-41.065	582.951	167.814	-39.571	601.575	164.219	-33.201	496.890	162.815	-27.820	543.814	165.173	-26.561	571.051	170.201	-27.152	588.401	150.749	-34.820	456.045	157.439	-15.836	490.501	158.678	-15.147	525.811	162.158	-14.068	542.466	168.754	-14.977	562.935	176.967	187.354	175.838	208.961	166.971	170.523	196.223	225.988	153.510	234.116	212.988	164.110	241.719	150.207	163.326	282.937	125.218	153.887	312.394	115.154	145.229	334.255	108.479	137.370	263.487	168.305	170.921	314.285	159.555	163.067	360.367	159.974	152.023	382.317	153.476	144.179	402.091	154.750	137.600	311.452	181.092	162.232	362.377	179.066	152.324	388.712	176.099	143.494	409.820	175.066	141.673	307.576	198.922	158.275	0.000	0.000	0.000	379.983	196.963	143.290	399.311	194.326	141.888	265.816	205.337	156.916	295.802	212.824	153.251	330.895	223.162	145.466	351.816	225.468	142.365	367.450	228.413	141.707
5887	98.10000	105.801	-88.278	399.623	128.780	-80.879	432.250	127.770	-49.505	378.684	142.499	-44.180	413.830	114.480	-85.792	459.747	126.714	-92.099	498.619	136.896	-85.437	524.925	142.153	-84.835	550.027	146.150	-73.211	464.883	165.559	-70.300	514.094	155.029	-61.290	556.807	155.443	-56.556	580.892	158.320	-51.157	598.643	170.484	-53.371	501.895	162.753	-44.331	553.948	162.705	-41.312	582.920	167.425	-39.819	601.558	164.155	-33.010	496.930	162.653	-27.895	543.855	164.946	-26.746	571.119	169.910	-27.378	588.483	150.738	-34.518	456.029	157.164	-15.641	490.550	158.491	-15.154	525.971	161.967	-14.109	542.568	168.461	-15.086	563.019	176.964	187.356	175.822	208.960	166.970	170.505	196.230	225.989	153.511	234.132	212.988	164.085	241.731	150.211	163.301	282.902	125.230	153.816	312.398	115.155	145.224	334.268	108.475	137.354	263.488	168.287	170.905	314.288	159.554	163.044	360.366	159.960	152.011	382.327	153.475	144.182	402.100	154.736	137.594	311.457	181.082	162.213	362.396	179.061	152.316	388.730	176.093	143.497	409.822	175.065	141.662	307.578	198.916	158.265	0.000	0.000	0.000	379.992	196.957	143.292	399.316	194.328	141.885	265.825	205.310	156.903	295.799	212.819	153.255	330.901	223.165	145.469	351.813	225.468	142.361	367.463	228.408	141.712
5888	98.11667	106.013	-88.095	399.445	129.041	-80.683	432.076	127.801	-49.234	378.588	142.552	-43.884	413.730	114.711	-85.692	459.518	126.953	-92.079	498.383	137.105	-85.421	524.688	142.287	-84.879	549.816	146.314	-73.019	464.675	165.679	-70.162	513.956	154.950	-61.334	556.675	155.210	-56.616	580.768	158.034	-51.250	598.567	170.562	-53.097	501.955	162.475	-44.362	553.964	162.313	-41.429	582.880	166.763	-39.976	601.556	164.068	-32.848	496.939	162.400	-27.908	543.920	164.530	-26.841	571.112	169.505	-27.497	588.547	150.751	-34.281	455.968	157.058	-15.473	490.602	158.237	-15.103	526.036	161.691	-14.100	542.709	168.027	-15.097	563.073	176.972	187.334	175.805	208.968	166.955	170.499	196.254	225.968	153.503	234.141	212.973	164.077	241.735	150.192	163.304	282.891	125.187	153.784	312.401	115.138	145.216	334.277	108.465	137.352	263.496	168.271	170.905	314.298	159.542	163.047	360.373	159.957	152.014	382.338	153.468	144.184	402.104	154.741	137.573	311.457	181.074	162.214	362.397	179.049	152.314	388.736	176.080	143.493	409.846	175.057	141.664	307.592	198.906	158.272	0.000	0.000	0.000	380.001	196.955	143.284	399.324	194.330	141.882	265.831	205.315	156.910	295.807	212.806	153.248	330.910	223.160	145.473	351.833	225.458	142.365	367.478	228.409	141.719
5889	98.13333	106.070	-87.970	399.353	129.098	-80.507	431.980	127.811	-49.082	378.506	142.586	-43.704	413.638	114.762	-85.548	459.406	126.995	-91.963	498.239	137.092	-85.310	524.578	142.249	-84.775	549.694	146.351	-72.868	464.585	165.675	-70.084	513.882	154.888	-61.248	556.555	155.110	-56.577	580.673	157.899	-51.177	598.463	170.595	-52.982	501.894	162.319	-44.348	553.878	162.101	-41.433	582.801	166.531	-39.972	601.475	164.098	-32.747	496.900	163.880	-27.898	544.693	164.361	-26.841	571.130	169.344	-27.527	588.545	150.761	-34.132	455.905	157.073	-15.360	490.589	158.163	-15.034	526.026	161.598	-14.063	542.749	167.842	-15.064	563.149	176.992	187.324	175.803	208.978	166.936	170.503	196.277	225.955	153.510	234.157	212.958	164.083	241.734	150.183	163.280	282.913	125.172	153.790	312.413	115.125	145.208	334.289	108.453	137.351	263.511	168.253	170.899	314.314	159.522	163.053	360.380	159.945	152.007	382.354	153.466	144.167	402.125	154.721	137.589	311.482	181.057	162.217	362.403	179.042	152.316	388.749	176.079	143.490	409.851	175.050	141.660	307.608	198.900	158.268	0.000	0.000	0.000	380.009	196.957	143.291	399.349	194.336	141.884	265.842	205.294	156.906	295.815	212.791	153.256	330.918	223.146	145.472	351.832	225.462	142.370	367.483	228.414	141.716
5890	98.15000	106.022	-87.850	399.338	129.036	-80.400	431.956	127.817	-49.025	378.434	142.596	-43.648	413.586	114.658	-85.382	459.379	126.909	-91.759	498.208	137.001	-85.067	524.554	142.149	-84.523	549.698	146.313	-72.763	464.566	165.624	-69.970	513.835	154.874	-61.021	556.510	155.119	-56.317	580.591	157.863	-50.892	598.383	170.617	-52.879	501.867	162.209	-44.192	553.758	162.049	-41.237	582.737	166.450	-39.759	601.401	164.152	-32.638	496.794	163.810	-27.747	544.557	164.329	-26.683	571.045	169.274	-27.352	588.483	150.769	-34.044	455.816	157.212	-15.254	490.540	158.180	-14.898	525.983	161.710	-13.924	542.736	167.795	-14.922	563.103	177.000	187.324	175.803	208.988	166.934	170.489	196.271	225.958	153.486	234.167	212.947	164.074	241.746	150.167	163.279	282.901	125.150	153.779	312.422	115.106	145.197	334.303	108.453	137.343	263.524	168.235	170.883	314.329	159.515	163.038	360.388	159.947	152.013	382.368	153.463	144.185	402.131	154.731	137.580	311.479	181.035	162.213	362.419	179.031	152.320	388.756	176.067	143.496	409.865	175.047	141.665	307.595	198.880	158.276	0.000	0.000	0.000	380.025	196.946	143.292	399.362	194.325	141.888	265.845	205.272	156.908	295.823	212.775	153.250	330.918	223.152	145.468	351.829	225.456	142.365	367.486	228.411	141.713
5891	98.16667	106.032	-87.732	399.327	129.024	-80.279	431.941	127.875	-48.975	378.373	142.653	-43.572	413.548	114.586	-85.192	459.336	126.763	-91.531	498.178	136.847	-84.792	524.535	141.946	-84.186	549.682	146.208	-72.602	464.550	165.487	-69.785	513.841	154.771	-60.738	556.489	154.935	-55.913	580.556	157.715	-50.491	598.326	170.556	-52.726	501.854	162.117	-43.931	553.782	161.881	-40.943	582.695	166.193	-39.421	601.388	164.185	-32.468	496.784	163.679	-27.491	544.532	164.111	-26.413	571.001	169.013	-27.062	588.419	150.823	-33.909	455.755	157.358	-15.093	490.501	158.111	-14.652	525.890	161.532	-13.687	542.662	167.659	-14.671	563.068	177.001	187.315	175.809	208.988	166.924	170.488	196.296	225.940	153.501	234.163	212.936	164.062	241.750	150.161	163.264	282.893	125.136	153.764	312.435	115.101	145.203	334.303	108.444	137.348	263.528	168.240	170.876	314.323	159.510	163.023	360.398	159.930	152.024	382.364	153.453	144.155	402.138	154.722	137.583	311.480	181.042	162.214	362.410	179.036	152.325	388.768	176.072	143.492	409.861	175.052	141.652	307.602	198.878	158.258	0.000	0.000	0.000	380.025	196.948	143.282	399.361	194.331	141.885	265.853	205.275	156.897	295.811	212.765	153.230	330.921	223.148	145.469	351.836	225.456	142.368	367.489	228.412	141.702
5892	98.18333	106.068	-87.581	399.325	129.029	-80.103	431.913	127.967	-48.895	378.286	142.754	-43.476	413.473	114.574	-84.956	459.252	126.655	-91.295	498.131	136.712	-84.545	524.566	141.673	-83.855	549.672	146.118	-72.381	464.551	165.316	-69.515	513.889	154.505	-60.347	556.522	154.664	-55.479	580.630	157.347	-50.026	598.314	170.443	-52.484	501.904	161.950	-43.580	553.867	161.478	-40.510	582.687	165.797	-38.984	601.411	164.065	-32.224	496.769	163.427	-27.150	544.499	163.811	-26.034	571.038	168.633	-26.665	588.444	150.848	-33.725	455.667	157.341	-14.843	490.461	157.957	-14.338	525.850	161.247	-13.319	542.609	167.366	-14.305	563.080	177.000	187.314	175.789	208.998	166.934	170.478	196.284	225.942	153.475	234.177	212.933	164.046	241.756	150.166	163.258	282.896	125.130	153.759	312.419	115.096	145.206	334.312	108.444	137.352	263.514	168.234	170.863	314.313	159.508	163.030	360.388	159.939	152.010	382.370	153.452	144.186	402.138	154.726	137.589	311.480	181.032	162.194	362.413	179.037	152.324	388.759	176.077	143.488	409.860	175.047	141.666	307.604	198.872	158.260	0.000	0.000	0.000	380.020	196.951	143.290	399.359	194.326	141.892	265.853	205.279	156.882	295.817	212.761	153.261	330.916	223.153	145.471	351.846	225.462	142.365	367.484	228.423	141.715
5893	98.20000	106.085	-87.435	399.355	129.003	-79.931	431.936	128.035	-48.826	378.226	142.814	-43.377	413.413	114.489	-84.704	459.203	126.524	-91.053	498.140	136.580	-84.261	524.566	141.459	-83.487	549.670	145.941	-72.040	464.612	165.153	-69.164	513.962	154.282	-59.893	556.536	154.466	-54.976	580.672	157.088	-49.479	598.322	170.342	-52.200	501.932	161.523	-43.150	553.810	161.264	-40.030	582.727	165.530	-38.445	601.396	164.001	-31.955	496.717	163.325	-26.774	544.484	163.648	-25.565	571.006	168.357	-26.144	588.408	150.874	-33.539	455.648	157.266	-14.561	490.368	157.860	-13.972	525.801	161.169	-12.939	542.566	167.199	-13.836	563.025	176.997	187.314	175.774	208.980	166.934	170.442	196.286	225.935	153.449	234.157	212.942	164.035	241.735	150.175	163.233	282.883	125.140	153.750	312.419	115.110	145.200	334.313	108.444	137.355	263.515	168.227	170.844	314.312	159.503	163.019	360.382	159.937	152.009	382.365	153.458	144.173	402.142	154.733	137.585	311.463	181.037	162.178	362.414	179.044	152.323	388.750	176.074	143.488	409.863	175.049	141.665	307.597	198.871	158.253	0.000	0.000	0.000	380.029	196.951	143.284	399.358	194.331	141.895	265.837	205.278	156.869	295.809	212.771	153.252	330.920	223.156	145.469	351.840	225.456	142.365	367.497	228.419	141.719
5894	98.21667	106.048	-87.267	399.379	128.951	-79.721	431.987	128.060	-48.731	378.185	142.835	-43.255	413.368	114.432	-84.458	459.224	126.379	-90.793	498.173	136.477	-83.974	524.646	141.319	-83.104	549.755	145.859	-71.808	464.658	165.045	-68.826	513.996	154.192	-59.437	556.619	154.237	-54.449	580.662	156.860	-48.890	598.345	170.224	-52.008	501.853	161.594	-42.725	553.864	161.165	-39.499	582.721	165.446	-37.903	601.396	163.970	-31.656	496.644	163.253	-26.346	544.420	163.599	-25.069	570.963	168.312	-25.632	588.375	150.887	-33.341	455.597	157.086	-14.286	490.176	157.869	-13.584	525.721	161.265	-12.509	542.485	167.267	-13.385	562.938	176.992	187.304	175.758	208.987	166.932	170.434	196.265	225.955	153.436	234.171	212.924	163.991	241.738	150.172	163.199	282.880	125.133	153.730	312.409	115.101	145.178	334.306	108.445	137.349	263.501	168.234	170.812	314.300	159.497	162.978	360.384	159.935	152.004	382.368	153.459	144.167	402.138	154.725	137.582	311.470	181.042	162.176	362.400	179.035	152.300	388.751	176.075	143.487	409.861	175.048	141.671	307.580	198.872	158.243	0.000	0.000	0.000	380.021	196.954	143.282	399.360	194.331	141.886	265.831	205.283	156.853	295.806	212.764	153.223	330.915	223.152	145.466	351.831	225.459	142.360	367.491	228.419	141.712
5895	98.23333	106.082	-87.119	399.415	128.925	-79.533	432.040	128.098	-48.600	378.169	142.863	-43.087	413.349	114.414	-84.205	459.208	126.318	-90.548	498.156	136.424	-83.720	524.687	141.242	-82.770	549.822	146.032	-71.660	464.748	164.984	-68.450	514.031	154.097	-58.971	556.640	154.147	-53.987	580.689	156.796	-48.387	598.386	170.197	-51.688	501.886	162.351	-42.249	554.280	161.057	-39.020	582.681	165.393	-37.367	601.408	163.977	-31.344	496.643	163.279	-25.952	544.416	163.605	-24.587	570.976	168.269	-25.142	588.354	150.869	-33.104	455.578	157.094	-13.961	490.110	157.894	-13.216	525.667	161.101	-12.078	542.328	167.252	-12.929	562.864	177.000	187.311	175.749	208.986	166.926	170.415	196.279	225.956	153.424	234.154	212.936	163.984	241.724	150.164	163.162	282.882	125.140	153.709	312.410	115.091	145.182	334.313	108.454	137.351	263.503	168.230	170.810	314.297	159.519	162.982	360.387	159.952	151.991	382.361	153.460	144.162	402.130	154.722	137.578	311.470	181.032	162.160	362.402	179.039	152.292	388.760	176.077	143.477	409.855	175.039	141.657	307.582	198.882	158.239	0.000	0.000	0.000	380.024	196.941	143.285	399.351	194.321	141.898	265.835	205.291	156.845	295.813	212.781	153.233	330.907	223.153	145.454	351.842	225.465	142.367	367.489	228.425	141.715
